Table 8
Solutions to Temperature Relations

Color	No. of	Range	a_0 +or- sigma	a_1 +or- sigma	a_2 +or- sigma	a_3 +or- sigma	sigma
Index	Points	(mag)	(%)
(B - V)^a	124	[-0.02 - 1.73]	9084 +or- 15	-7736 +or- 57	4781 +or- 69	-1342.9 +or- 25.1	3.3
(B - V)^a,^b	111	[0.32 - 1.73]	7722 +or- 38	-3144 +or- 129	112 +or- 136	114.2 +or- 44.3	3.0
(V - J)	122	[-0.12 - 4.24]	9052 +or- 13	-3972 +or- 20	1039 +or- 9	-101.0 +or- 1.5	3.7
(V - J)^c	109	[0.60 - 4.24]	9041 +or- 25	-3950 +or- 39	1028 +or- 17	-99.4 +or- 2.3	3.7
(V - J)^d	95	[-0.12 - 4.24]	9127 +or- 13	-4084 +or- 21	1082 +or- 10	-106.0 +or- 1.5	2.6
(V - J)^c,^d	85	[0.60 - 4.24]	9183 +or- 26	-4163 +or- 40	1114 +or- 17	-109.9 +or- 2.3	2.5
(V - H)	122	[-0.13 - 4.77]	8958 +or- 13	-3023 +or- 18	632 +or- 7	-52.9 +or- 1.1	3.3
(V - H)^c	109	[0.67 - 4.77]	8595 +or- 28	-2556 +or- 37	458 +or- 14	-33.2 +or- 1.7	3.2
(V - H)^d	86	[-0.13 - 4.77]	9084 +or- 14	-3162 +or- 19	675 +or- 8	-56.9 +or- 1.1	2.5
(V - H)^c,^d	79	[0.67 - 4.77]	8935 +or- 32	-2970 +or- 41	604 +or- 15	-48.8 +or- 1.8	2.4
(V - K)	124	[-0.15 - 5.04]	8984 +or- 13	-2914 +or- 17	588 +or- 7	-47.4 +or- 0.9	2.9
(V - K)^c	111	[0.82 - 5.04]	8649 +or- 28	-2503 +or- 35	442 +or- 12	-31.7 +or- 1.5	2.7
(V - K)^d	97	[-0.15 - 5.04]	9030 +or- 13	-2968 +or- 17	606 +or- 7	-49.2 +or- 0.9	2.4
(V - K)^c,^d	87	[0.82 - 5.04]	8669 +or- 29	-2528 +or- 35	450 +or- 13	-32.5 +or- 1.5	2.3
(V - R_J)	81	[0.00 - 1.69]	9335 +or- 16	-9272 +or- 71	5579 +or- 102	-1302.5 +or- 43.4	3.8
(V - R_J)^c	69	[0.32 - 1.69]	9238 +or- 54	-8844 +or- 213	5029 +or- 254	-1094.6 +or- 92.7	3.5
(V - I_J)	81	[-0.03 - 3.12]	9189 +or- 15	-5372 +or- 37	1884 +or- 30	-245.1 +or- 7.3	3.3
