Table 2
T_eff Relation Coefficients

formula	Y	X	a	b	c	d	e	JH	JH2	sigma	Chisqr	add_in_quadrature_K
4	T_eff/3500	BP - RP	3.245	-2.4309	1.043	-0.2127	0.01649	cdots	cdots	52	0.88	60
4	T_eff/3500	V - J	2.840	-1.3453	0.3906	-0.0546	0.002913	cdots	cdots	55	0.93	60
4	T_eff/3500	V - Ic	2.455	-1.5701	0.6891	-0.1500	0.01254	cdots	cdots	53	0.94	60
4	T_eff/3500	r - z	1.547	-0.7053	0.3656	-0.1008	0.01046	cdots	cdots	58	1.06	60
4	T_eff/3500	r - J	2.445	-1.2578	0.4340	-0.0720	0.004502	cdots	cdots	58	1.04	60
6	T_eff/3500	BP - RP, [Fe/H]	2.835	-1.893	0.7860	-0.1594	0.01243	0.04417	cdots	45	0.60	60
6	T_eff/3500	V - J, [Fe/H]	2.515	-1.054	0.2965	-0.04150	0.002245	0.05262	cdots	42	0.53	60
6	T_eff/3500	V - Ic, [Fe/H]	1.901	-0.6564	0.1471	-0.01274	cdots	0.04697	cdots	48	0.67	60
6	T_eff/3500	r - z, [Fe/H]	1.572	-0.7220	0.3560	-0.09221	0.009071	0.05220	cdots	50	0.71	60
6	T_eff/3500	r - J, [Fe/H]	2.532	-1.319	0.4449	-0.07151	0.004333	0.05629	cdots	47	0.63	60
7	T_eff/3500	BP - RP, J - H	3.172	-2.475	1.082	-0.2231	0.01738	0.08776	0.04355	49	0.78	60
7	T_eff/3500	V - J, J - H	2.769	-1.421	0.4284	-0.06133	0.003310	0.1333	0.05416	48	0.71	60
7	T_eff/3500	V - Ic, J - H	1.568	-0.4381	0.07749	-0.005610	cdots	0.2441	-0.09257	52	0.85	60
7	T_eff/3500	r - z, J - H	1.384	-0.6132	0.3110	-0.08574	0.008895	0.1865	-0.02039	55	0.90	60
7	T_eff/3500	r - J, J - H	2.151	-1.092	0.3767	-0.06292	0.003950	0.1697	0.03106	52	0.79	60


