K2 ID,Dataset Name,Campaign,Object type,Data Release,RA (J2000),Dec (J2000),Target Type,Archive Class,Ref,Actual Start Time,Actual End Time,Investigation ID,RA PM,RA PM Err,Dec PM,Dec PM Err,Plx,Plx Err,U Mag,U Mag Err,B Mag,B Mag Err,V Mag,V Mag Err,G Mag,G Mag Err,R Mag,R Mag Err,I Mag,I Mag Err,Z Mag,Z Mag Err,J Mag,J Mag Err,H Mag,H Mag Err,K Mag,K Mag Err,KEP Mag,Kep Flag,Hip ID,Tyc ID,SDSS ID,UCAC ID,2MASS ID,2MASS Flag,Processing Date,crowding,contamination,flux fraction,cdpp3,cdpp6,cdpp12,Module,Output,Channel,Nearest Neighbor,Nomad ID,High-Level Science Products,Ang Sep (')
integer,string,integer,substring,string,ra,dec,ustring,string,integer,datetime,datetime,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,integer,string,string,string,string,string,datetime,float,float,float,float,float,float,integer,integer,integer,float,string,integer,float
210942999,KTWO210942999-C04,4,STAR,33,53.5440600,22.0725480,SC,KSC,1,2015-02-08 06:50:38,2015-04-20 04:32:17,GO4002,186.000,8.000,-46.000,8.000,,,,,,,,,,,,,,,,,11.355,0.022,10.774,0.019,10.475,0.020,13.675,JHK,,,,561-007195,03341053+2204213,,2019-07-19 20:12:39,1.000,0.000,0.886,,,,20,2,70,,,21,0.004
210942999,KTWO210942999-C04,4,STAR,33,53.5440600,22.0725480,LC,KLC,1,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4002_GO4006_GO4011_GO4018_GO4020_GO4024_GO4026_GO4048_GO4095_GO4097,186.000,8.000,-46.000,8.000,,,,,,,,,,,,,,,,,11.355,0.022,10.774,0.019,10.475,0.020,13.675,JHK,,,,561-007195,03341053+2204213,,2019-07-19 22:29:50,1.000,0.000,0.886,945.055,899.609,852.851,20,2,70,,,21,0.004
210563410,KTWO210563410-C04,4,STAR,33,55.5185100,16.4217480,LC,KLC,1,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4011_GO4018_GO4020_GO4024_GO4026_GO4048_GO4054_GO4095_GO4097,,,,,,,,,18.019,0.060,16.445,0.010,17.409,0.080,15.916,0.071,14.150,0.010,,,11.609,0.021,11.022,0.020,10.742,0.019,15.128,gri,,,4334-301-5-0086-0171,533-006866,03420441+1625183,,2019-07-19 21:04:15,0.999,0.002,0.898,691.629,655.165,602.517,18,3,63,,,19,0.003
210865372,KTWO210865372-C04,4,STAR,33,55.9461900,20.8600700,LC,KLC,1,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4018_GO4020_GO4024_GO4032_GO4048_GO4054_GO4095_GO4097,,,,,,,,,16.255,0.070,14.557,0.040,15.251,0.010,13.990,0.090,12.578,0.080,,,10.484,0.021,9.831,0.019,9.612,0.022,13.380,gri,,,,555-007669,03434706+2051363,,2019-07-19 22:18:14,1.000,0.000,0.945,1291.424,1242.783,1180.723,19,1,65,,,19,0.003
210619926,KTWO210619926-C04,4,STAR,33,57.6040350,17.2465070,SC,KSC,,2015-02-08 06:50:38,2015-04-20 04:32:17,GO4027_GO4043,129.760,1.420,-23.070,1.140,22.690,1.510,,,10.303,0.040,9.457,0.027,10.151,0.340,9.568,0.030,8.839,0.070,,,7.776,0.023,7.401,0.059,7.249,0.023,9.233,gri,17962,1252-212-1,,537-007237,03502496+1714474,,2019-07-19 20:11:56,1.000,0.000,1.000,,,,18,2,62,,,21,0.008
210619926,KTWO210619926-C04,4,STAR,33,57.6040350,17.2465070,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4001_GO4007_GO4018_GO4020_GO4024_GO4027_GO4029_GO4032_GO4033_GO4043_GO4048_GO4057_GO4060_GO4072_GO4104,129.760,1.420,-23.070,1.140,22.690,1.510,,,10.303,0.040,9.457,0.027,10.151,0.340,9.568,0.030,8.839,0.070,,,7.776,0.023,7.401,0.059,7.249,0.023,9.233,gri,17962,1252-212-1,,537-007237,03502496+1714474,,2019-07-19 21:05:50,1.000,0.000,1.000,1389.414,1120.202,824.492,18,2,62,,,21,0.008
211058178,KTWO211058178-C04,4,STAR,33,57.7629600,23.9036500,LC,KLC,1,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4007_GO4018_GO4024_GO4029_GO4032_GO4033_GO4048_GO4060_GO4072_GO4095_GO4104_GO4109,148.000,2.750,-48.500,2.440,28.270,2.570,,,11.309,0.070,10.118,0.010,10.822,0.040,9.694,0.060,9.332,0.030,,,8.106,0.023,7.540,0.017,7.395,0.020,9.779,gri,18018,,,570-008723,03510309+2354134,,2019-07-19 20:27:33,1.000,1.000e-4,1.000,85.404,83.225,76.029,15,1,49,,,19,0.008
211169647,KTWO211169647-C04,4,STAR,33,58.1709300,25.8045020,LC,KLC,1,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4007_GO4018_GO4020_GO4024_GO4029_GO4032_GO4033_GO4048_GO4060_GO4095_GO4104_GO4109,136.700,2.500,-47.000,2.500,,,,,12.289,0.249,11.211,0.108,11.861,0.030,10.547,0.040,10.048,0.060,,,8.704,0.032,8.042,0.034,7.893,0.026,10.592,gri,,1804-812-1,,580-009391,03524101+2548159,,2019-07-19 20:48:14,0.999,0.001,1.000,120.065,112.221,110.217,10,3,31,,,19,0.005
211137806,KTWO211137806-C04,4,STAR,33,58.1779650,25.2072300,LC,KLC,1,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4011_GO4018_GO4024_GO4026_GO4048_GO4095_GO4097,,,,,,,,,,,,,,,,,,,,,12.960,0.026,12.412,0.036,12.056,0.026,15.350,JHK,,,,,03524271+2512260,,2019-07-19 21:25:41,1.000,0.000,0.760,2431.405,2187.831,1965.875,10,3,31,,,19,0.005
