K2 ID,Dataset Name,Campaign,Object type,Data Release,RA (J2000),Dec (J2000),Target Type,Archive Class,Ref,Actual Start Time,Actual End Time,Investigation ID,RA PM,RA PM Err,Dec PM,Dec PM Err,Plx,Plx Err,U Mag,U Mag Err,B Mag,B Mag Err,V Mag,V Mag Err,G Mag,G Mag Err,R Mag,R Mag Err,I Mag,I Mag Err,Z Mag,Z Mag Err,J Mag,J Mag Err,H Mag,H Mag Err,K Mag,K Mag Err,KEP Mag,Kep Flag,Hip ID,Tyc ID,SDSS ID,UCAC ID,2MASS ID,2MASS Flag,Processing Date,crowding,contamination,flux fraction,cdpp3,cdpp6,cdpp12,Module,Output,Channel,Nearest Neighbor,Nomad ID,High-Level Science Products,Ang Sep (')
integer,string,integer,substring,string,ra,dec,ustring,string,integer,datetime,datetime,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,integer,string,string,string,string,string,datetime,float,float,float,float,float,float,integer,integer,integer,float,string,integer,float
211389428,KTWO211389428-C05,5,STAR,31,132.7421850,11.4735510,LC,KLC,1,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5031,-11.000,3.000,-2.000,3.000,,,21.120,0.076,,,,,18.318,0.007,17.062,0.005,16.568,0.005,16.271,0.007,15.110,0.037,14.473,0.046,14.287,0.061,17.093,gri,,,5972-301-5-0116-0390,,08505812+1128247,,2019-03-07 19:10:35,1.000,0.000,0.699,,,,6,1,13,,,25,0.004
211389428,KTWO211389428-C18,18,STAR,27,132.7421850,11.4735510,LC,KLC,,2018-05-13 00:59:25,2018-07-02 21:36:43,GO18004,-11.000,3.000,-2.000,3.000,,,21.120,0.076,,,,,18.318,0.007,17.062,0.005,16.568,0.005,16.271,0.007,15.110,0.037,14.473,0.046,14.287,0.061,17.093,gri,,,5972-301-5-0116-0390,,08505812+1128247,,2018-10-17 16:11:22,1.000,0.000,0.674,1819.900,1763.546,1538.861,6,1,13,,,25,0.004
211389537,KTWO211389537-C05,5,STAR,31,132.7342500,11.4754490,LC,KLC,1,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5031,-5.600,3.400,-4.300,3.500,,,,,,,,,,,,,,,,,14.299,0.028,13.821,0.032,13.764,0.044,15.669,JHK,,,5972-301-5-0116-0191,508-049199,08505621+1128316,,2019-03-07 19:10:35,0.979,0.021,0.810,747.505,625.192,533.258,6,1,13,,,25,0.003
211389537,KTWO211389537-C18,18,STAR,27,132.7342500,11.4754490,LC,KLC,,2018-05-13 00:59:25,2018-07-02 21:36:43,GO18004_GO18068,-5.600,3.400,-4.300,3.500,,,,,,,,,,,,,,,,,14.299,0.028,13.821,0.032,13.764,0.044,15.669,JHK,,,5972-301-5-0116-0191,508-049199,08505621+1128316,,2018-10-17 16:11:23,0.979,0.021,0.817,657.757,596.503,513.009,6,1,13,,,25,0.003
211389716,KTWO211389716-C05,5,STAR,31,132.4966800,11.4782090,LC,KLC,1,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5007_GO5031,-12.900,2.200,-3.200,1.800,,,,,13.798,0.070,13.210,0.030,13.623,0.430,13.073,0.030,13.088,0.240,,,12.106,0.020,11.869,0.023,11.790,0.023,13.248,gri,,,,508-049127,08495920+1128416,,2019-03-07 19:10:35,1.000,1.000e-4,0.939,139.580,124.389,109.259,6,1,13,,,25,0.003
211389716,KTWO211389716-C18,18,STAR,27,132.4966800,11.4782090,LC,KLC,,2018-05-13 00:59:25,2018-07-02 21:36:43,GO18004_GO18049_GO18067,-12.900,2.200,-3.200,1.800,,,,,13.798,0.070,13.210,0.030,13.623,0.430,13.073,0.030,13.088,0.240,,,12.106,0.020,11.869,0.023,11.790,0.023,13.248,gri,,,,508-049127,08495920+1128416,,2018-10-17 16:11:23,1.000,0.000,0.964,,,,6,1,13,,,25,0.003
211389931,KTWO211389931-C05,5,STAR,31,132.5485350,11.4818640,LC,KLC,1,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5031,-8.000,3.000,-1.000,3.000,,,20.684,0.056,,,,,18.231,0.006,16.997,0.005,16.510,0.004,16.256,0.007,15.104,0.037,14.549,0.048,14.409,0.063,17.026,gri,,,5972-301-5-0115-0446,,08501164+1128547,,2019-03-07 19:10:36,1.000,0.000,0.766,,,,6,1,13,,,25,0.005
211389931,KTWO211389931-C18,18,STAR,27,132.5485350,11.4818640,LC,KLC,,2018-05-13 00:59:25,2018-07-02 21:36:43,GO18004,-8.000,3.000,-1.000,3.000,,,20.684,0.056,,,,,18.231,0.006,16.997,0.005,16.510,0.004,16.256,0.007,15.104,0.037,14.549,0.048,14.409,0.063,17.026,gri,,,5972-301-5-0115-0446,,08501164+1128547,,2018-10-17 16:11:23,1.000,0.000,0.639,1302.168,1049.336,778.427,6,1,13,,,25,0.005
211390071,KTWO211390071-C05,5,STAR,31,133.1172300,11.4844200,LC,KLC,1,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5031,-8.000,3.000,-2.000,3.000,,,21.039,0.069,,,,,18.463,0.007,17.165,0.005,16.647,0.005,16.371,0.007,15.323,0.041,14.524,0.048,14.301,0.057,17.192,gri,,,5972-301-5-0119-0234,,08522813+1129039,,2019-03-07 19:10:56,1.000,0.000,0.690,2526.399,2148.008,1892.451,6,2,14,,,25,0.002
