K2 ID,Dataset Name,Campaign,Object type,Data Release,RA (J2000),Dec (J2000),Target Type,Archive Class,Ref,Actual Start Time,Actual End Time,Investigation ID,RA PM,RA PM Err,Dec PM,Dec PM Err,Plx,Plx Err,U Mag,U Mag Err,B Mag,B Mag Err,V Mag,V Mag Err,G Mag,G Mag Err,R Mag,R Mag Err,I Mag,I Mag Err,Z Mag,Z Mag Err,J Mag,J Mag Err,H Mag,H Mag Err,K Mag,K Mag Err,KEP Mag,Kep Flag,Hip ID,Tyc ID,SDSS ID,UCAC ID,2MASS ID,2MASS Flag,Processing Date,crowding,contamination,flux fraction,cdpp3,cdpp6,cdpp12,Module,Output,Channel,Nearest Neighbor,Nomad ID,High-Level Science Products,Ang Sep (')
integer,string,integer,substring,string,ra,dec,ustring,string,integer,datetime,datetime,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,integer,string,string,string,string,string,datetime,float,float,float,float,float,float,integer,integer,integer,float,string,integer,float
211817992,KTWO211817992-C05,5,STAR,31,130.2885900,17.5714020,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5026_GO5048_GO5095,,,,,,,,,,,,,,,,,,,,,14.740,0.038,14.221,0.044,13.862,0.042,17.054,JHK,,,,,08410926+1734170,,2019-03-07 14:55:54,1.000,0.000,0.509,,,,13,2,42,,,36,0.006
211817992,KTWO211817992-C16,16,STAR,23,130.2885900,17.5714020,LC,KLC,,2017-12-07 23:16:00,2018-02-25 12:25:09,GO16022_GO16031_GO16060,,,,,,,,,,,,,,,,,,,,,14.740,0.038,14.221,0.044,13.862,0.042,17.054,JHK,,,,,08410926+1734170,,2018-05-24 16:23:59,1.000,0.000,0.492,,,,8,3,23,,,36,0.006
211817992,KTWO211817992-C18,18,STAR,27,130.2885900,17.5714020,LC,KLC,,2018-05-13 00:59:25,2018-07-02 21:36:43,GO18011_GO18023_GO18039_GO18062,,,,,,,,,,,,,,,,,,,,,14.740,0.038,14.221,0.044,13.862,0.042,17.054,JHK,,,,,08410926+1734170,,2018-10-17 15:05:08,1.000,0.000,0.576,1936.600,1522.266,1193.321,13,2,42,,,36,0.006
211834355,KTWO211834355-C05,5,STAR,31,130.3589550,17.8035370,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5006_GO5018_GO5024_GO5026_GO5032_GO5048_GO5097,-35.000,3.000,-12.000,3.000,,,21.200,0.089,,,,,18.655,0.008,17.230,0.005,15.819,0.005,15.043,0.005,13.652,0.030,12.966,0.030,12.767,0.025,16.670,gri,,,5071-301-2-0107-0254,,08412614+1748127,,2019-03-07 15:01:47,0.982,0.018,0.653,,,,13,2,42,,,36,0.005
211834355,KTWO211834355-C16,16,STAR,23,130.3589550,17.8035370,LC,KLC,,2017-12-07 23:16:00,2018-02-25 12:25:09,GO16022_GO16031_GO16060,-35.000,3.000,-12.000,3.000,,,21.200,0.089,,,,,18.655,0.008,17.230,0.005,15.819,0.005,15.043,0.005,13.652,0.030,12.966,0.030,12.767,0.025,16.670,gri,,,5071-301-2-0107-0254,,08412614+1748127,,2018-05-24 16:29:58,1.000,0.000,0.723,,,,8,3,23,,,36,0.005
211834355,KTWO211834355-C18,18,STAR,27,130.3589550,17.8035370,LC,KLC,,2018-05-13 00:59:25,2018-07-02 21:36:43,GO18011_GO18023_GO18039_GO18062,-35.000,3.000,-12.000,3.000,,,21.200,0.089,,,,,18.655,0.008,17.230,0.005,15.819,0.005,15.043,0.005,13.652,0.030,12.966,0.030,12.767,0.025,16.670,gri,,,5071-301-2-0107-0254,,08412614+1748127,,2018-10-17 17:52:59,0.995,0.005,0.570,,,,13,2,42,,,36,0.005
211847798,KTWO211847798-C05,5,STAR,31,130.5730800,17.9874570,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5006_GO5018_GO5024_GO5026_GO5032_GO5048_GO5097,,,,,,,,,,,,,,,,,,,,,13.706,0.026,13.075,0.027,12.829,0.028,16.017,JHK,,,,,08421753+1759148,,2019-03-07 15:06:51,0.999,7.000e-4,0.749,941.128,768.153,635.054,13,2,42,,,25,0.004
211847798,KTWO211847798-C16,16,STAR,23,130.5730800,17.9874570,LC,KLC,,2017-12-07 23:16:00,2018-02-25 12:25:09,GO16022_GO16031_GO16060,,,,,,,,,,,,,,,,,,,,,13.706,0.026,13.075,0.027,12.829,0.028,16.017,JHK,,,,,08421753+1759148,,2018-05-24 16:34:59,0.999,0.001,0.473,3212.384,2937.289,2693.176,8,3,23,,,25,0.004
211823898,KTWO211823898-C05,5,STAR,31,130.9657500,17.6556030,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5018_GO5048_GO5095_GO5097,,,,,,,,,,,,,,,,,,,,,14.086,0.035,13.408,0.034,13.202,0.024,16.419,JHK,,,,,08435178+1739201,,2019-03-07 14:58:04,1.000,0.000,0.587,866.697,690.140,573.177,13,2,42,,,36,0.009
211823898,KTWO211823898-C16,16,STAR,23,130.9657500,17.6556030,LC,KLC,,2017-12-07 23:16:00,2018-02-25 12:25:09,GO16022_GO16031_GO16060,,,,,,,,,,,,,,,,,,,,,14.086,0.035,13.408,0.034,13.202,0.024,16.419,JHK,,,,,08435178+1739201,,2018-05-24 15:15:58,1.000,0.000,0.594,,,,8,2,22,,,36,0.009
211823898,KTWO211823898-C18,18,STAR,27,130.9657500,17.6556030,LC,KLC,,2018-05-13 00:59:25,2018-07-02 21:36:43,GO18011_GO18023_GO18039_GO18062,,,,,,,,,,,,,,,,,,,,,14.086,0.035,13.408,0.034,13.202,0.024,16.419,JHK,,,,,08435178+1739201,,2018-10-17 17:49:49,1.000,0.000,0.774,,,,13,2,42,,,36,0.009
211852321,KTWO211852321-C16,16,STAR,23,130.9473750,18.0500280,LC,KLC,,2017-12-07 23:16:00,2018-02-25 12:25:09,GO16022_GO16031_GO16060,-33.000,3.000,-9.000,3.000,,,22.635,0.291,,,,,19.681,0.014,18.171,0.007,16.558,0.005,15.624,0.006,14.087,0.030,13.495,0.033,13.218,0.033,17.495,gri,,,5071-301-2-0111-0144,,08434736+1803001,,2018-05-24 16:36:45,0.965,0.035,0.623,2364.694,2047.952,1753.363,8,2,22,,,11,0.008
211822797,KTWO211822797-C05,5,STAR.Exoplanet,31,130.4103600,17.6400050,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5020_GO5024_GO5032_GO5048_GO5054_GO5060_GO5095,-36.400,2.500,-11.800,2.700,,,,,16.708,0.070,15.256,0.010,16.025,0.030,14.684,0.040,13.944,0.060,,,12.277,0.025,11.605,0.034,11.429,0.018,14.568,gri,,,,539-046324,08413848+1738240,,2019-03-07 14:57:22,1.000,0.000,0.786,265.512,225.854,199.469,13,2,42,,,37,0.006
211822797,KTWO211822797-C16,16,STAR.Exoplanet,23,130.4103600,17.6400050,SC,KSC,,2017-12-07 23:01:47,2018-02-25 12:39:22,GO16015_GO16075_GO16101,-36.400,2.500,-11.800,2.700,,,,,16.708,0.070,15.256,0.010,16.025,0.030,14.684,0.040,13.944,0.060,,,12.277,0.025,11.605,0.034,11.429,0.018,14.568,gri,,,,539-046324,08413848+1738240,,2018-05-24 13:39:08,1.000,0.000,0.755,,,,8,3,23,,,37,0.006
211822797,KTWO211822797-C16,16,STAR.Exoplanet,23,130.4103600,17.6400050,LC,KLC,,2017-12-07 23:16:00,2018-02-25 12:25:09,GO16011_GO16015_GO16022_GO16031_GO16052_GO16060_GO16075_GO16101_GO16902,-36.400,2.500,-11.800,2.700,,,,,16.708,0.070,15.256,0.010,16.025,0.030,14.684,0.040,13.944,0.060,,,12.277,0.025,11.605,0.034,11.429,0.018,14.568,gri,,,,539-046324,08413848+1738240,,2018-05-24 16:25:50,1.000,0.000,0.755,506.526,494.004,461.729,8,3,23,,,37,0.006
211822797,KTWO211822797-C18,18,STAR.Exoplanet,27,130.4103600,17.6400050,SC,KSC,,2018-05-13 00:45:12,2018-07-02 21:50:57,GO18006_GO18027_GO18052,-36.400,2.500,-11.800,2.700,,,,,16.708,0.070,15.256,0.010,16.025,0.030,14.684,0.040,13.944,0.060,,,12.277,0.025,11.605,0.034,11.429,0.018,14.568,gri,,,,539-046324,08413848+1738240,,2018-10-17 12:57:42,1.000,0.000,0.863,,,,13,2,42,,,37,0.006
211822797,KTWO211822797-C18,18,STAR.Exoplanet,27,130.4103600,17.6400050,LC,KLC,,2018-05-13 00:59:25,2018-07-02 21:36:43,GO18006_GO18011_GO18023_GO18027_GO18039_GO18048_GO18052_GO18062_GO18068,-36.400,2.500,-11.800,2.700,,,,,16.708,0.070,15.256,0.010,16.025,0.030,14.684,0.040,13.944,0.060,,,12.277,0.025,11.605,0.034,11.429,0.018,14.568,gri,,,,539-046324,08413848+1738240,,2018-10-17 15:05:28,1.000,0.000,0.863,246.830,202.424,183.678,13,2,42,,,37,0.006
211841501,KTWO211841501-C05,5,STAR,31,131.0498400,17.9021870,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5007_GO5018_GO5024_GO5029_GO5032_GO5033_GO5048,-37.400,1.300,-10.100,1.400,,,,,10.420,0.040,9.932,0.035,10.392,0.140,9.816,0.070,9.755,0.020,,,9.049,0.027,8.836,0.044,8.776,0.020,9.946,gri,,1396-398-1,,540-047661,08441195+1754079,,2019-03-07 15:04:25,1.000,2.000e-4,1.000,,,,13,2,42,,,36,0.006
211841501,KTWO211841501-C16,16,STAR,23,131.0498400,17.9021870,LC,KLC,,2017-12-07 23:16:00,2018-02-25 12:25:09,GO16009_GO16021_GO16022_GO16028_GO16031_GO16060,-37.400,1.300,-10.100,1.400,,,,,10.420,0.040,9.932,0.035,10.392,0.140,9.816,0.070,9.755,0.020,,,9.049,0.027,8.836,0.044,8.776,0.020,9.946,gri,,1396-398-1,,540-047661,08441195+1754079,,2018-05-24 15:17:05,1.000,0.000,1.000,55.094,55.414,57.593,8,2,22,,,36,0.006
211841501,KTWO211841501-C18,18,STAR,27,131.0498400,17.9021870,LC,KLC,,2018-05-13 00:59:25,2018-07-02 21:36:43,GO18003_GO18011_GO18023_GO18039_GO18049_GO18062_GO18065,-37.400,1.300,-10.100,1.400,,,,,10.420,0.040,9.932,0.035,10.392,0.140,9.816,0.070,9.755,0.020,,,9.049,0.027,8.836,0.044,8.776,0.020,9.946,gri,,1396-398-1,,540-047661,08441195+1754079,,2018-10-17 17:55:16,1.000,1.000e-4,1.000,45.913,46.141,46.397,13,2,42,,,36,0.006
211838068,KTWO211838068-C05,5,STAR,31,129.7577250,17.8557750,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5032_GO5048,-80.000,2.700,-17.700,2.800,,,,,,,,,,,,,,,,,12.662,0.021,11.975,0.020,11.769,0.020,15.021,JHK,,,,540-047427,08390185+1751208,,2019-03-07 15:03:11,1.000,0.000,0.837,,,,13,1,41,,,36,0.006
211838068,KTWO211838068-C16,16,STAR,23,129.7577250,17.8557750,LC,KLC,,2017-12-07 23:16:00,2018-02-25 12:25:09,GO16022_GO16031_GO16052_GO16060,-80.000,2.700,-17.700,2.800,,,,,,,,,,,,,,,,,12.662,0.021,11.975,0.020,11.769,0.020,15.021,JHK,,,,540-047427,08390185+1751208,,2018-05-24 16:31:09,1.000,0.000,0.814,438.717,364.781,299.713,8,3,23,,,36,0.006
211838068,KTWO211838068-C18,18,STAR,27,129.7577250,17.8557750,LC,KLC,,2018-05-13 00:59:25,2018-07-02 21:36:43,GO18011_GO18023_GO18039_GO18062_GO18068,-80.000,2.700,-17.700,2.800,,,,,,,,,,,,,,,,,12.662,0.021,11.975,0.020,11.769,0.020,15.021,JHK,,,,540-047427,08390185+1751208,,2018-10-17 17:54:14,1.000,0.000,0.765,,,,13,1,41,,,36,0.006
211813885,KTWO211813885-C05,5,STAR,31,129.3076650,17.5135360,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5007_GO5018_GO5032_GO5033,,,,,,,,,14.642,0.070,13.430,0.020,14.060,0.040,12.913,0.020,12.459,0.040,,,,,,,,,12.939,gri,,,,538-047707,,,2019-03-07 14:54:39,1.000,0.000,0.920,,,,13,1,41,,,25,0.008
211813885,KTWO211813885-C18,18,STAR,27,129.3076650,17.5135360,LC,KLC,,2018-05-13 00:59:25,2018-07-02 21:36:43,GO18039_GO18049_GO18062_GO18065,,,,,,,,,14.642,0.070,13.430,0.020,14.060,0.040,12.913,0.020,12.459,0.040,,,,,,,,,12.939,gri,,,,538-047707,,,2018-10-17 17:47:11,1.000,0.000,0.888,,,,13,1,41,,,25,0.008
