#																			
#   VizieR Astronomical Server vizier.u-strasbg.fr																			
#    Date: 2018-11-19T09:56:28 [V1.99+ (14-Oct-2013)]																			
#   In case of problem, please report to:	cds-question@unistra.fr																		
#																			
#																			
#Coosys	J2000:	eq_FK5 J2000																	
#INFO	votable-version=1.99+ (14-Oct-2013)																		
#INFO	-ref=VIZ5bf2887115a2																		
#INFO	-out.max=9999																		
#INFO	queryParameters=11																		
#-oc.form=dec																			
#-out.max=9999																			
#-out.add=_RAJ,_DEJ																			
#-order=I																			
#-nav=cat:J/A+A/618/A93&tab:{J/A+A/618/A93/table1}&tab:{J/A+A/618/A93/members}&key:source=J/A+A/618/A93&HTTPPRM:&&-ref=VIZ5bf2887115a2&-out.max=9999&-out.form=HTML Table&-order=I&-oc.form=sexa&Cluster=NGC_2632&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&																			
#-c.eq=J2000																			
#-c.r=  2																			
#-c.u=arcmin																			
#-c.geom=r																			
#-source=J/A+A/618/A93																			
#Cluster=NGC_2632																			
#																			
																			
#RESOURCE=yCat_36180093																			
#Name: J/A+A/618/A93																			
#Title: Gaia DR2 open clusters in the Milky Way (Cantat-Gaudin+, 2018)																			
#Coosys	H_2015.500:	ICRS																	
#Table	J_A_A_618_A93_table1:																		
#Name: J/A+A/618/A93/table1																			
#Title: Summary of mean parameters for the OCs characterised in this study																			
#Column	_RAJ2000	(F9.5)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]															
#Column	_DEJ2000	(F9.5)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]															
#Column	Cluster	(a17)	Cluster name (cluster)	[ucd=meta.id.parent]															
#Column	RAJ2000	(F7.3)	[] Mean right ascension of members (J2000) (ra)	[ucd=pos.eq.ra;meta.main]															
#Column	DEJ2000	(F7.3)	Mean declination of members (J2000) (dec)	[ucd=pos.eq.dec;meta.main]															
#Column	GLON	(F7.3)	Mean Galactic longitude of members (l)	[ucd=pos.galactic.lon]															
#Column	GLAT	(F7.3)	Mean Galactic latitude of members (b)	[ucd=pos.galactic.lat]															
#Column	r50	(F6.3)	Radius containing half the members (r50)	[ucd=phys.angSize;src]															
