#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-12-05T07:43:08 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)
#INFO	-ref=VIZ5c0781329338
#INFO	-out.max=200
#INFO	queryParameters=37
#-oc.form=dec
#-out.max=200
#-out.add=_RAJ,_DEJ
#-nav=cat:J/AJ/145/134&tab:{J/AJ/145/134/table3}&key:source=J/AJ/145/134&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/145/134/table3
#-order=I
#-out=Star
#-out=2MASS
#-out=pmRA
#-out=e_pmRA
#-out=pmDE
#-out=e_pmDE
#-out=g'mag
#-out=g'-i'
#-out=Jmag
#-out=f_Jmag
#-out=J-K
#-out=RV1
#-out=RV2
#-out=Mm
#-out=Mpm
#-out=Mv1
#-out=Mv2
#-out=Mjk
#-out=Mgi
#-out=u_Type
#-out=Type
#-out=M
#M=M
#-out=Simbad
#Simbad=Simbad
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_51450134
#Name: J/AJ/145/134
#Title: Radial velocities of 108 stars in Ruprecht 147 (Curtis+, 2013)
#Table	J_AJ_145_134_table3:
#Name: J/AJ/145/134/table3
#Title: Radial velocities, proper motions and membership in Ruprecht 147
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Star	(I3)	[1/108] Running star number (1)	[ucd=meta.id;meta.main]
#Column	2MASS	(A16)	2MASS identifier (HHMMSSss+DDMMSSs)	[ucd=meta.id]
#Column	pmRA	(F4.1)	Proper motion in Right Ascension (2)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F4.1)	1-{sigma} uncertainty in pmRA (2)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F5.1)	Proper motion in Declination (2)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F4.1)	1-{sigma} uncertainty in pmDE (2)	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	g'mag	(F5.2)	? CFHT/MegaCam g' magnitude	[ucd=phot.mag;em.opt.B]
#Column	g'-i'	(F5.2)	? CFHT/MegaCam (g'-i') color index	[ucd=phot.color]
#Column	Jmag	(F5.2)	2MASS J magnitude (from cat. II/246) (3)	[ucd=phot.mag;em.IR.J]
#Column	f_Jmag	(A1)	[e] Probable binary (star #51) (4)	[ucd=meta.code]
#Column	J-K	(F5.2)	2MASS (J-Ks) color index (from cat. II/246) (3)	[ucd=phot.color;em.IR.J;em.IR.K]
#Column	RV1	(F4.1)	? Lick/Palomar radial velocity	[ucd=spect.dopplerVeloc]
#Column	RV2	(F4.1)	? Hectochelle radial velocity	[ucd=spect.dopplerVeloc]
#Column	Mm	(A1)	[NPY] Overall membership probability (5)	[ucd=meta.code.member]
#Column	Mpm	(A1)	[NPY] Membership probability assigned to proper motion radial distance from cluster value (5)	[ucd=meta.code.member]
#Column	Mv1	(A1)	[NPY] Membership probability assigned to Lick/Palomar radial velocities (5)	[ucd=meta.code.member]
#Column	Mv2	(A1)	[NPY] Membership probability assigned to Hectochelle radial velocities (5)	[ucd=meta.code.member]
#Column	Mjk	(A1)	[NPYB] Membership probability assigned to 2MASS (J-Ks) color-magnitude diagram (5)	[ucd=meta.code.member]
#Column	Mgi	(A1)	[NPYB] Membership probability assigned to CFHT/MegaCam (g'-i') color-magnitude diagram (5)	[ucd=meta.code.member]
#Column	u_Type	(A1)	[?] Uncertainty flag on Type (?)	[ucd=meta.note]
#Column	Type	(a7)	Star classification (6)	[ucd=meta.code.class]
#Column	M	(A1)	Display what exists in VizieR at this position (within 1.5)	[ucd=meta.code.member]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Positions from 2MASS name (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from 2MASS name (declination part)	[ucd=pos.eq.dec;meta.main]
deg	deg	 	 	mas/yr	mas/yr	mas/yr	mas/yr	mag	mag	mag	 	mag	km/s	km/s	 	 	 	 	 	 	 	 	 	 	deg	deg
_RAJ2000	_DEJ2000	Star	2MASS	pmRA	e_pmRA	pmDE	e_pmDE	g'mag	g'-i'	Jmag	f_Jmag	J-K	RV1	RV2	Mm	Mpm	Mv1	Mv2	Mjk	Mgi	u_Type	Type	M	Simbad	_RA	_DE
288.8588333	-16.0991944	  1	19152612-1605571	-1.0	 0.7	-27.4	 0.6	 8.37	 1.18	 5.31	 	 0.76	38.5	    	Y	Y	P	 	Y	Y	 	RG     	M	Simbad	288.85883	-16.09919
289.3493333	-16.0734167	  2	19172384-1604243	-2.2	 0.8	-27.6	 0.6	 8.66	 1.26	 5.27	 	 0.83	43.4	    	Y	Y	Y	 	Y	Y	 	RG     	M	Simbad	289.34933	-16.07342
289.0819167	-16.5692778	  3	19161966-1634094	-1.5	 1.6	-25.4	 1.5	 8.65	-0.10	 8.05	 	-0.02	    	    	Y	Y	 	 	B	B	 	BS     	M	Simbad	289.08192	-16.56928
289.2970833	-16.0522778	  4	19171130-1603082	-0.9	 1.5	-29.1	 1.5	 9.20	 1.10	 6.40	 	 0.77	42.7	41.1	Y	Y	Y	Y	Y	Y	 	RG     	M	Simbad	289.29708	-16.05228
289.1697083	-16.2780833	  5	19164073-1616411	-0.3	 1.6	-25.4	 1.5	 8.81	-0.04	 7.95	 	 0.05	    	    	Y	Y	 	 	B	B	 	BS     	M	Simbad	289.16971	-16.27808
289.2642917	-17.0538333	  6	19170343-1703138	-0.7	 1.9	-30.1	 1.8	 9.21	 1.02	 6.42	 	 0.71	46.2	    	Y	Y	Y	 	Y	Y	 	RG     	M	Simbad	289.26429	-17.05383
289.6561250	-17.2159722	  7	19183747-1712575	-0.4	 1.9	-26.7	 1.8	     	     	 6.41	 	 0.67	42.4	    	Y	Y	Y	 	Y	 	 	       	M	Simbad	289.65612	-17.21597
289.5599583	-16.6896111	  8	19181439-1641226	 1.8	 1.5	-25.3	 1.5	 8.93	 0.33	 7.66	 	 0.18	    	    	Y	Y	 	 	B	B	 	BS     	M	Simbad	289.55996	-16.68961
288.5113333	-15.9015278	  9	19140272-1554055	-0.4	 1.5	-26.1	 1.4	 9.30	 1.09	 6.31	 	 0.75	42.1	    	Y	Y	Y	 	Y	Y	 	RG,SB1?	M	Simbad	288.51133	-15.90153
288.9637083	-16.2997500	 10	19155129-1617591	-2.7	 1.6	-26.8	 1.5	 9.17	 0.96	 6.45	 	 0.66	41.4	40.6	Y	Y	Y	Y	Y	Y	 	RG     	M	Simbad	288.96371	-16.29975
289.5407500	-16.2728333	 11	19180978-1616222	-1.4	 1.5	-27.3	 1.5	 9.39	 0.98	 6.54	 	 0.70	44.2	    	Y	Y	Y	 	Y	Y	 	RG     	M	Simbad	289.54075	-16.27283
289.1828333	-16.4399722	 12	19164388-1626239	-1.2	 1.6	-24.6	 1.5	 9.60	 0.32	 8.44	 	 0.14	    	    	Y	Y	 	 	B	B	 	BS     	M	Simbad	289.18283	-16.43997
288.3135833	-17.1058333	 13	19131526-1706210	-0.1	 1.1	-27.1	 0.8	     	     	 7.28	 	 0.65	46.4	    	Y	Y	Y	 	Y	 	 	       	M	Simbad	288.31358	-17.10583
288.4507083	-16.8349722	 14	19134817-1650059	-1.5	 1.4	-26.2	 1.3	 9.88	 0.87	 7.63	 	 0.56	43.6	    	Y	Y	Y	 	Y	Y	 	RG     	M	Simbad	288.45071	-16.83497
289.1905833	-16.5896111	 15	19164574-1635226	-1.6	 1.6	-27.1	 1.5	 9.96	 1.02	 7.38	 	 0.66	46.1	41.4	Y	Y	Y	Y	Y	Y	 	RG     	M	Simbad	289.19058	-16.58961
289.2009583	-16.1978333	 16	19164823-1611522	 1.9	 1.6	-26.1	 1.7	 9.96	 0.23	 9.11	 	 0.17	    	    	Y	Y	 	 	B	B	 	BS     	M	Simbad	289.20096	-16.19783
289.2362500	-16.2073611	 17	19165670-1612265	-1.7	 1.7	-26.8	 1.8	10.07	 0.54	 8.59	 	 0.37	44.2	40.6	Y	Y	Y	Y	Y	Y	 	       	M	Simbad	289.23625	-16.20736
289.8905417	-16.9809444	 18	19193373-1658514	 0.3	 4.2	-26.2	 4.7	     	     	 8.68	 	 0.36	47.2	    	Y	Y	P	 	Y	 	 	       	M	Simbad	289.89054	-16.98094
289.0606667	-16.4019722	 19	19161456-1624071	-0.2	 2.0	-28.6	 2.0	10.32	 0.95	 8.00	 	 0.62	43.8	43.9	P	Y	Y	P	Y	Y	 	RG     	M	Simbad	289.06067	-16.40197
