#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-11-19T09:29:39 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5bf2809ea7aa	
#INFO	-out.max=9999	
#INFO	queryParameters=18	
#-oc.form=dec
#-out.max=9999
#-order=I
#-nav=cat:J/A+A/616/A10&tab:{J/A+A/616/A10/tablea1b}&key:source=J/A+A/616/A10/tablea1b&HTTPPRM:&&-ref=VIZ5bf2809ea7aa&-out.max=9999&-out.form=HTML Table&-order=I&-oc.form=sexa&-out.src=J/A+A/616/A10/tablea1b&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out=Source&-out=Cluster&Cluster=NGC2168&-out=RA_ICRS&-out=DE_ICRS&-out=Gmag&-out=_RA.icrs&-out=_DE.icrs&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-out.src=J/A+A/616/A10/tablea1b
#-source=J/A+A/616/A10/tablea1b
#-out=Source
#-out=Cluster
#Cluster=NGC2168
#-out=RA_ICRS
#-out=DE_ICRS
#-out=Gmag
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_36160010
#Name: J/A+A/616/A10
#Title: 46 open clusters GaiaDR2 HR diagrams (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	J_A_A_616_A10_tablea1b:
#Name: J/A+A/616/A10/tablea1b
#Title: Stars in 37 open clusters beyond 250pc
#Column	Source	(I22)	Source identifier in Gaia DR2 (source_id)	[ucd=meta.id]
#Column	Cluster	(A8)	Cluster identifier	[ucd=meta.id.parent]
#Column	RA_ICRS	(F9.5)	Right Ascension (ICRS), epoch 2015.5	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F9.5)	Declination (ICRS), epoch 2015.5	[ucd=pos.eq.dec;meta.main]
#Column	Gmag	(F6.3)	Gaia G mean magnitude	[ucd=phot.mag;em.opt.V]
#Column	_RA.icrs	(F9.5)	Right ascension (ICRS) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F9.5)	Declination (ICRS) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
 	 	deg	deg	mag	deg	deg
Source	Cluster	RA_ICRS	DE_ICRS	Gmag	_RA.icrs	_DE.icrs
   3426680146047159040	NGC2168 	092.84381	+24.80585	12.473	092.84381	+24.80585
   3426678634218723584	NGC2168 	092.88952	+24.73650	17.932	092.88952	+24.73650
   3426463714057522944	NGC2168 	091.09895	+24.86024	18.623	091.09895	+24.86024
   3426458804911602048	NGC2168 	091.16268	+24.74394	17.329	091.16268	+24.74394
   3426437291417104512	NGC2168 	091.08727	+24.51299	18.319	091.08727	+24.51299
   3426444992296860928	NGC2168 	091.12641	+24.64204	14.405	091.12641	+24.64204
   3426442552755369344	NGC2168 	091.25483	+24.63740	18.335	091.25483	+24.63740
   3426459556531763072	NGC2168 	091.15646	+24.78730	19.149	091.15646	+24.78730
   3426435229836410752	NGC2168 	091.01705	+24.45773	18.725	091.01705	+24.45773
   3426361425115391872	NGC2168 	092.10170	+24.73287	18.763	092.10170	+24.73287
   3426337102718017024	NGC2168 	091.96869	+24.63709	13.606	091.96869	+24.63709
   3426354278289877376	NGC2168 	091.78803	+24.76959	17.776	091.78803	+24.76959
   3426361459475128832	NGC2168 	092.11085	+24.73213	17.902	092.11085	+24.73213
   3426364796667052032	NGC2168 	092.08591	+24.77231	12.179	092.08591	+24.77231
   3426361841729552768	NGC2168 	092.09078	+24.76751	13.206	092.09078	+24.76751
   3426356271154761600	NGC2168 	091.72242	+24.79963	19.382	091.72242	+24.79963
   3426342973934222848	NGC2168 	091.61175	+24.54851	19.746	091.61175	+24.54851
   3426339404820533760	NGC2168 	091.85767	+24.63769	16.260	091.85767	+24.63769
   3426360463042668288	NGC2168 	092.16815	+24.70348	16.711	092.16815	+24.70348
   3426364727947587968	NGC2168 	092.05761	+24.76599	16.087	092.05761	+24.76599
   3426356786549213312	NGC2168 	091.60122	+24.79421	17.418	091.60122	+24.79421
   3426380499067083264	NGC2168 	092.07198	+24.97271	15.802	092.07198	+24.97271
   3426338167869966080	NGC2168 	091.85606	+24.61261	15.378	091.85606	+24.61261
   3426367579805823616	NGC2168 	092.10006	+24.87113	16.127	092.10006	+24.87113
   3426384789736297728	NGC2168 	091.94321	+25.04081	12.100	091.94321	+25.04081
   3426361704290607872	NGC2168 	092.07917	+24.75448	12.185	092.07917	+24.75448
   3426342595977086976	NGC2168 	091.57169	+24.52388	17.691	091.57169	+24.52388
   3426336136347675648	NGC2168 	092.05623	+24.60118	17.408	092.05623	+24.60118
   3426367266271222016	NGC2168 	092.15444	+24.87856	18.257	092.15444	+24.87856
   3426337132780201600	NGC2168 	091.96940	+24.65740	17.597	091.96940	+24.65740
