#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-11-19T09:30:47 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5bf282a85752	
#INFO	-out.max=9999	
#INFO	queryParameters=20	
#-oc.form=dec
#-out.max=9999
#-order=I
#-nav=cat:J/A+A/616/A10&tab:{J/A+A/616/A10/tablea1a}&key:source=J/A+A/616/A10/tablea1a&HTTPPRM:&&-ref=VIZ5bf282a85752&-out.max=9999&-out.form=HTML Table&-order=I&-oc.form=sexa&-out.src=J/A+A/616/A10/tablea1a&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out=Source&-out=Cluster&Cluster=pleiades&-out=RA_ICRS&-out=DE_ICRS&-out=Gmag&-out=plx&-out=e_plx&-out=_RA.icrs&-out=_DE.icrs&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-out.src=J/A+A/616/A10/tablea1a
#-source=J/A+A/616/A10/tablea1a
#-out=Source
#-out=Cluster
#Cluster=pleiades
#-out=RA_ICRS
#-out=DE_ICRS
#-out=Gmag
#-out=plx
#-out=e_plx
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_36160010
#Name: J/A+A/616/A10
#Title: 46 open clusters GaiaDR2 HR diagrams (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	J_A_A_616_A10_tablea1a:
#Name: J/A+A/616/A10/tablea1a
#Title: Stars in nine open clusters within 250pc
#Column	Source	(I22)	Source identifier in Gaia DR2 (source_id)	[ucd=meta.id]
#Column	Cluster	(A8)	Cluster identifier	[ucd=meta.id.parent]
#Column	RA_ICRS	(F9.5)	Right Ascension (ICRS), epoch 2015.5	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F9.5)	Declination (ICRS), epoch 2015.5	[ucd=pos.eq.dec;meta.main]
#Column	Gmag	(F6.3)	Gaia G mean magnitude	[ucd=phot.mag;em.opt.V]
#Column	plx	(F6.3)	? Optimized parallax (only in tablea1a.dat) (1)	[ucd=pos.parallax.trig]
#Column	e_plx	(F6.3)	? Uncertainty on optimized parallax (only in tablea1a.dat)	[ucd=stat.error;pos.parallax]
#Column	_RA.icrs	(F9.5)	Right ascension (ICRS) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F9.5)	Declination (ICRS) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
 	 	deg	deg	mag	mas	mas	deg	deg
Source	Cluster	RA_ICRS	DE_ICRS	Gmag	plx	e_plx	_RA.icrs	_DE.icrs
     51391658816356608	Pleiades	059.49378	+20.40530	16.961	 7.469	 0.083	059.49378	+20.40530
     51391418298186368	Pleiades	059.53209	+20.39381	16.869	 7.247	 0.007	059.53209	+20.39381
     50976077779666688	Pleiades	057.04312	+19.30231	12.729	 7.654	 0.014	057.04312	+19.30231
     51303388648134400	Pleiades	058.65845	+19.90617	16.396	 7.888	 0.018	058.65845	+19.90617
     51284971828429440	Pleiades	059.28591	+20.12842	17.950	 7.293	 0.031	059.28591	+20.12842
     71161771235981312	Pleiades	054.95066	+27.18936	15.813	 7.190	 0.037	054.95066	+27.18936
     71216093982249984	Pleiades	054.29997	+26.77453	16.355	 7.137	 0.048	054.29997	+26.77453
     71078483230315520	Pleiades	055.45026	+26.78899	15.611	 6.986	 0.017	055.45026	+26.78899
     71056252479453056	Pleiades	054.61606	+26.85694	16.977	 7.251	 0.032	054.61606	+26.85694
     71103428400426368	Pleiades	055.47107	+27.07848	16.929	 7.301	 0.064	055.47107	+27.07848
     71042641727187968	Pleiades	054.81489	+26.80091	17.549	 7.778	 0.014	054.81489	+26.80091
     71262410909499264	Pleiades	054.61277	+27.27049	15.149	 7.611	 0.021	054.61277	+27.27049
     71042439864623104	Pleiades	054.82633	+26.79323	13.488	 7.317	 0.011	054.82633	+26.79323
     71207710206088192	Pleiades	055.59862	+27.76553	15.947	 7.238	 0.067	055.59862	+27.76553
     71205133225715328	Pleiades	055.60393	+27.70424	18.050	 6.803	 0.050	055.60393	+27.70424
     71202831123254272	Pleiades	055.41170	+27.68523	14.842	 7.479	 0.025	055.41170	+27.68523
     71100404743364992	Pleiades	055.48542	+27.04931	16.874	 7.609	 0.008	055.48542	+27.04931
     71151841271691904	Pleiades	055.38995	+27.16380	17.404	 7.389	 0.066	055.38995	+27.16380
     71079441007018880	Pleiades	055.55263	+26.82904	16.569	 7.047	 0.029	055.55263	+26.82904
     71108440625265280	Pleiades	055.91215	+27.01690	17.839	 7.436	 0.085	055.91215	+27.01690
     71036358190950528	Pleiades	054.45395	+26.86242	16.551	 7.741	 0.042	054.45395	+26.86242
     71309655549854080	Pleiades	053.59224	+27.39585	15.586	 7.558	 0.020	053.59224	+27.39585
     71296667568555904	Pleiades	054.03534	+27.34277	 9.208	 7.750	 0.010	054.03534	+27.34277
    167982634872673152	Pleiades	058.19384	+30.00083	18.054	 7.047	 0.080	058.19384	+30.00083
     69912309413652864	Pleiades	056.28775	+25.37479	17.484	 7.656	 0.023	056.28775	+25.37479
     70049477786093056	Pleiades	056.53968	+26.13865	11.522	 7.343	 0.015	056.53968	+26.13865
     70180216590377600	Pleiades	054.99111	+25.92477	17.621	 7.619	 0.029	054.99111	+25.92477
     70160287942261376	Pleiades	055.29287	+25.76543	16.068	 7.678	 0.021	055.29287	+25.76543
     69917635172718720	Pleiades	056.18321	+25.49910	11.858	 7.144	 0.029	056.18321	+25.49910
     69911867033651200	Pleiades	056.25512	+25.35143	17.176	 7.361	 0.047	056.25512	+25.35143
     69992371901046400	Pleiades	057.49428	+25.89604	17.234	 7.565	 0.081	057.49428	+25.89604
     70175474946486784	Pleiades	055.04463	+25.82484	17.216	 7.093	 0.042	055.04463	+25.82484
     70044628765739776	Pleiades	056.58103	+26.04308	14.106	 7.469	 0.014	056.58103	+26.04308
     70042743277270016	Pleiades	056.42996	+26.04059	16.231	 7.177	 0.053	056.42996	+26.04059
     69906571336964608	Pleiades	056.02134	+25.48364	12.192	 7.399	 0.016	056.02134	+25.48364
     70248180152474368	Pleiades	056.13965	+26.24797	15.691	 7.359	 0.033	056.13965	+26.24797
     69974504837007232	Pleiades	056.89244	+25.71817	16.298	 7.487	 0.008	056.89244	+25.71817
     69988489250631680	Pleiades	057.33572	+25.81783	13.333	 7.678	 0.027	057.33572	+25.81783
     70028170451469312	Pleiades	056.84109	+25.89775	14.402	 7.158	 0.045	056.84109	+25.89775
     69945814454871680	Pleiades	056.17999	+25.87533	11.439	 7.459	 0.054	056.17999	+25.87533
     70010303387697024	Pleiades	057.40139	+26.03773	17.756	 7.341	 0.030	057.40139	+26.03773
     69904617128601984	Pleiades	055.89680	+25.40847	15.645	 7.657	 0.048	055.89680	+25.40847
     70242785673539712	Pleiades	056.28429	+26.29232	11.219	 7.288	 0.024	056.28429	+26.29232
     70215705904150272	Pleiades	055.29810	+26.27181	17.569	 7.168	 0.019	055.29810	+26.27181
     69904101732529408	Pleiades	055.86312	+25.38739	11.156	 7.194	 0.029	055.86312	+25.38739
     69908156181656576	Pleiades	055.76825	+25.43657	17.135	 6.765	 0.061	055.76825	+25.43657
     70085933468406784	Pleiades	056.98594	+26.53053	16.004	 7.065	 0.107	056.98594	+26.53053
     70152144684310144	Pleiades	055.94626	+26.07636	15.861	 7.273	 0.016	055.94626	+26.07636
     70153484713977472	Pleiades	055.82948	+26.07875	16.283	 7.359	 0.019	055.82948	+26.07875
     69962719446879232	Pleiades	057.19041	+25.70027	15.595	 7.269	 0.059	057.19041	+25.70027
     70224643732103680	Pleiades	055.49900	+26.46088	16.718	 7.852	 0.003	055.49900	+26.46088
     69906713072633856	Pleiades	055.97003	+25.49163	16.518	 7.284	 0.029	055.97003	+25.49163
     69906472554465792	Pleiades	055.97455	+25.47489	15.042	 7.352	 0.032	055.97455	+25.47489
     70230652389756928	Pleiades	056.33902	+26.09028	18.208	 7.566	 0.045	056.33902	+26.09028
     70088819686490496	Pleiades	055.51430	+25.37741	16.606	 7.164	 0.025	055.51430	+25.37741
     70037795475083008	Pleiades	056.46921	+25.91650	16.002	 7.081	 0.003	056.46921	+25.91650
     69934334006064768	Pleiades	056.04490	+25.62716	16.492	 7.301	 0.055	056.04490	+25.62716
     70146853284493312	Pleiades	055.73631	+25.98050	16.492	 7.568	 0.239	055.73631	+25.98050
     70036695963457792	Pleiades	056.51536	+25.87452	16.676	 7.930	 0.043	056.51536	+25.87452
     70118197262752768	Pleiades	055.47597	+25.72961	15.582	 7.431	 0.053	055.47597	+25.72961
     70087612798384384	Pleiades	055.51484	+25.32147	18.056	 7.570	 0.097	055.51484	+25.32147
     70123003329050880	Pleiades	055.93374	+25.66363	17.229	 7.575	 0.058	055.93374	+25.66363
     69930283853148544	Pleiades	056.05851	+25.53747	16.765	 6.858	 0.033	056.05851	+25.53747
     69951449452730752	Pleiades	056.85797	+25.44057	16.680	 7.269	 0.061	056.85797	+25.44057
     69948253997063424	Pleiades	056.94524	+25.38550	 8.258	 7.285	 0.097	056.94524	+25.38550
     69930764889482752	Pleiades	056.10458	+25.56762	17.345	 7.495	 0.035	056.10458	+25.56762
     70189837317110016	Pleiades	055.04559	+26.11122	16.777	 7.142	 0.011	055.04559	+26.11122
     70121805035254144	Pleiades	055.51973	+25.88568	12.415	 7.399	 0.038	055.51973	+25.88568
     69911282917833216	Pleiades	055.89233	+25.59040	15.811	 7.528	 0.034	055.89233	+25.59040
     70097581419826944	Pleiades	055.68259	+25.53493	15.554	 7.246	 0.020	055.68259	+25.53493
     70138881823528832	Pleiades	056.11018	+26.04147	14.923	 7.745	 0.040	056.11018	+26.04147
     69942515919994368	Pleiades	056.13788	+25.75253	16.489	 7.185	 0.019	056.13788	+25.75253
     70077270518065920	Pleiades	056.84148	+26.37967	16.505	 7.516	 0.038	056.84148	+26.37967
     70091259227969920	Pleiades	055.65988	+25.47885	17.876	 7.206	 0.034	055.65988	+25.47885
     69954713627862528	Pleiades	056.89679	+25.54376	14.001	 6.812	 0.029	056.89679	+25.54376
     69932276717968512	Pleiades	056.12540	+25.59622	14.356	 7.013	 0.022	056.12540	+25.59622
     69935162935991168	Pleiades	056.01189	+25.65616	12.633	 7.287	 0.032	056.01189	+25.65616
     70125000491024128	Pleiades	055.95431	+25.72942	11.739	 7.610	 0.024	055.95431	+25.72942
     70060610341280128	Pleiades	056.93293	+26.22402	16.849	 7.189	 0.061	056.93293	+26.22402
     70072773688658432	Pleiades	056.87751	+26.27892	15.823	 7.477	 0.045	056.87751	+26.27892
     70098612211973248	Pleiades	055.78163	+25.57461	16.119	 7.429	 0.017	055.78163	+25.57461
     70127955428529536	Pleiades	055.77099	+25.74293	16.558	 7.592	 0.019	055.77099	+25.74293
     69933852969722240	Pleiades	055.98342	+25.60689	19.073	 7.548	 0.137	055.98342	+25.60689
     69947635521777152	Pleiades	056.90569	+25.33385	16.492	 7.271	 0.047	056.90569	+25.33385
     70019378655328768	Pleiades	056.66784	+25.73136	15.848	 7.145	 0.023	056.66784	+25.73136
     69918979499309952	Pleiades	056.28772	+25.54682	16.761	 7.440	 0.035	056.28772	+25.54682
     69983369649631872	Pleiades	057.30272	+25.70188	15.661	 7.338	 0.049	057.30272	+25.70188
     70241033326866944	Pleiades	056.49510	+26.33370	17.569	 7.046	 0.080	056.49510	+26.33370
     70129050643128832	Pleiades	055.90287	+25.78336	15.821	 7.801	 0.058	055.90287	+25.78336
     69930283851373184	Pleiades	056.05814	+25.53748	15.995	 6.550	 0.054	056.05814	+25.53748
     70129913933603328	Pleiades	055.92880	+25.86013	17.378	 7.848	 0.054	055.92880	+25.86013
     70044456967585280	Pleiades	056.54213	+26.00238	17.362	 7.102	 0.067	056.54213	+26.00238
     69968113925681408	Pleiades	056.88781	+25.63832	16.634	 7.173	 0.049	056.88781	+25.63832
     70114039734416128	Pleiades	055.52035	+25.66309	14.581	 7.288	 0.037	055.52035	+25.66309
     70165476262750976	Pleiades	055.16808	+25.84660	16.042	 7.271	 0.045	055.16808	+25.84660
     69990241597280640	Pleiades	057.28688	+25.89672	15.028	 7.388	 0.059	057.28688	+25.89672
     70035351636365824	Pleiades	056.46956	+25.86154	14.535	 7.150	 0.045	056.46956	+25.86154
     69964879813013248	Pleiades	056.83709	+25.52565	 9.691	 7.326	 0.020	056.83709	+25.52565
     69904410970171392	Pleiades	055.90555	+25.40879	15.368	 7.614	 0.026	055.90555	+25.40879
     70150357977789056	Pleiades	055.85925	+26.04172	15.708	 7.526	 0.007	055.85925	+26.04172
     70169251536714624	Pleiades	055.49621	+25.92072	12.462	 7.242	 0.022	055.49621	+25.92072
     69977592916417152	Pleiades	056.84293	+25.72069	18.610	 7.238	 0.066	056.84293	+25.72069
     69918086146123520	Pleiades	056.27224	+25.48624	15.094	 7.367	 0.039	056.27224	+25.48624
     69985499953396480	Pleiades	057.34233	+25.79370	16.561	 6.942	 0.049	057.34233	+25.79370
     70132658415356672	Pleiades	056.01879	+25.85611	12.516	 7.107	 0.037	056.01879	+25.85611
     69985637392346496	Pleiades	057.38677	+25.79622	16.569	 7.422	 0.038	057.38677	+25.79622
     70200935512668800	Pleiades	055.49532	+26.20576	15.699	 7.126	 0.004	055.49532	+26.20576
     70176265220466048	Pleiades	055.04973	+25.87551	17.989	 6.962	 0.021	055.04973	+25.87551
     69996976105980800	Pleiades	057.39710	+25.99282	16.750	 7.582	 0.024	057.39710	+25.99282
