#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-11-19T09:31:40 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5bf282a85752	
#INFO	-out.max=9999	
#INFO	queryParameters=21	
#-oc.form=dec
#-out.max=9999
#-out.add=_RAJ,_DEJ
#-order=I
#-out.src=J/A+A/616/A10/tablea1a
#-nav=cat:J/A+A/616/A10&tab:{J/A+A/616/A10/tablea1a}&key:source=J/A+A/616/A10/tablea1a&HTTPPRM:&&-ref=VIZ5bf282a85752&-out.max=9999&-out.form=HTML Table&-out.add=_RAJ,_DEJ&-oc.form=dec&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Source&-out=Cluster&Cluster=praesepe&-out=RA_ICRS&-out=DE_ICRS&-out=Gmag&-out=plx&-out=e_plx&-out=_RA.icrs&-out=_DE.icrs&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+A/616/A10/tablea1a
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/616/A10/tablea1a
#-out=Source
#-out=Cluster
#Cluster=praesepe
#-out=RA_ICRS
#-out=DE_ICRS
#-out=Gmag
#-out=plx
#-out=e_plx
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_36160010
#Name: J/A+A/616/A10
#Title: 46 open clusters GaiaDR2 HR diagrams (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	J_A_A_616_A10_tablea1a:
#Name: J/A+A/616/A10/tablea1a
#Title: Stars in nine open clusters within 250pc
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Source	(I22)	Source identifier in Gaia DR2 (source_id)	[ucd=meta.id]
#Column	Cluster	(A8)	Cluster identifier	[ucd=meta.id.parent]
#Column	RA_ICRS	(F9.5)	Right Ascension (ICRS), epoch 2015.5	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F9.5)	Declination (ICRS), epoch 2015.5	[ucd=pos.eq.dec;meta.main]
#Column	Gmag	(F6.3)	Gaia G mean magnitude	[ucd=phot.mag;em.opt.V]
#Column	plx	(F6.3)	? Optimized parallax (only in tablea1a.dat) (1)	[ucd=pos.parallax.trig]
#Column	e_plx	(F6.3)	? Uncertainty on optimized parallax (only in tablea1a.dat)	[ucd=stat.error;pos.parallax]
#Column	_RA.icrs	(F9.5)	Right ascension (ICRS) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F9.5)	Declination (ICRS) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
deg	deg	 	 	deg	deg	mag	mas	mas	deg	deg
_RAJ2000	_DEJ2000	Source	Cluster	RA_ICRS	DE_ICRS	Gmag	plx	e_plx	_RA.icrs	_DE.icrs
133.1593300	+21.1550200	    685747814353991296	Praesepe	133.15933	+21.15502	15.859	 5.639	 0.034	133.15933	+21.15502
130.2250100	+21.7566300	    665141141087298688	Praesepe	130.22501	+21.75663	18.489	 5.629	 0.020	130.22501	+21.75663
129.7338500	+21.9408000	    665203233431193344	Praesepe	129.73385	+21.94080	18.440	 5.334	 0.055	129.73385	+21.94080
130.8438700	+21.6716300	    664963024499946496	Praesepe	130.84387	+21.67163	10.404	 5.556	 0.040	130.84387	+21.67163
130.7618800	+21.7537500	    664976218639479296	Praesepe	130.76188	+21.75375	17.337	 6.153	 0.093	130.76188	+21.75375
131.0453800	+21.7938900	    665059403566191872	Praesepe	131.04538	+21.79389	16.471	 5.728	 0.042	131.04538	+21.79389
131.1841200	+21.1203200	    664879667774808576	Praesepe	131.18412	+21.12032	17.151	 5.709	 0.070	131.18412	+21.12032
130.4307700	+21.4972700	    664942404361149568	Praesepe	130.43077	+21.49727	18.156	 5.198	 0.150	130.43077	+21.49727
130.9022600	+21.3193200	    664898256393208704	Praesepe	130.90226	+21.31932	16.885	 5.356	 0.051	130.90226	+21.31932
131.7675400	+22.2737100	    665054283965182208	Praesepe	131.76754	+22.27371	14.329	 5.421	 0.028	131.76754	+22.27371
130.4304200	+21.3616500	    664922956749165696	Praesepe	130.43042	+21.36165	18.041	 5.396	 0.059	130.43042	+21.36165
131.2240900	+21.6191200	    664909831331050624	Praesepe	131.22409	+21.61912	18.936	 5.786	 0.082	131.22409	+21.61912
130.6084600	+21.2307900	    664923064123308672	Praesepe	130.60846	+21.23079	16.623	 5.425	 0.004	130.60846	+21.23079
130.6081000	+21.2307800	    664923064123308416	Praesepe	130.60810	+21.23078	16.086	 5.279	 0.033	130.60810	+21.23078
131.1356500	+21.6830200	    664914164952043008	Praesepe	131.13565	+21.68302	16.215	 5.434	 0.016	131.13565	+21.68302
131.2242700	+21.6184400	    664909835625008256	Praesepe	131.22427	+21.61844	15.499	 5.693	 0.036	131.22427	+21.61844
129.8386300	+22.0889700	    665212510560536960	Praesepe	129.83863	+22.08897	16.871	 5.453	 0.038	129.83863	+22.08897
131.3662600	+21.6535300	    665004702861616256	Praesepe	131.36626	+21.65353	10.407	 5.122	 0.045	131.36626	+21.65353
130.1309600	+21.6784800	    665139697978259200	Praesepe	130.13096	+21.67848	18.026	 5.371	 0.029	130.13096	+21.67848
130.8228400	+21.4517800	    664950100944568192	Praesepe	130.82284	+21.45178	18.945	 5.608	 0.029	130.82284	+21.45178
131.6202500	+22.3521000	    665104346103922688	Praesepe	131.62025	+22.35210	 8.146	 5.365	 0.023	131.62025	+22.35210
130.5135100	+21.1725800	    664916570133718272	Praesepe	130.51351	+21.17258	18.166	 5.323	 0.038	130.51351	+21.17258
131.6665100	+21.5747900	    664993531651217152	Praesepe	131.66651	+21.57479	19.124	 5.528	 0.040	131.66651	+21.57479
130.3992300	+21.2935600	    664922102051593472	Praesepe	130.39923	+21.29356	17.356	 5.608	 0.013	130.39923	+21.29356
130.5840700	+21.7454300	    664974015320042752	Praesepe	130.58407	+21.74543	18.799	 5.634	 0.038	130.58407	+21.74543
131.4526300	+21.5323400	    664989722016905728	Praesepe	131.45263	+21.53234	16.414	 5.684	 0.070	131.45263	+21.53234
