RAJ2000,DEJ2000,probability_DANCe,EPIC
286.577835918,-13.8008297875,0.736601194479747,
287.164554916,-13.6497964942,0.951864566515844,
291.326538493,-14.0692542115,0.932025480041679,
285.240526061,-14.7439040201,0.799267305859579,220070265.0
286.241408758,-15.5948140305,0.872384297670303,219856935.0
286.347896457,-16.2444658246,0.98561588347909,219635263.0
289.223175241,-19.3783871022,0.79549065315158,218118532.0
287.085934819,-17.8902016871,0.987648157790296,218927928.0
286.347842559,-16.244170125,0.957231375261769,219635263.0
292.174550359,-15.9730297234,0.804570455238332,219732867.0
290.944262774,-14.9036015726,0.830532060244426,
292.012972564,-15.305846055,0.923407393657173,
290.31477268,-13.9318488236,0.789242400839861,
291.326108405,-17.1738827566,0.907070852725673,219258383.0
290.014247884,-14.9318695547,0.727717171965279,220033267.0
293.268370708,-20.0459319866,,
291.615203033,-21.2459329321,,217057859.0
289.224771935,-10.7634265362,,
289.831201688,-10.8663877081,,
287.261203899,-11.936377133,,
291.401752481,-11.3170069969,,
290.073469626,-12.2622116635,,
290.892138184,-12.1668546964,,
289.354812942,-12.5417004917,,
290.59871565,-12.9021993575,,
289.770324086,-13.4599998272,,
289.721937962,-14.4268839014,0.195017868733408,
288.861193089,-14.204758823,1.13757213227983e-09,
290.839545571,-13.8557265351,0.00244778257390686,
290.460001776,-14.5761066035,1.73065787287069e-76,
289.251451558,-15.1816448143,0.283854255776949,219973984.0
290.215080773,-15.1451778929,0.0103050249081267,219983184.0
289.976672213,-15.2760352136,0.00574238348921414,219949130.0
289.036612559,-15.407780467,1.50141735978008e-07,219912566.0
288.621126883,-15.8182413159,0.0447912080043511,219785429.0
288.51137953,-15.9015944267,0.0709359871859175,219757320.0
289.09182842,-15.7711058346,0.445263641077558,219800881.0
288.816830077,-16.0332095286,6.62257306500872e-10,
289.15109385,-16.1268380105,9.46470270384306e-45,219678096.0
289.058948925,-16.1195303194,0.000727926548454971,219680760.0
290.021985062,-15.5098087732,0.355816140069805,219882693.0
290.021753461,-15.5933482241,0.162142490285258,219857389.0
290.551416155,-15.8887560418,0.434359492812123,219761627.0
289.964764214,-16.0662392292,1.7557948892828e-50,219700055.0
289.349343101,-16.0734300125,0.444941910789344,219697419.0
289.277388379,-16.3202518611,0.125089834626807,219606762.0
289.268080422,-16.3884979699,0.00345879620380709,219581274.0
289.548150052,-16.4872628556,4.52882811416358e-26,219543512.0
289.413804533,-16.609681508,3.42870280644092e-50,219495504.0
