#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-12-05T09:33:47 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)
#INFO	-ref=VIZ5c079b660d87
#INFO	-out.max=100
#INFO	queryParameters=22
#-oc.form=dec
#-out.max=100
#-out.add=_RAJ,_DEJ
#-nav=cat:J/AJ/152/113&tab:{J/AJ/152/113/table3}&key:source=J/AJ/152/113/table3&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/152/113/table3
#-order=I
#-out=EPIC
#-out=f_EPIC
#-out=t
#-out=Name
#-out=RAJ2000
#-out=DEJ2000
#-out=OName
#-out=Vmag
#-out=Ksmag
#-out=(V-K)0
#-out=Mm
#-out=PapIII
#

#RESOURCE=yCat_51520113
#Name: J/AJ/152/113
#Title: Pleiades members with K2 light curves. I. Periods (Rebull+, 2016)
#Table	J_AJ_152_113_table3:
#Name: J/AJ/152/113/table3
#Title: Supporting data for Pleiades members not detected to be periodic in the K2 data
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	EPIC	(I9)	Number in the Ecliptic Plane Input Catalog (EPIC) for K2	[ucd=meta.id;meta.main]
#Column	f_EPIC	(A1)	[a] Flag if not recovered literature period (1)	[ucd=meta.code]
#Column	t	(A1)	Indicates an object which the light curve suggests a "timescale" (table4)	[ucd=meta.ref.url]
#Column	Name	(A18)	Position based name (HHMMSS.ss+DDMMSS.s; J2000)	[ucd=meta.id]
#Column	RAJ2000	(F9.5)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	OName	(a23)	Other identifier	[ucd=meta.id]
#Column	Vmag	(F5.2)	[6.8/20.8]? The V-band magnitude (in Vega mag), if observed (G1)	[ucd=phot.mag;em.opt.V]
#Column	Ksmag	(F5.2)	[6.4/14.5] The 2MASS Ks (K-short) band magnitude (in Vega mag), if observed (G1)	[ucd=phot.mag;em.IR.K]
#Column	(V-K)0	(F5.2)	[-0.2/9.3] Dereddened V-Ks, (V-K_s_)_0_, color index (directly observed, if V and K_s_ exist, or inferred) (G1)	[ucd=phot.color;em.opt.V;em.IR.K]
#Column	Mm	(A4)	Pleiades membership indicator (best or ok) (G2)	[ucd=meta.code.member;instr.setup]
#Column	PapIII	(I3)	Indicates a Pleiades star in Paper III (Stauffer et al. 2016, Cat. J/AJ/152/115) [NULL integer written as an empty string]	[ucd=meta.number]
deg	deg	 	 	 	 	deg	deg	 	mag	mag	mag
_RAJ2000	_DEJ2000	EPIC	f_EPIC	t	Name	RAJ2000	DEJ2000	OName	Vmag	Ksmag	(V-K)0	Mm	PapIII
052.7649000	+19.6347500	210784603	 	t	033103.57+193805.1	052.76490	+19.63475	s3289407               	     	10.13	 3.77	best	  1
053.0098100	+21.3863500	210899735	 	 	033202.35+212310.8	053.00981	+21.38635	                       	     	12.11	 4.89	best	  1
053.0480700	+21.4655900	210904850	 	 	033211.53+212756.1	053.04807	+21.46559	UGCSJ033211.55+212755.7	     	13.90	 7.11	best	  1
053.2937300	+22.5220400	210971138	 	 	033310.49+223119.3	053.29373	+22.52204	DH027                  	15.55	11.25	 4.19	best	  1
053.8281100	+23.4391900	211029507	 	 	033518.74+232621.0	053.82811	+23.43919	DH045                  	     	13.98	 6.22	best	  1
054.2188600	+23.2625800	211018285	 	t	033652.52+231545.2	054.21886	+23.26258	DH065                  	13.66	10.62	 2.93	ok  	  1
054.8977300	+24.1184200	211071563	 	t	033935.45+240706.3	054.89773	+24.11842	HHJ407                 	15.66	11.18	 4.37	best	  1
055.4118900	+22.2779300	211073598	 	 	034138.85+221640.5	055.41189	+22.27793	HHJ176                 	     	12.60	 5.34	best	  1
055.4266900	+23.9158900	211059010	 	 	034142.40+235457.2	055.42669	+23.91589	HHJ6                   	     	13.73	 7.18	best	  1
055.8280800	+20.1291200	210817106	 	 	034318.73+200744.8	055.82808	+20.12912	UGCSJ034318.74+200744.3	     	12.49	 4.96	best	  1
055.8379500	+24.1858900	211075777	 	 	034321.10+241109.2	055.83795	+24.18589	HHJ65                  	     	13.35	 5.64	best	  1
055.9302100	+24.3745500	211088007	 	 	034343.25+242228.3	055.93021	+24.37455	HII158                 	     	 7.55	 0.57	best	  1
056.1062400	+22.4639100	210967607	 	 	034425.49+222750.0	056.10624	+22.46391	DH335                  	     	14.24	 6.60	best	  1
056.1071100	+24.3946700	211089323	 	 	034425.70+242340.8	056.10711	+24.39467	HD23246=HII344         	 8.17	 7.47	 0.59	best	  1
056.1495500	+23.5783600	211038095	 	 	034435.89+233442.0	056.14955	+23.57836	HHJ5                   	20.71	14.02	 6.58	best	  1
056.1970400	+19.9282700	210804032	 	 	034447.28+195541.7	056.19704	+19.92827	DH354                  	     	13.93	 5.59	ok  	  1
056.2134800	+23.2689600	211018711	 	 	034451.23+231608.2	056.21348	+23.26896	HII470                 	 8.95	 7.98	 0.86	best	  1
056.3655200	+23.1703500	211012313	 	 	034527.72+231013.2	056.36552	+23.17035	SK520                  	16.59	11.69	 4.79	ok  	  1
056.4073100	+23.7306500	211047412	 	 	034537.75+234350.3	056.40731	+23.73065	SHF10                  	     	13.81	 7.42	best	  1
056.4074100	+24.3356400	211085527	 	 	034537.77+242008.3	056.40741	+24.33564	HD23387=HII717         	 7.18	 6.61	 0.46	best	  1
056.4350400	+24.2203300	211078009	a	 	034544.40+241313.1	056.43504	+24.22033	HII761                 	10.56	 8.75	 1.70	best	  1
056.4651400	+24.0389000	211066835	 	 	034551.63+240220.0	056.46514	+24.03890	HD23409=HII804         	 7.85	 7.32	 0.42	best	  1
056.4904100	+24.0514400	211067590	 	 	034557.69+240305.1	056.49041	+24.05144	HHJ27                  	     	13.79	 5.97	best	  1
056.5120300	+24.5278700	211097879	 	 	034602.88+243140.3	056.51203	+24.52787	22Tau=HII859           	     	 6.43	-0.11	best	  1
