#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-12-05T08:37:38 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)
#INFO	-ref=VIZ5c0785e20a08
#INFO	-out.max=9999
#INFO	queryParameters=30
#-oc.form=dec
#-out.max=9999
#-out.add=_RAJ,_DEJ
#-nav=cat:J/ApJ/839/92&tab:{J/ApJ/839/92/table1}&key:source=J/ApJ/839/92/table1&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/839/92/table1
#-order=I
#-out=EPIC
#-out=RAJ2000
#-out=DEJ2000
#-out=Ksmag
#-out=V-Ks
#-out=PPer
#-out=SPer
#-out=LC
#-out=S/M
#-out=DD
#-out=DDmov
#-out=Shch
#-out=Beat
#-out=CPeak
#-out=Close
#-out=Res
#-out=RV
#-out=C
#-out=Simbad
#Simbad=Simbad
#

#RESOURCE=yCat_18390092
#Name: J/ApJ/839/92
#Title: Praesepe members with K2 light curve data (Rebull+, 2017)
#Table	J_ApJ_839_92_table1:
#Name: J/ApJ/839/92/table1
#Title: Periods and supporting data for Praesepe members with K2 light curves
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	EPIC	(I9)	Ecliptic Plane Input Catalog identifier	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Ksmag	(F5.2)	[6/15.4]? Apparent Ks band Vega magnitude (1)	[ucd=phot.mag;em.IR.K]
#Column	V-Ks	(F5.2)	[0.3/7.8]? The (V-Ks) color index (2)	[ucd=phot.color;em.opt.V;em.IR.K]
#Column	PPer	(F7.4)	[0.04/34.3]? Primary period taken to be the rotation period	[ucd=time.period]
#Column	SPer	(F7.4)	[0.04/24.6]? Secondary period	[ucd=time.period]
#Column	LC	(F6.3)	[0/0.3]? LC used as best (4)	[ucd=time.period]
#Column	S/M	(a9)	Single or multi-period star indicator (5)	[ucd=meta.note]
#Column	DD	(A3)	Double-dip LC indicator (163 "yes")	[ucd=meta.code]
#Column	DDmov	(A3)	Moving double-dip LC indicator (121 "yes")	[ucd=meta.code]
#Column	Shch	(A3)	Shape changer indicator (297 "yes")	[ucd=meta.code]
#Column	Beat	(A3)	Full LC has beating visible indicator (77 "yes") (6)	[ucd=meta.code]
#Column	CPeak	(A3)	Complex, structured peak and/or wide peak indicator (68 "yes") (6)	[ucd=meta.code]
#Column	Close	(A3)	Resolved close periods indicator (68 "yes") (6)	[ucd=meta.code]
#Column	Res	(A3)	Resolved distant periods indicator (71 "yes") (6)	[ucd=meta.code]
#Column	RV	(I3)	Display the new Keck radial velocity measured for this star (table 12) [NULL integer written as an empty string]	[ucd=meta.ref.url]
#Column	C	(I3)	Link to other data from this paper (tables 4-6, 9-11) for this star [NULL integer written as an empty string]	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
deg	deg	 	"h:m:s"	"d:m:s"	mag	mag	d	d	d
_RAJ2000	_DEJ2000	EPIC	RAJ2000	DEJ2000	Ksmag	V-Ks	PPer	SPer	LC	S/M	DD	DDmov	Shch	Beat	CPeak	Close	Res	RV	C	Simbad
123.2471250	+20.2482222	211999629	08 12 59.31	+20 14 53.6	12.68	 4.65	       	       	      	         	no 	no 	no 	no 	no 	no 	no 	  0	  1	Simbad
123.9637500	+16.7044167	211756862	08 15 51.30	+16 42 15.9	12.51	 4.90	 1.4548	 2.6271	 0.019	multi    	no 	no 	no 	yes	no 	no 	yes	  0	  1	Simbad
124.0647083	+19.9991389	211984209	08 16 15.53	+19 59 56.9	10.89	 2.46	13.7543	       	 0.005	single   	no 	no 	yes	no 	no 	no 	no 	  0	  1	Simbad
124.7653333	+18.7100278	211898878	08 19 03.68	+18 42 36.1	11.92	 5.10	 0.0750	       	 0.014	single   	no 	no 	no 	no 	no 	no 	no 	  0	  2	Simbad
125.8891667	+23.0021944	212148559	08 23 33.40	+23 00 07.9	13.31	 4.94	       	       	      	         	no 	no 	no 	no 	no 	no 	no 	  0	  1	Simbad
125.8961250	+22.0975000	212103962	08 23 35.07	+22 05 51.0	 9.87	 2.19	       	       	      	         	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
126.0388750	+20.0235833	211985684	08 24 09.33	+20 01 24.9	12.19	 4.14	       	       	      	timescale	no 	no 	no 	no 	no 	no 	no 	  0	  1	Simbad
126.1385000	+19.2953056	211938090	08 24 33.24	+19 17 43.1	12.20	 5.24	10.1055	       	 0.009	single   	no 	no 	yes	no 	no 	no 	no 	  0	  0	Simbad
126.2793333	+20.7903056	212032123	08 25 07.04	+20 47 25.1	10.54	 2.10	22.6623	       	 0.003	single   	no 	no 	yes	no 	no 	no 	no 	  0	  1	Simbad
126.3072083	+17.6125556	211820823	08 25 13.73	+17 36 45.2	14.23	 5.53	 1.1362	       	 0.042	single   	yes	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
126.3172083	+18.9107778	211912350	08 25 16.13	+18 54 38.8	14.27	 6.31	 0.2602	       	 0.040	single   	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
126.3426250	+20.3657500	212006725	08 25 22.23	+20 21 56.7	14.33	 6.56	 0.2029	 0.2349	 0.076	multi    	no 	no 	no 	no 	no 	yes	no 	  0	  0	Simbad
126.3542917	+20.2215833	211998019	08 25 25.03	+20 13 17.7	11.93	 4.48	17.7894	 0.5120	 0.008	multi    	no 	no 	no 	no 	no 	no 	yes	  0	  0	Simbad
126.3910000	+16.6446667	211752612	08 25 33.84	+16 38 40.8	13.58	 5.21	 1.1755	       	 0.085	single   	yes	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
126.4234167	+19.5117778	211952571	08 25 41.62	+19 30 42.4	14.17	 5.43	 0.2776	       	 0.045	single   	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
126.4765417	+22.9811667	212147595	08 25 54.37	+22 58 52.2	11.28	 3.39	14.0673	       	 0.004	single   	yes	yes	yes	no 	no 	no 	no 	  0	  0	Simbad
126.5050833	+22.2555556	212111862	08 26 01.22	+22 15 20.0	13.17	 5.33	 1.6193	       	 0.035	single   	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
126.5558333	+16.9182222	211771942	08 26 13.40	+16 55 05.6	10.68	 2.59	12.2891	       	 0.024	single   	yes	yes	yes	no 	no 	no 	no 	  0	  0	Simbad
126.5727083	+19.7265833	211966707	08 26 17.45	+19 43 35.7	12.98	 5.08	 9.2765	       	 0.037	single   	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
126.5970417	+19.5510556	211955066	08 26 23.29	+19 33 03.8	13.70	 5.47	 1.5361	       	 0.031	single   	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
126.6387500	+17.2608056	211796017	08 26 33.30	+17 15 38.9	12.28	 4.63	       	       	      	         	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
126.6450417	+19.5662778	211956071	08 26 34.81	+19 33 58.6	12.43	 5.16	       	       	      	         	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
126.6466667	+20.1823889	211995609	08 26 35.20	+20 10 56.6	10.56	 3.51	       	       	      	timescale	no 	no 	no 	no 	no 	no 	no 	  0	  1	Simbad
126.6640000	+16.8646667	211768266	08 26 39.36	+16 51 52.8	10.74	 2.31	12.1032	       	 0.017	single   	no 	no 	yes	no 	no 	no 	no 	  0	  0	Simbad
126.7532917	+21.5663056	212076029	08 27 00.79	+21 33 58.7	14.11	 6.06	 0.3194	       	 0.054	single   	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
126.7743333	+19.6214167	211959781	08 27 05.84	+19 37 17.1	13.41	 5.73	 0.2853	 0.3060	 0.050	multi    	no 	no 	no 	no 	no 	yes	no 	  0	  0	Simbad
126.7782083	+17.3225833	211800408	08 27 06.77	+17 19 21.3	11.44	 3.67	17.0446	       	 0.002	single   	no 	no 	yes	no 	no 	no 	no 	  0	  0	Simbad
126.8492917	+23.4528056	212168580	08 27 23.83	+23 27 10.1	13.97	 5.60	 1.0487	       	 0.097	single   	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
126.8776667	+20.2182778	211997840	08 27 30.64	+20 13 05.8	10.90	 3.14	12.9691	       	 0.018	single   	no 	no 	yes	no 	no 	no 	no 	  0	  0	Simbad
126.8789167	+22.1500556	212106559	08 27 30.94	+22 09 00.2	13.65	 5.16	       	       	      	         	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
126.8945000	+16.0249444	211708306	08 27 34.68	+16 01 29.8	12.87	 5.03	       	       	      	         	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
126.9608333	+20.2433889	211999343	08 27 50.60	+20 14 36.2	11.07	 3.33	14.5730	       	 0.009	single   	no 	no 	yes	no 	no 	no 	no 	  0	  0	Simbad
126.9622500	+19.8057500	211971819	08 27 50.94	+19 48 20.7	11.78	 4.16	16.9716	       	 0.029	single   	no 	no 	yes	no 	no 	no 	no 	  0	  0	Simbad
126.9789583	+16.7131389	211757464	08 27 54.95	+16 42 47.3	10.16	 2.43	       	       	      	         	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
126.9921667	+22.1020556	212104191	08 27 58.12	+22 06 07.4	 8.63	 1.07	 1.1329	       	 0.001	single   	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
127.0040833	+19.9047778	211978243	08 28 00.98	+19 54 17.2	10.49	 2.27	10.6707	       	 0.011	single   	no 	no 	yes	no 	no 	no 	no 	  0	  0	Simbad
127.0841667	+19.2585278	211935588	08 28 20.20	+19 15 30.7	13.38	 5.07	       	       	      	timescale	no 	no 	no 	no 	no 	no 	no 	  0	  1	Simbad
127.0872083	+19.8440278	211974283	08 28 20.93	+19 50 38.5	 9.43	 1.50	       	       	      	         	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
127.1122083	+20.1047500	211990768	08 28 26.93	+20 06 17.1	13.38	 5.23	 1.6090	       	 0.011	single   	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
127.1455833	+21.7950833	212088355	08 28 34.94	+21 47 42.3	10.73	 2.10	       	       	      	         	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
127.2300000	+19.6933611	211964473	08 28 55.20	+19 41 36.1	13.34	 5.24	 0.6228	       	 0.019	single   	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
127.3062083	+19.4799722	211950505	08 29 13.49	+19 28 47.9	 9.65	 1.62	 7.9873	       	 0.020	single   	yes	yes	yes	no 	no 	no 	no 	  0	  0	Simbad
127.3241667	+17.7031944	211827220	08 29 17.80	+17 42 11.5	12.10	 4.98	12.2172	       	 0.027	single   	no 	no 	yes	no 	no 	no 	no 	  0	  0	Simbad
127.3286250	+20.7179722	212027816	08 29 18.87	+20 43 04.7	12.40	 4.63	23.8033	       	 0.030	single   	no 	no 	yes	no 	no 	no 	no 	  0	  0	Simbad
127.3293750	+21.7155556	212084014	08 29 19.05	+21 42 56.0	14.40	 5.89	       	       	      	         	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
127.4309167	+18.5633889	211888866	08 29 43.42	+18 33 48.2	14.96	 6.01	       	       	      	         	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
127.4350417	+20.6730833	212025207	08 29 44.41	+20 40 23.1	 9.81	 2.15	       	       	      	timescale	no 	no 	no 	no 	no 	no 	no 	  0	  1	Simbad
127.4734583	+22.4422778	212121350	08 29 53.63	+22 26 32.2	 8.78	 1.10	 5.5063	 6.5599	 0.001	multi    	no 	no 	no 	no 	yes	yes	no 	  0	  0	Simbad
127.4877500	+18.5666667	211889082	08 29 57.06	+18 34 00.0	11.30	 4.27	12.3485	 1.8738	 0.030	multi    	no 	no 	no 	no 	no 	yes	yes	  0	  0	Simbad
127.4945417	+19.4830556	211950696	08 29 58.69	+19 28 59.0	14.61	 5.95	 3.2524	       	 0.041	single   	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
127.5110000	+19.9364167	211980234	08 30 02.64	+19 56 11.1	14.26	 6.67	       	       	      	         	no 	no 	no 	no 	no 	no 	no 	  0	  0	Simbad
127.5122083	+17.9505833	211845069	08 30 02.93	+17 57 02.1	13.72	 5.79	 1.3286	 0.6650	 0.020	multi    	no 	no 	no 	no 	no 	no 	yes	  0	  0	Simbad
