HIP,TYC,source_id,c,p,RV,e_RV,s_RV,plx_mod,e_plx_mod,RAJ2000_HIP,DEJ2000_HIP,RAJ2000_TYC,DEJ2000_TYC,DEJ2000_GaiaDR1,RAJ2000_GaiaDR1,RAJ2000,DEJ2000,ID,RAJ2000_epoch2000,DEJ2000_epoch2000
,1804-812-1,67351752990540544,0.4332,0.9333,35.28,1.092,8.0,22.658,0.158,,,,,25.804222936867426,58.171521868568654,58.170848960568144,25.804445983078818,67351752990540544,58.170848960568144,25.804445983078818
,1266-1286-1,3312644881687518976,0.23199999999999998,0.9723,40.73,1.078,8.0,21.223000000000003,0.161,,,68.2477135825425,15.8189682273343,15.818861952443418,68.24814843040737,68.2477005881076,15.818970149777673,3312644881687518976,68.2477005881076,15.818970149777673
,1265-433-1,3312921374502681984,0.4752,0.9243,40.04,1.085,8.0,23.496,0.207,,,,,16.47080629125407,67.04579382965609,67.04528102700097,16.470943096447726,3312921374502681984,67.04528102700097,16.470943096447726
,677-227-1,3306303998130681728,6.6793,0.0829,41.211999999999996,1.005,10.0,,,,,,,11.557861899521672,68.54685024676685,68.5464276439035,11.557955076451721,3306303998130681728,68.5464276439035,11.557955076451721
,1266-1175-1,3309956850635519488,0.2382,0.9712,40.8,1.051,8.0,20.323,0.158,,,69.0219473529117,15.6840050239701,15.683904334049787,69.02236016853156,69.02193065266228,15.68400845223071,3309956850635519488,69.02193065266228,15.68400845223071
,1269-57-1,3314484089763294592,1.4393,0.6963,38.135,3.9410000000000003,8.0,20.643,0.14300000000000002,,,,,18.500111173052733,66.99614693378767,66.99566979041515,18.50026089367641,3314484089763294592,66.99566979041515,18.50026089367641
,1266-149-1,3313259165090609280,0.5251,0.9134,39.41,1.334,8.0,20.578000000000003,0.2,,,,,16.762393446108078,68.40862242098031,68.40818204805163,16.762501825647384,3313259165090609280,68.40818204805163,16.762501825647384
,1266-944-1,3312602344331419136,0.8486,0.8378,40.16,1.091,8.0,19.099,0.161,,,,,15.827471827135854,68.63448474418476,68.63408067423642,15.82755826971664,3312602344331419136,68.63408067423642,15.82755826971664
,1265-569-1,3313630078465745280,1.0615,0.7864,34.96,3.4189999999999996,8.0,17.596,0.142,,,,,16.37883877957178,66.05365557738706,66.05325897399257,16.37893209445206,3313630078465745280,66.05325897399257,16.37893209445206
,680-594-1,3310876798270577792,3.9617,0.2656,40.532,1.002,10.0,,,,,,,14.260583575278849,66.85602698442572,66.85559641577561,14.26063253973911,3310876798270577792,66.85559641577561,14.26063253973911
,697-59-1,3391728561185367168,0.4726,0.9249,42.738,1.119,2.0,23.346999999999998,0.21,,,,,13.932918781664366,75.40051556488665,75.40013556494091,13.933011869597006,3391728561185367168,75.40013556494091,13.933011869597006
,1271-879-1,3406216379227986048,3.8488,0.2783,43.56,1.673,8.0,,,,,,,17.068994577842872,70.8158234122362,70.81537439079145,17.06916836293862,3406216379227986048,70.81537439079145,17.06916836293862
,1280-58-1,3405988677241799040,0.1327,0.9876,41.31,1.113,8.0,20.579,0.16699999999999998,,,,,16.41194798803364,72.50333779596959,72.50295958304834,16.412063831531277,3405988677241799040,72.50295958304834,16.412063831531277
,1280-681-1,3405127244241184256,0.2718,0.9652,41.86600000000001,1.4880000000000002,2.0,16.679000000000002,0.175,,,,,15.9474538928153,72.21564302260198,72.21533238482533,15.947541784852927,3405127244241184256,72.21533238482533,15.947541784852927
,1274-1204-1,3410640882737635200,0.1193,0.9894,39.33,1.053,8.0,19.279,0.204,,,68.1706090087325,19.1134806582627,19.113341691091566,68.17100899561349,68.17059607108904,19.113484747549087,3410640882737635200,68.17059607108904,19.113484747549087
18018.0,,66482348530642176,0.0164,0.9994,34.42,1.0070000000000001,5.0,24.6,0.165,57.7629790408217,23.9036506884453,,,23.903450610370992,57.76367460047049,57.762956304643154,23.903657699644484,66482348530642176,57.762956304643154,23.903657699644484
19862.0,,3312197930211158784,0.0777,0.9944,38.049,1.014,5.0,22.346,0.179,63.8903672286535,15.706267654862,,,15.706170508849757,63.89088811561303,63.89034912995782,15.706270390130058,3312197930211158784,63.89034912995782,15.706270390130058
19834.0,,3311492799660064384,0.0672,0.9955,37.867,1.063,5.0,21.135,0.152,63.7933679473315,14.3984553871487,,,14.398379033792155,63.7938615374625,63.79335300299224,14.398457887496493,3311492799660064384,63.79335300299224,14.398457887496493
21138.0,,3312564033223630720,0.1643,0.9831,40.367,1.022,5.0,22.017,0.174,67.9686342865908,15.4994814523053,,,15.499380300810547,67.9690893486698,67.96861926734525,15.499484785029047,3312564033223630720,67.96861926734525,15.499484785029047
18327.0,1253-868-1,43538289638888064,0.4857,0.922,36.027,1.008,5.0,24.449,0.156,58.7770881684733,16.9984776944801,,,16.998375793811284,58.777732332797164,58.777067868739,16.99848123303104,43538289638888064,58.777067868739,16.99848123303104
20890.0,1273-711-1,48061405596787712,0.1923,0.9788,39.22,1.003,5.0,21.081999999999997,0.17600000000000002,67.1550665277924,19.740689635984,,,19.740530557368167,67.15552242282577,67.15505256701879,19.740694701701827,48061405596787712,67.15505256701879,19.740694701701827
20130.0,1272-325-1,49005576847854080,0.2806,0.9636,38.89,1.002,5.0,21.616999999999997,0.168,64.7415603280293,19.9067016030485,,,19.906549116605213,64.7420609597224,64.74154429322985,19.90670633936308,49005576847854080,64.74154429322985,19.90670633936308
19504.0,1255-312-1,46975431705914112,0.1056,0.9912,37.1,1.044,5.0,21.805,0.17600000000000002,62.6765124841719,18.4232540113373,,,18.423125275304447,62.67704552404234,62.67649415132201,18.42325841708179,46975431705914112,62.67649415132201,18.42325841708179
19148.0,1250-686-1,45367052352895360,0.45399999999999996,0.9289,37.607,1.014,5.0,21.069000000000003,0.15,61.5671990964311,15.6981207260114,,,15.69803842299654,61.567713765573686,61.567181868505976,15.698122880425235,45367052352895360,61.567181868505976,15.698122880425235
20146.0,1268-352-1,47345005052090880,0.1627,0.9834,38.146,1.003,5.0,21.399,0.16399999999999998,64.7833669385314,17.5247551530668,,,17.524638378564774,64.7838606657426,64.78335014265043,17.524757990282005,47345005052090880,64.78335014265043,17.524757990282005
20350.0,1268-295-1,47541096078933376,1.0259,0.795,41.2,2.4,5.0,21.405,0.205,65.3844515255903,18.4175836815131,,,18.41744921820288,65.38493716942581,65.38443523805911,18.417586409801764,47541096078933376,65.38443523805911,18.417586409801764
13976.0,641-305-1,8479090076267264,0.7785,0.8546,28.75,1.016,5.0,42.528,0.19699999999999998,45.0117168821549,7.7497548423119,,,7.74984346314351,45.01309578976287,45.011670416753944,7.749752367356518,8479090076267264,45.011670416753944,7.749752367356518
15563.0,649-5-1,11037722353344384,0.0946,0.9925,30.85,1.033,5.0,31.693,0.16699999999999998,50.1216463612036,8.4544500819069,,,8.454475969788005,50.12259973569017,50.1216144446721,8.454450478273879,11037722353344384,50.1216144446721,8.454450478273879
19207.0,1250-4-1,45159897490770816,0.465,0.9265,38.055,1.026,5.0,22.119,0.165,61.7551058869058,15.3350301185867,,,15.334947004992165,61.755645171544856,61.75508896087811,15.335032405822728,45159897490770816,61.75508896087811,15.335032405822728
