C.D.S.  -  SIMBAD4 rel 1.7  -  2018.12.14CET11:51:46

 IdentList
----------

 # 	  typed ident  	       identifier        	typ	                all types                	     coord1 (ICRS,J2000/2000)      
---	---------------	-------------------------	---	-----------------------------------------	-----------------------------------
1  	TYC 1804-812-1 	HD 283044                	PM*	*,*,*iC,PM*,PM*,IR                       	058.1708744224303 +25.8044370822656
2  	TYC 1266-1286-1	V* V997 Tau              	BY*	*,*,*iC,V*,BY*,IR,X                      	068.2477135825425 +15.8189682273343
3  	TYC 1265-433-1 	HD 285804                	PM*	*,*,*iC,PM*,IR                           	067.0452965618312 +16.4709392759238
4  	TYC 677-227-1  	TYC 677-227-1            	PM*	*,*,*iC,PM*,PM*,IR,X                     	068.5464270580787 +11.5579548219337
5  	TYC 1266-1175-1	HD 29159                 	PM*	*,*,*iC,PM*,IR                           	069.0219473529117 +15.6840050239701
6  	TYC 1269-57-1  	HD 285766                	SB*	SB*,SB*,*,*,*iC,PM*,IR,X                 	066.9956900301927 +18.5002741659357
7  	TYC 1266-149-1 	HD 28878                 	PM*	*,*,*iC,PM*,IR,X                         	068.4081961046694 +16.7624995796599
8  	TYC 1266-944-1 	HD 28977                 	PM*	*,*,*iC,PM*,IR                           	068.6340933183742 +15.8275572081126
9  	TYC 1265-569-1 	HD 27835                 	PM*	*,*,*iC,PM*,IR,X                         	066.0532665637913 +16.3789312471078
10 	TYC 680-594-1  	HD 285828                	SB*	SB*,*,*,*iC,PM*,IR                       	066.8555772625269 +14.2606678196646
11 	TYC 697-59-1   	Cl Melotte 25 348        	PM*	*,*,*iC,PM*,IR                           	075.4001451327511 +13.9330106009696
12 	TYC 1271-879-1 	HD 29896                 	SB*	SB*,SB*,*,*,*iC,PM*,IR,X                 	070.8154330089184 +17.0691823984703
13 	TYC 1280-58-1  	HD 286085                	PM*	*,*,*iC,PM*,IR                           	072.5029727985727 +16.4120608976319
14 	TYC 1280-681-1 	TYC 1280-681-1           	PM*	*,*,PM*,IR                               	072.2153434818018 +15.9475391635387
15 	TYC 1274-1204-1	HD 285836                	PM*	*,*,*iC,PM*,IR                           	068.1706090087325 +19.1134806582627
16 	TYC 1253-868-1 	HD 285252                	PM*	*,*,*iC,PM*,IR                           	058.7770881684733 +16.9984776944801
17 	TYC 1273-711-1 	V* V918 Tau              	BY*	SB*,*,*,*iC,PM*,V*,BY*,IR                	067.1550665277924 +19.7406896359840
18 	TYC 1272-325-1 	V* V893 Tau              	BY*	*,*,*iC,PM*,V*,BY*,IR                    	064.7415603280293 +19.9067016030485
19 	TYC 1255-312-1 	HD 26345                 	PM*	*,*,*iC,PM*,IR,UV,X                      	062.6765124841719 +18.4232540113373
20 	TYC 1250-686-1 	HD 25825                 	PM*	*,*,*iC,PM*,IR,UV                        	061.5671990964311 +15.6981207260114
21 	TYC 1268-352-1 	HD 27282                 	PM*	*,*,*iC,PM*,IR,X                         	064.7833669385314 +17.5247551530668
22 	TYC 1268-295-1 	HD 27534                 	PM*	*,*,*iC,PM*,IR,UV                        	065.3844515255903 +18.4175836815131
23 	TYC 641-305-1  	V* BZ Cet                	BY*	*,*,*iC,PM*,PM*,V*,BY*,IR,X              	045.0117168821549 +07.7497548423119
24 	TYC 649-5-1    	BD+07 499                	PM*	*,*,*iC,PM*,PM*,IR                       	050.1216463612036 +08.4544500819069
