EPIC,Channel,Campaign
210923016,84,13
210899260,84,13
247732783,47,13
247369717,67,13
247318877,64,13
210942999,70,4
211037886,12,4
211049709,10,4
210828490,83,13
247441866,66,13
247611242,46,13
210744677,21,4
246816464,34,13
246996971,39,13
211058178,49,4
246953721,58,13
246862801,59,13
246732310,54,13
246884081,59,13
246865157,59,13
246928683,59,13
210451321,15,4
210432080,16,4
210468157,15,4
247044455,37,13
211088189,11,4
210949810,81,13
247139505,78,13
247610046,65,13
246887841,60,13
210846111,83,13
210834592,83,13
210835057,83,13
247862511,70,13
247899959,69,13
211169647,31,4
210865372,65,4
210941195,26,4
246953884,40,13
246943512,40,13
247002634,58,13
210704853,44,4
246863569,76,13
210596446,76,13
210558541,76,13
210552148,76,13
210534962,76,13
200173845,76,13
210566619,76,13
210693497,1,4
210523892,39,4
210653579,78,13
200007766,1,4
210667985,79,13
210674406,4,4
210666330,79,13
248018423,30,13
247288261,44,13
247395996,42,13
247308468,44,13
246996958,57,13
247560983,46,13
211026112,27,4
210772796,21,4
210771915,21,4
210742592,21,4
210769813,42,4
247218216,64,13
247230044,61,13
247254123,64,13
246642267,56,13
210839963,46,4
210317378,56,4
248170923,31,13
247755982,70,13
247783757,47,13
247829435,48,13
247337843,41,13
247289039,61,13
247306074,61,13
247969085,49,13
247813004,69,13
210774807,3,4
210439387,15,4
210408563,16,4
210459199,15,4
246711015,35,13
246663474,36,13
246690477,36,13
247793419,27,13
247134293,37,13
246794704,74,13
246807491,74,13
247744104,48,13
210579563,37,4
246767001,16,13
246654857,36,13
246911984,73,13
246878254,73,13
246900928,73,13
246846196,34,13
247153621,63,13
247144105,63,13
247094343,63,13
247164626,63,13
247589423,68,13
247592661,68,13
247523445,68,13
246808055,74,13
246735080,75,13
246707008,75,13
210491860,75,13
246789687,75,13
246777832,75,13
210643507,64,4
247297768,2,13
210718930,3,4
210707811,2,4
210744818,2,4
210700098,2,4
210741091,80,13
210736105,2,4
210743724,80,13
210754620,3,4
210726910,80,13
210721261,78,13
210619926,62,4
246787471,54,13
247072635,58,13
247973705,50,13
210371851,35,4
210470484,14,4
210490365,13,4
210489127,14,4
247641327,65,13
247649755,47,13
210563410,63,4
247167923,38,13
211036776,10,4
247185579,62,13
247138317,62,13
210545912,80,4
210359769,53,4
210365286,54,4
200007765,14,4
210517837,14,4
210419589,33,4
210827030,23,4
247069684,78,13
210674207,79,13
247796367,25,13
246711398,53,13
210709514,4,4
210652965,78,13
211041649,10,4
211137806,31,4
210976212,27,4
210963067,9,4
210497173,13,4
210980637,12,4
210899231,84,13
210878579,83,13
210742017,3,4
210772187,77,13
210651981,4,4
210554781,76,13
210551925,76,13
246714118,75,13
247556609,68,13
246752527,74,13
247282522,64,13
247603230,65,13
246768912,74,13
247122957,63,13
246981320,57,13
246971978,58,13
246625561,56,13
246990037,58,13
247639356,46,13
248045685,49,13
248199652,32,13
247381505,42,13
246806983,16,13
