EPIC,Channel,Campaign
211389428,13,18
211389537,13,5
211389716,13,5
211389931,13,18
211390158,13,5
211391125,13,5
211391208,13,18
211391297,13,5
211391564,13,5
211391621,13,5
211392234,13,5
211392354,13,5
211392455,13,5
211392789,13,18
211392859,13,18
211393129,13,5
211393422,13,18
211394056,13,18
211394185,13,18
211394279,13,18
211394397,13,5
211394534,13,18
211394542,13,5
211394607,13,5
211394537,13,5
211394644,13,5
211395037,13,5
211395187,13,18
211395501,13,18
211395492,13,5
211395606,13,5
211395699,13,5
211395620,13,5
211395891,13,5
211396025,13,18
211396155,13,5
211396422,13,5
211396385,13,18
211396493,13,18
369,0,0
417,0,0
422,0,0
448,0,0
471,0,0
472,0,0
480,0,0
512,0,0
514,0,0
525,0,0
547,0,0
578,0,0
598,0,0
656,0,0
679,0,0
680,0,0
690,0,0
700,0,0
705,0,0
714,0,0
722,0,0
724,0,0
725,0,0
732,0,0
740,0,0
755,0,0
758,0,0
761,0,0
773,0,0
794,0,0
795,0,0
800,0,0
808,0,0
816,0,0
827,0,0
847,0,0
850,0,0
853,0,0
858,0,0
861,0,0
868,0,0
876,0,0
878,0,0
885,0,0
888,0,0
897,0,0
902,0,0
905,0,0
913,0,0
914,0,0
915,0,0
925,0,0
934,0,0
935,0,0
939,0,0
942,0,0
951,0,0
957,0,0
963,0,0
966,0,0
970,0,0
972,0,0
975,0,0
978,0,0
981,0,0
984,0,0
987,0,0
988,0,0
990,0,0
994,0,0
999,0,0
1004,0,0
1009,0,0
1011,0,0
1017,0,0
1019,0,0
1027,0,0
1031,0,0
1041,0,0
1042,0,0
1051,0,0
1052,0,0
1053,0,0
1055,0,0
1061,0,0
1068,0,0
1071,0,0
1077,0,0
1081,0,0
1082,0,0
1083,0,0
1086,0,0
1087,0,0
1090,0,0
1104,0,0
1107,0,0
1109,0,0
1111,0,0
1117,0,0
1121,0,0
1123,0,0
1128,0,0
1130,0,0
1132,0,0
1135,0,0
1139,0,0
1140,0,0
1145,0,0
1146,0,0
1147,0,0
1150,0,0
1155,0,0
1156,0,0
1158,0,0
1162,0,0
1170,0,0
1171,0,0
1173,0,0
1175,0,0
1179,0,0
1181,0,0
1185,0,0
1189,0,0
1192,0,0
1194,0,0
1196,0,0
1197,0,0
1201,0,0
1208,0,0
1211,0,0
1215,0,0
1216,0,0
1217,0,0
1218,0,0
1220,0,0
1221,0,0
1232,0,0
1235,0,0
1237,0,0
1238,0,0
1242,0,0
1245,0,0
1249,0,0
1252,0,0
1256,0,0
1261,0,0
1263,0,0
1267,0,0
1273,0,0
1275,0,0
1276,0,0
1280,0,0
1281,0,0
1284,0,0
1287,0,0
1290,0,0
1292,0,0
1296,0,0
1297,0,0
1298,0,0
1303,0,0
1304,0,0
1305,0,0
1306,0,0
1312,0,0
1320,0,0
1321,0,0
1330,0,0
1338,0,0
1344,0,0
1345,0,0
1349,0,0
1351,0,0
1352,0,0
1353,0,0
1355,0,0
1356,0,0
1360,0,0
1364,0,0
1377,0,0
1378,0,0
1389,0,0
1390,0,0
1391,0,0
1393,0,0
1396,0,0
1398,0,0
1399,0,0
1401,0,0
1403,0,0
1409,0,0
1410,0,0
1411,0,0
1412,0,0
1416,0,0
1417,0,0
1418,0,0
1419,0,0
1421,0,0
1427,0,0
1431,0,0
1432,0,0
1442,0,0
1445,0,0
1454,0,0
1457,0,0
1461,0,0
1462,0,0
1469,0,0
1470,0,0
1474,0,0
1478,0,0
1482,0,0
1483,0,0
1484,0,0
1490,0,0
1492,0,0
1493,0,0
1495,0,0
1500,0,0
1507,0,0
1510,0,0
1511,0,0
1512,0,0
1514,0,0
1517,0,0
1518,0,0
1520,0,0
1524,0,0
1525,0,0
1526,0,0
1532,0,0
1535,0,0
1539,0,0
1541,0,0
1543,0,0
1544,0,0
1546,0,0
1548,0,0
1550,0,0
1556,0,0
1565,0,0
1566,0,0
1569,0,0
1572,0,0
1582,0,0
1586,0,0
1592,0,0
1596,0,0
1598,0,0
1601,0,0
1602,0,0
1604,0,0
1606,0,0
1611,0,0
1619,0,0
1620,0,0
1621,0,0
1625,0,0
1637,0,0
1639,0,0
1640,0,0
1641,0,0
1646,0,0
1648,0,0
1651,0,0
1662,0,0
1664,0,0
1667,0,0
1668,0,0
1674,0,0
1675,0,0
1676,0,0
1679,0,0
1680,0,0
1692,0,0
1699,0,0
1700,0,0
1705,0,0
1709,0,0
1710,0,0
1716,0,0
1721,0,0
1723,0,0
1732,0,0
1733,0,0
1734,0,0
1735,0,0
1743,0,0
1745,0,0
1747,0,0
1748,0,0
1751,0,0
1753,0,0
1756,0,0
1757,0,0
1758,0,0
1761,0,0
1763,0,0
1765,0,0
1768,0,0
1775,0,0
1778,0,0
1782,0,0
1796,0,0
1800,0,0
1802,0,0
1813,0,0
1816,0,0
1820,0,0
1821,0,0
1822,0,0
1824,0,0
1832,0,0
1835,0,0
1837,0,0
1839,0,0
1844,0,0
1846,0,0
1850,0,0
1851,0,0
1852,0,0
1856,0,0
1858,0,0
1862,0,0
1863,0,0
1864,0,0
1872,0,0
1874,0,0
1876,0,0
1877,0,0
1879,0,0
1885,0,0
1888,0,0
1890,0,0
1894,0,0
1895,0,0
1897,0,0
1912,0,0
1920,0,0
1922,0,0
1925,0,0
1936,0,0
1938,0,0
1939,0,0
1941,0,0
1942,0,0
1946,0,0
1951,0,0
1957,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1974,0,0
1985,0,0
1988,0,0
1989,0,0
1990,0,0
1994,0,0
1995,0,0
1997,0,0
1999,0,0
2001,0,0
2007,0,0
2011,0,0
2014,0,0
2020,0,0
2025,0,0
2030,0,0
2033,0,0
2034,0,0
2035,0,0
2041,0,0
2049,0,0
2059,0,0
2064,0,0
2078,0,0
2080,0,0
2093,0,0
2094,0,0
2121,0,0
2134,0,0
2141,0,0
2142,0,0
2165,0,0
2173,0,0
2177,0,0
2188,0,0
2195,0,0
2198,0,0
2210,0,0
2211,0,0
2216,0,0
2221,0,0
2222,0,0
2226,0,0
2231,0,0
2250,0,0
2263,0,0
2270,0,0
2272,0,0
2276,0,0
2278,0,0
2280,0,0
2289,0,0
2292,0,0
2313,0,0
2314,0,0
2318,0,0
2324,0,0
2325,0,0
2337,0,0
2343,0,0
2368,0,0
2463,0,0
2477,0,0
2744,0,0
2794,0,0
2816,0,0
2827,0,0
2885,0,0
2887,0,0
2975,0,0
3002,0,0
3005,0,0
3168,0,0
3208,0,0
3230,0,0
3622,0,0
4157,0,0
7217,0,0
7315,0,0
409,0,0
522,0,0
566,0,0
597,0,0
620,0,0
623,0,0
630,0,0
632,0,0
660,0,0
707,0,0
746,0,0
791,0,0
828,0,0
849,0,0
877,0,0
896,0,0
911,0,0
944,0,0
952,0,0
989,0,0
1080,0,0
1138,0,0
1142,0,0
1163,0,0
1177,0,0
1182,0,0
1198,0,0
1214,0,0
1250,0,0
1251,0,0
1266,0,0
1317,0,0
1322,0,0
1329,0,0
1350,0,0
1365,0,0
1372,0,0
1420,0,0
1429,0,0
1443,0,0
1446,0,0
1467,0,0
1476,0,0
1489,0,0
1499,0,0
1537,0,0
1581,0,0
1593,0,0
1600,0,0
1617,0,0
1649,0,0
1682,0,0
1695,0,0
1730,0,0
1737,0,0
1749,0,0
1787,0,0
1810,0,0
1855,0,0
1913,0,0
1987,0,0
2113,0,0
2151,0,0
2166,0,0
2182,0,0
2209,0,0
2233,0,0
2234,0,0
2293,0,0
2350,0,0
2850,0,0
2857,0,0
2918,0,0
3060,0,0
6967,0,0
7153,0,0
211396551,13,5
211396570,13,18
211396893,13,18
211397013,13,18
211397127,13,18
211397319,13,5
211397501,13,5
211397512,13,5
211397558,13,18
211397877,13,5
211397837,13,5
211398233,13,5
211398269,13,5
211398314,13,5
211398541,13,5
211398612,13,18
211398747,13,5
211399087,13,5
211399481,13,5
211399673,13,5
211399695,13,5
211399819,13,5
211399742,13,5
211400002,13,5
211400106,13,5
211400215,13,5
211400302,13,18
211400500,13,5
211400563,13,5
211400616,13,5
211400620,13,18
211400944,13,5
211401265,13,5
211401366,13,5
211401251,13,5
211401403,13,5
211401610,13,5
200233473,13,18
211401683,13,18
200233479,13,18
211401872,13,18
200008704,13,5
211402663,13,5
211403356,13,5
200233456,13,18
200233454,13,18
211403852,13,18
211403974,13,18
200233444,13,18
211403975,13,5
200200419,52,16
211404466,13,5
211404773,13,5
200233429,13,18
211405094,13,5
211405262,13,18
200233440,13,18
200233433,13,18
211406144,13,5
200200428,52,16
211406596,13,5
200200430,52,16
200200460,52,16
211407277,13,18
211407666,52,16
200233405,13,18
211408015,52,16
211408116,13,18
211408138,13,18
211408169,13,18
211408750,13,5
211408858,13,5
211408990,13,5
211409011,13,5
211409088,13,5
211409345,52,16
211409348,13,5
211409376,13,5
211409560,13,5
211409644,13,18
211409664,13,18
211410090,13,5
200233384,13,18
200200495,52,16
211410931,13,5
211410992,13,5
211411112,52,16
211411508,13,18
200233364,13,18
200200487,52,16
211411922,52,16
211411894,13,5
200200517,52,16
211412077,13,5
211412192,13,5
211412252,13,18
211412587,52,16
211412848,52,16
211412839,52,16
211412877,13,5
211413212,13,18
211413327,13,18
211413815,13,5
211414081,52,16
211414203,52,16
211414156,13,5
200233344,13,18
211414687,52,16
211414962,52,16
211414938,13,5
211415085,13,18
211415229,13,18
211415273,52,16
211415364,13,18
211415591,13,18
200233322,13,18
211416111,13,18
211416616,13,5
211416648,13,18
211416749,13,5
211416925,13,18
211417004,13,18
200233303,13,18
211417284,52,16
211417559,13,5
211417765,13,5
211417658,13,18
211417817,13,5
200200588,52,16
211418176,52,16
211418464,52,16
211418682,52,16
200233289,13,18
211419666,13,18
200233280,13,18
211420451,52,16
211420394,13,5
211420549,13,5
200233274,13,18
211420952,13,5
200233265,13,18
211421683,13,18
211421954,52,16
200233255,13,18
211422199,13,5
211422418,13,5
211422676,13,18
211422813,13,5
211423010,13,5
200200678,52,16
211423623,13,5
211423883,52,16
200233225,13,18
211426841,13,5
211427165,13,5
211427009,52,16
211427268,13,5
211427487,52,16
211427425,13,18
211427574,13,18
211427784,52,16
211427873,13,5
211427940,13,18
211428054,13,18
211428454,13,18
211428580,52,16
211428643,52,16
211428649,13,5
211428762,52,16
211429032,13,5
211429166,13,18
211429238,13,18
211429534,13,5
211429563,13,5
211430012,52,16
211430274,13,18
211430257,13,5
211430472,13,5
211418141,13,5
211429495,52,16
211436171,13,18
211436409,13,5
211435897,13,5
211435666,13,5
211435747,52,16
211435527,13,5
211435506,13,18
211435926,52,16
211435003,13,5
211434831,52,16
211434672,13,5
211434467,13,5
211434189,13,18
211433771,13,5
211433467,13,5
211433715,13,5
211434440,13,5
211433938,13,5
211433352,52,16
211432922,52,16
211433027,13,5
211432745,13,18
211432962,13,18
211432847,52,16
211432425,13,5
211432657,13,5
211432548,52,16
211432269,52,16
211431979,52,16
211431829,13,18
211431607,13,18
211431112,13,18
211431446,13,5
211430661,13,18
211430763,13,18
211431045,13,18
211428722,52,16
211422833,52,16
211419613,13,5
211411028,13,5
211388452,13,5
211388495,13,5
211388204,13,18
211387834,13,5
211387629,13,18
211387490,13,5
211387399,13,18
211387275,13,18
211386807,13,5
211386509,13,5
211386640,13,18
211386568,13,5
211385623,13,18
211384003,13,5
211383527,13,5
211381924,13,5
211380354,13,5
211378792,13,5
211376611,13,5
211372805,13,18
211372217,13,5
211371946,13,5
211371531,13,5
211434061,13,18
211382057,13,5
228682446,13,18
211390071,14,18
211390107,14,18
211390800,14,5
211392113,14,5
211392837,14,18
211392899,14,18
211393067,14,5
211394919,14,18
211395281,14,18
211395555,14,5
211395912,14,5
211395971,14,5
211396661,14,18
211396846,14,5
211397833,14,18
211397955,14,5
211398025,14,18
211398194,14,5
211398707,14,18
211399458,14,18
211400061,14,5
211400290,14,18
200233625,14,18
211400999,14,18
211401055,14,5
200200386,52,16
200233619,14,18
211402436,52,16
211402606,52,16
211402784,14,18
200233615,14,18
211403248,14,18
200233616,14,18
211404310,14,5
211404364,52,16
211404488,14,5
211404735,52,16
211405388,52,16
211405671,14,5
211406562,14,5
211406540,14,5
211407572,14,5
211407836,14,5
200200463,52,16
211409099,52,16
200200485,52,16
211409645,14,18
211409862,14,18
211410757,14,5
200233591,14,18
211411199,14,5
211411477,52,16
211411553,14,5
211411621,14,18
211411723,14,5
211411722,14,18
200200544,52,16
211413537,14,18
200200546,52,16
211413961,14,5
211414071,14,5
211414403,14,18
211414799,14,18
211414974,14,5
211415109,14,18
200233574,14,18
211416353,14,5
211417089,52,16
211417130,14,5
211418370,14,18
200200603,52,16
211421327,14,5
200233556,14,18
211421905,14,5
211422704,52,16
211423302,14,18
211423434,14,5
211424343,52,16
211424429,14,5
211425363,14,5
211425595,14,18
211425760,14,5
211425911,14,18
211425896,14,5
211426502,14,5
211426999,14,5
211427666,14,5
211427749,52,16
211428172,14,18
211428596,52,16
211428837,14,5
211429354,14,5
211429903,52,16
211430648,14,18
211437084,14,5
211436705,14,5
211436038,52,16
211435338,52,16
211430866,14,5
211405066,14,18
211405209,14,5
211403779,52,16
211395959,14,5
211391585,14,18
211389004,14,18
211388537,14,18
211386707,14,18
211386234,14,18
211384259,14,5
211384972,14,18
211384599,14,5
211382415,14,5
211380313,14,18
211377202,14,5
211366209,14,5
211435398,14,5
211434882,52,16
211434023,14,5
211437688,52,16
211444876,52,16
211397275,14,18
211441095,52,16
228682441,13,5
211438717,52,16
211437760,52,16
211440879,52,16
211391779,14,18
211445604,52,16
211445851,52,16
211445717,52,16
211432607,14,18
211456432,52,16
211430733,52,16
211444035,52,16
211449719,52,16
211439769,52,16
211448065,52,16
211453347,52,16
211444627,52,16
211443406,52,16
211443624,52,16
211455189,52,16
211390954,14,18
211414735,13,18
211407791,52,16
211452308,52,16
211432140,52,16
211400163,13,18
211441997,51,16
211432708,13,5
211377893,14,18
211414338,51,16
211414654,13,18
211380210,14,18
211419807,34,18
211440166,31,16
