EPIC,Channel,Campaign
211091768,52,4
211008578,50,4
211029232,49,4
211028209,51,4
211123901,52,4
211070664,52,4
211015348,49,4
211060621,49,4
211060078,49,4
211056809,51,4
211087357,52,4
211104722,52,4
210996142,50,4
211095624,51,4
211046315,49,4
211067419,49,4
211113345,52,4
211071351,51,4
211056608,49,4
211014186,49,4
210967650,50,4
211044536,51,4
211035968,50,4
211057320,49,4
211051330,49,4
211023213,50,4
210969800,69,4
211095259,51,4
211069456,52,4
211102810,52,4
211100565,52,4
211057685,51,4
211047055,49,4
210920066,47,4
210995339,50,4
211053031,51,4
211055424,51,4
211101218,30,4
211129571,31,4
211030912,49,4
211089146,52,4
211102300,30,4
211114317,52,4
220115919,49,4
211071431,51,4
211104176,52,4
211038389,49,4
211056628,49,4
211082883,52,4
211076761,52,4
211066062,52,4
211092430,51,4
211072438,52,4
211035936,49,4
211078393,51,4
210988056,50,4
211079163,51,4
211006594,50,4
211056099,49,4
211029254,49,4
211080546,52,4
211081985,52,4
210866744,47,4
211090094,52,4
211118985,52,4
211073598,51,4
211151674,31,4
211078009,52,4
211040850,49,4
210982761,50,4
211066477,49,4
210994964,49,4
211132233,52,4
211005706,49,4
211010854,50,4
211103923,52,4
211060762,30,4
211078145,51,4
211079332,52,4
211041682,30,4
211024494,49,4
211034343,49,4
211067927,51,4
211088777,51,4
210945565,47,4
211014750,50,4
211093581,52,4
211062604,51,4
211089510,51,4
211015308,49,4
211177579,31,4
210989043,50,4
210971340,50,4
211043986,51,4
211023004,50,4
211079794,51,4
211045933,49,4
211120842,52,4
211072835,52,4
211100238,52,4
211012043,50,4
211094384,52,4
211127164,31,4
211066263,52,4
211010807,50,4
211037417,50,4
211054014,49,4
211074122,52,4
211127395,52,4
211052796,30,4
210978953,69,4
210971348,48,4
211132111,31,4
210990525,72,4
211066186,51,4
211032382,49,4
210888723,65,4
211011910,49,4
211127297,31,4
211070577,49,4
211013191,50,4
211031682,49,4
210901321,47,4
211097941,52,4
211049179,49,4
211001183,49,4
210940436,69,4
210915466,47,4
211080124,52,4
210967901,48,4
211141791,32,4
211045643,49,4
211075914,52,4
211063134,49,4
211025773,49,4
211028100,50,4
211063000,49,4
211025708,49,4
211091449,52,4
211068230,49,4
210880558,47,4
211005117,50,4
211013627,50,4
211054027,51,4
211079188,52,4
211077833,51,4
211091536,52,4
211063723,49,4
210866482,45,4
211064435,51,4
211079830,51,4
211101696,52,4
211038588,49,4
210983356,50,4
211033487,50,4
211047687,51,4
211104535,52,4
211097402,52,4
211128863,52,4
211079141,51,4
210995008,50,4
211093906,30,4
211078274,52,4
211168863,31,4
211031520,50,4
211037018,50,4
211084463,52,4
211161968,31,4
211027758,49,4
211065426,30,4
211010041,50,4
211079106,51,4
211116917,52,4
211121361,52,4
211017469,49,4
211038810,50,4
211007717,49,4
211031105,50,4
211061207,52,4
211057850,30,4
211066346,52,4
