EPIC,Channel,Campaign
212053156,38,16
212086248,50,18
212095866,50,18
212081702,49,5
212086091,49,5
212088298,49,18
212072268,49,5
212078811,49,18
212082288,49,5
212103507,50,18
212080687,49,18
212069781,49,5
212085656,49,18
212074153,49,5
212075775,50,5
212108286,49,18
212078299,49,18
211760567,44,5
211800683,64,18
212171351,72,18
212110857,30,18
212087835,39,16
211990866,47,18
212031993,47,18
212023280,47,5
212017328,48,5
212013222,48,5
212013502,48,5
211992843,47,5
212012299,48,18
212018959,48,5
211988223,47,18
211981954,47,5
212026805,47,5
211997888,47,5
212028430,47,5
211992880,47,18
212002525,47,5
212013619,47,18
212017486,47,18
212011731,47,18
211988531,47,5
212011557,47,18
212009190,47,18
212029094,47,5
211981412,47,5
212011680,47,18
212007343,47,5
212003893,47,18
211989299,47,5
212006108,47,18
211985346,47,5
211999969,47,5
211984058,47,5
212005623,47,5
212009944,47,18
212020850,47,18
212036187,47,18
211994910,47,5
212028729,47,5
212005017,47,18
212031189,47,18
211992776,47,5
211959502,46,5
211979250,47,18
212033679,48,18
211991772,47,18
211953263,46,18
211975504,47,18
211996831,47,5
211950941,46,18
212018408,47,18
212010627,47,5
211955047,46,18
212022062,47,18
211974687,47,5
211976081,47,5
212025000,47,18
212005504,48,18
212018902,47,5
211970684,47,18
211988454,47,5
212021253,47,18
212014467,47,18
212024396,47,18
211971690,47,18
212024554,47,18
212009294,47,5
211969807,47,18
212022052,48,5
211964774,24,16
212019656,47,18
212019439,47,18
212021051,48,18
211981626,47,18
211997061,47,18
211969273,47,5
212025163,48,5
212018862,47,18
211976435,47,5
212011152,47,5
211981687,47,5
212001169,47,18
212001425,47,18
211977843,47,18
211974178,47,5
212001288,47,5
211975510,47,5
211979237,47,18
212006082,47,18
211976535,47,5
212029226,48,18
211978879,47,18
212007145,47,5
211982945,47,18
211991662,47,5
212009464,47,18
211981575,47,18
211958260,46,18
211991549,47,5
212027446,47,18
211995288,47,18
211983499,47,18
212017273,47,18
211983461,47,5
212032381,47,18
212015538,47,18
211974724,47,5
211992034,47,5
211990690,47,18
211986948,47,18
211985566,47,5
211993420,47,5
211998436,47,18
211985987,47,5
212031837,47,18
212013297,47,18
212129124,52,18
212080405,1,16
212052095,2,16
212069380,69,5
212045786,2,16
212078515,69,5
212063500,2,16
212044121,2,16
212038642,65,18
212069223,69,5
212112578,49,18
212008964,2,16
212025985,47,18
212018005,47,5
212052456,2,16
212035051,47,18
212045416,2,16
212088961,50,18
212021131,65,5
212075988,50,18
212026921,65,5
212005109,2,16
212025613,47,5
212013705,65,18
212016518,2,16
212049908,2,16
212021375,47,18
212005216,2,16
212025609,2,16
212017838,65,5
212019346,2,16
212035441,65,5
212031440,47,18
212027544,65,18
212074908,50,5
212034371,47,5
212034577,2,16
212048456,2,16
212068782,50,5
211774926,41,5
211803674,41,5
211810140,42,5
211795051,42,18
211781289,41,5
211764914,25,16
211817992,42,5
211834355,23,16
211847798,42,5
211823898,42,18
211824166,42,5
211852321,22,16
211822797,42,18
211841501,42,5
211762929,25,16
211827577,22,16
211781646,42,5
211776073,41,5
211807213,42,5
211999343,68,5
211978243,68,5
212007527,3,16
212006725,68,5
211997840,68,18
212012745,3,16
212033074,38,16
212002808,65,18
211984130,65,5
211982810,65,18
211971819,68,5
211991806,65,18
211992423,65,18
212009131,2,16
211989185,65,18
211988831,65,18
211983023,65,18
211976838,65,5
211665595,27,16
212127087,31,5
212129540,31,5
212051615,3,16
212052477,3,16
212085300,70,18
211715159,26,16
211716023,21,5
211738707,21,18
211890216,45,5
211867970,23,16
211874594,23,16
211895243,46,18
211844142,41,18
211892510,46,5
211884463,23,16
211865628,23,16
211832848,41,5
211852459,23,16
211855729,23,16
211849734,23,16
211857507,23,16
211893704,46,5
211862273,23,16
211857640,23,16
211891961,46,5
211843786,41,18
211864269,23,16
211846954,41,18
211863894,23,16
211879759,23,16
211826149,41,5
211874788,23,16
211896418,24,16
211860873,23,16
211833336,41,5
211861001,23,16
211861413,23,16
211849919,23,16
211864043,23,16
211847321,41,18
211866692,23,16
211896805,24,16
211868180,23,16
211839847,41,18
211845034,41,18
211890774,45,18
211951223,26,18
211970670,28,18
211964245,27,5
211896749,45,5
211910548,21,16
211901847,45,5
211897054,24,16
211916235,21,16
211905009,21,16
211902261,45,18
211918998,26,5
211917204,45,5
211959419,43,16
211901114,24,16
211896120,45,5
211911179,45,5
211915918,45,18
211900700,45,18
211881553,23,16
211886612,45,18
211879265,22,16
211972086,27,5
211999627,28,18
211897893,45,18
211906671,45,5
211910977,21,16
211909798,45,18
211902344,45,5
211917847,26,5
211911467,66,18
212132877,51,5
211947170,66,18
211943550,46,5
211926825,46,5
211936741,66,18
211955365,66,5
211946750,46,18
211941802,66,5
211943375,66,18
211945337,66,18
211954836,66,5
211946732,46,18
211961037,46,18
211957804,46,5
211954140,46,18
211950505,66,5
211950696,66,5
211933636,46,18
211937565,46,5
211953521,46,18
211959781,67,5
211928367,26,18
211914448,21,16
211928574,26,18
211929081,26,18
211915085,26,5
211929493,26,5
211927174,26,5
211912081,21,16
211921622,21,16
211913613,21,16
211920742,21,16
212084014,69,5
212080517,1,16
211908380,66,18
211884968,66,18
211913733,66,18
211898294,66,5
211899994,66,5
211897821,66,18
211923569,66,5
211912350,67,5
211915361,66,18
211896979,66,5
211902283,66,5
211901894,66,18
211900653,66,18
211900414,66,18
212023593,48,5
212016828,48,18
211997901,48,5
212010154,48,5
212006227,48,18
212008490,48,18
212014492,48,5
212075509,30,5
212027377,27,18
212027502,48,18
212034597,48,18
212027753,48,5
212020223,48,18
211995082,48,5
211771942,64,18
211726170,44,18
211707676,43,18
211930233,46,18
211908826,24,16
211908085,46,18
211901010,24,16
211907679,46,5
211903709,46,5
211894087,46,5
211923534,46,18
211830561,22,16
211916756,46,18
211927803,46,18
211907530,46,18
211912940,46,5
211903302,46,5
211911279,46,5
211922454,46,5
211946212,46,5
211900619,46,5
211915709,46,5
211905265,46,18
211905618,46,18
211910532,46,18
211931128,46,18
211930699,46,18
211895840,46,5
211895899,46,18
211928930,46,18
211939462,46,5
211901402,46,5
211889983,46,5
211914889,24,16
211910082,46,18
211898716,46,5
211895099,46,5
211923388,46,18
211887567,46,5
211895966,46,18
211889413,46,18
211915940,24,16
211939094,46,18
211936017,46,18
211905676,46,5
211934056,46,5
211927313,46,5
211925552,46,18
211930492,46,18
211925371,46,18
211916505,46,18
211914465,46,5
211927213,46,5
211917723,46,5
211751173,44,5
211771406,42,5
211737793,25,16
211678825,28,16
211958929,45,18
211926132,46,18
211955007,45,18
211946007,45,18
211947686,46,18
211932250,21,16
211953172,45,5
211937592,45,5
211970678,24,16
211932596,21,16
211962248,24,16
211969170,47,18
211967421,24,16
211946842,21,16
211906187,46,5
211970427,47,18
211939364,24,16
211931651,21,16
211963369,24,16
211913907,46,18
211943617,24,16
211971189,24,16
211934221,21,16
211934148,21,16
211914960,46,18
211965937,24,16
211961846,24,16
211913532,24,16
211918335,46,18
211915602,24,16
211935495,21,16
211970613,47,5
211954593,45,18
211914098,46,18
211943613,45,5
211951283,45,18
211920022,46,18
211908928,45,18
211946016,45,5
211909748,45,5
211938817,21,16
211956407,46,18
211960974,24,16
211953336,46,5
211949728,45,18
211936878,24,16
211940576,46,5
211936687,21,16
211950844,46,18
211939447,45,5
