,Unnamed: 0,todrop,EPIC,Dataset Name,Campaign,Data Release,RAJ2000_K2,DEJ2000_K2,Target Type,RA PM,RA PM Err,Dec PM,Dec PM Err,Plx,Plx Err,U Mag,U Mag Err,B Mag,B Mag Err,V Mag,V Mag Err,G Mag,G Mag Err,R Mag,R Mag Err,I Mag,I Mag Err,Z Mag,Z Mag Err,J Mag,J Mag Err,H Mag,H Mag Err,K Mag,K Mag Err,KEP Mag,Kep Flag,Hip ID,Tyc ID,SDSS ID,UCAC ID,2MASS ID,2MASS Flag,crowding,contamination,flux fraction,cdpp3,cdpp6,cdpp12,Module,Output,Channel,Nearest Neighbor,Nomad ID,dist_mean_K2_arcmin,RAJ2000_mean,DEJ2000_mean,ID_GaiaC,RAJ2000_GaiaC,DEJ2000_GaiaC,PMem_GaiaC,PMem_Reino,RAJ2000_Reino,DEJ2000_Reino,GaiaDR1_Reino,dist_GaiaC_Reino,RAJ2000_GaiaC_Reino,DEJ2000_GaiaC_Reino,RAJ2000_Douglas,DEJ2000_Douglas,PMem_Douglas,binary_Douglas,dist_GaiaC_Reino_Douglas,PMem_mean,ra_epoch2000_Gaia,dec_epoch2000_Gaia,errHalfMaj_Gaia,errHalfMin_Gaia,errPosAng_Gaia,source_id_Gaia,ra_Gaia,ra_error_Gaia,dec_Gaia,dec_error_Gaia,parallax_Gaia,parallax_error_Gaia,pmra_Gaia,pmra_error_Gaia,pmdec_Gaia,pmdec_error_Gaia,duplicated_source_Gaia,Gflux_Gaia,e_Gflux_Gaia,G_Gaia,BPflux_Gaia,e_BPflux_Gaia,BP_Gaia,RPflux_Gaia,e_RPflux_Gaia,RP_Gaia,BPRP_Gaia,radial_velocity_Gaia,radial_velocity_error_Gaia,rv_nb_transits_Gaia,teff_val_Gaia,a_g_val_Gaia,Ext_BPRP_Gaia,radius_val_Gaia,lum_val_Gaia,angDist_Gaia,2MASS_2MASS,RAJ2000_2MASS,DEJ2000_2MASS,errHalfMaj_2MASS,errHalfMin_2MASS,errPosAng_2MASS,J_2MASS,H_2MASS,K_2MASS,e_J_2MASS,e_H_2MASS,e_K_2MASS,Qfl_2MASS,Rfl_2MASS,X_2MASS,MeasureJD_2MASS,angDist_2MASS,objID_PS1,RAJ2000_PS1,DEJ2000_PS1,errHalfMaj_PS1,errHalfMin_PS1,errPosAng_PS1,f_objID_PS1,Qual_PS1,Epoch_PS1,Ns_PS1,Nd_PS1,g_PS1,e_g_PS1,gFlags_PS1,r_PS1,e_r_PS1,rFlags_PS1,i_PS1,e_i_PS1,iFlags_PS1,z_PS1,e_z_PS1,zFlags_PS1,y_PS1,e_y_PS1,yFlags_PS1,angDist_PS1,Teff_StarHorse,e_Teff_StarHorse,eup_Ext_BPRP_Gaia,elo_Ext_BPRP_Gaia,e_G_Gaia,e_BP_Gaia,e_RP_Gaia,BPRP_Gaia_corr,e_BPRP_Gaia_corr,g_SDSS,e_g_SDSS,r_SDSS,e_r_SDSS,i_SDSS,e_i_SDSS,z_SDSS,e_z_SDSS,y_SDSS,e_y_SDSS
0,0,,210923016.0,KTWO210923016-C13,13.0,24.0,64.8741,21.753885,LC,108.0,4.1,-39.1,5.1,,,,,15.517,0.12,14.014,0.1,14.76,0.05,13.427,0.08,12.366,0.48,,,10.106,0.021,9.442,0.02,9.222,0.018000000000000002,13.084,gri,,,,559-009271,04192976+2145141,,1.0,0.0,0.858,,,,24.0,4.0,84.0,,,0.0006861,64.8741,21.753885,4.952025566512333e+16,64.87410339674138,21.753883599402776,0.9,,,,,,64.87410339674138,21.753883599402776,64.874125,21.7538833,0.99,0.0,0.07224121457445756,0.945,64.8741033967414,21.7538835994028,0.003,0.002,90.0,4.952025566512333e+16,64.87460904003001,0.0726,21.75371632297,0.0318,20.9048,0.0727,109.07600000000001,0.172,-38.851,0.09699999999999999,False,135153.0,164.382,12.861299,27492.0,172.52900000000002,14.253371,166747.0,397.31699999999995,11.706774000000001,2.546598,,,0.0,3923.21,,,,,0.012426000000000001,04192976+2145141,64.874034,21.753925,0.08,0.06,90.0,10.106,9.442,9.222000000000001,0.021,0.02,0.018000000000000002,AAA,222.0,0.0,2450752.8329,0.263506,1.3410064874301533e+17,64.8744549,21.75378538,0.033,0.032,0.0,906289152.0,108.0,55469.4378125,0.0,22.0,14.567,0.0076,16696.0,12.745999999999999,,16420.0,12.079,,4.0,11.620999999999999,,4.0,11.411,,16420.0,1.239662,,,,,0.001319741625428196,0.006792363334176885,0.002583964501709354,2.546598,0.007267260295982565,14.83135687819776,,12.777607215477758,,12.082099130357761,,11.5295788558592,,11.575846042219519,
422,422,,210921921.0,KTWO210921921-C13,13.0,24.0,66.06071999999999,21.736245,LC,118.22,1.09,-46.27,0.65,22.59,0.77,,,7.641,0.017,7.121,0.011,9.667,0.03,8.85,0.04,7.808,0.06,,,6.148,0.023,5.9460000000000015,0.026,5.871,0.02,8.366,gri,20557.0,1277-747-1,,559-009509,04241455+2144105,,1.0,0.0,1.0,98.579,96.595,92.203,24.0,1.0,81.0,,,0.006999999999999999,66.06071999999999,21.736245,1.4537337727225766e+17,66.06072311639852,21.736245800197,0.9,0.9742,66.06070637989608,21.736252240886987,1.453733729762565e+17,0.060580256455104675,66.06071474814729,21.736249020542,66.0604167,21.73635830000001,0.99,0.0,1.0715153346988169,0.9547333333333334,66.0607231240487,21.7362457974275,0.002,0.001,90.0,1.4537337727225766e+17,66.06126789418,0.0414,21.736048578320002,0.0246,23.1073,0.0386,117.531,0.099,-45.806000000000004,0.075,True,30153500.0,6762.47,6.9900210000000005,17003800.0,18798.8,7.27502,18486500.0,29702.3,6.594785000000001,0.680235,38.34,0.16,20.0,6225.33,0.08199999999999999,0.0483,1.27,2.1919999999999997,0.010834,04241455+2144105,66.060634,21.736276999999998,0.06,0.06,90.0,6.148,5.9460000000000015,5.871,0.023,0.026000000000000002,0.02,AAA,111.0,0.0,2450752.8819,0.309802,1.340806606113241e+17,66.06076,21.73622907,0.0,0.0,90.0,268959744.0,32.0,51989.22611111,0.0,10.0,,,88.0,,,64.0,,,88.0,,,88.0,,,80.0,0.145537,6569.578125,439.4672851599999,,,0.00024346876210915223,0.001199688510242708,0.0017430548255375662,0.680235,0.0021160086593485774,,,,,,,,,,
423,423,,210899260.0,KTWO210899260-C13,13.0,24.0,65.84304,21.379097,LC,99.26,1.31,-38.26,0.96,19.88,1.14,,,9.58,0.028,8.847000000000003,0.02,10.061,0.16,9.22,0.17,9.285,0.9,,,7.5310000000000015,0.019,7.197,0.017,7.121,0.016,9.518,gri,20480.0,1276-639-1,,557-009424,04232231+2122448,,0.982,0.018000000000000002,1.0,1753.001,1565.104,1471.405,24.0,4.0,84.0,,,0.006,65.84304,21.379097,1.4532554851651328e+17,65.84304085636344,21.379098189219764,0.9,0.9555,65.84302688718434,21.37910339606148,1.453255442204439e+17,0.05044084369231398,65.84303387177388,21.37910079264062,65.8427917,21.3791917,0.99,0.0,0.8753096200879831,0.9485,65.84304086197061,21.3790981872277,0.002,0.001,90.0,1.4532554851651328e+17,65.84350110378,0.0442,21.37893467308,0.0239,19.8813,0.0462,99.539,0.124,-37.978,0.075,True,6602460.0,3122.45,8.639102000000001,3360840.0,4914.27,9.035269,4551730.0,5324.84,8.116479,0.91879,38.66,0.25,9.0,5500.0,0.079,0.0433,0.9,0.675,0.005159,04232231+2122448,65.842973,21.379116,0.06,0.06,90.0,7.5310000000000015,7.197,7.121,0.019,0.017,0.016,AAA,111.0,0.0,2450752.878,0.234787,1.336506584344052e+17,65.84306329,21.37909138,0.0,0.0,90.0,268959744.0,32.0,51997.91195602,0.0,8.0,,,64.0,,,88.0,,,80.0,,,88.0,,,88.0,0.080653,5698.14746094,264.2509765599998,,,0.0005133473924749513,0.00158641999028337,0.001269405817058331,0.91879,0.0020317774272671247,,,,,,,,,,
424,424,,210905159.0,KTWO210905159-C13,13.0,24.0,66.57708000000001,21.470429,SC,102.32,1.58,-38.42,0.96,20.23,0.95,,,7.871,0.017,7.332000000000002,0.011,9.551,0.09,8.533,0.35,8.742,0.9,,,6.3420000000000005,0.019,6.15,0.026,6.073,0.021,8.984,gri,20712.0,1277-808-1,,558-009861,04261848+2128136,,0.981,0.019,1.0,,,,24.0,2.0,82.0,,,0.006,66.57708000000001,21.470429,1.4529318164303834e+17,66.57707760539896,21.4704327067106,0.9,0.7493,66.57706098843813,21.47043581346105,1.4529317735036326e+17,0.056782242407769024,66.57706929691855,21.470434260085824,66.5767917,21.4705222,0.99,0.0,0.982408228913128,0.8797666666666667,66.57707761098621,21.4704327047764,0.002,0.002,90.0,1.4529318164303834e+17,66.5775552817,0.0692,21.4702673398,0.0407,20.67,0.0659,103.244,0.142,-38.408,0.11199999999999999,False,24316800.0,4286.42,7.223598,13619500.0,11075.6,7.515986,14984000.0,21193.1,6.82285,0.693137,35.7,2.41,23.0,6166.0,0.139,0.063,1.3,2.2119999999999997,0.015553999999999997,04261848+2128136,66.57700799999999,21.470470000000002,0.07,0.06,0.0,6.3420000000000005,6.15,6.0729999999999995,0.019,0.026000000000000002,0.021,AAA,111.0,0.0,2450752.9080000003,0.282789,1.3376066577378472e+17,66.57710691,21.47041953,0.0,0.0,90.0,268959744.0,32.0,51981.26972222,0.0,3.0,,,88.0,,,64.0,,,64.0,,,64.0,,,80.0,0.096384,,,,,0.0001913702151718852,0.0008825796117489011,0.0015345607809349648,0.693137,0.0017702608738427708,,,,,,,,,,
425,425,,210905159.0,KTWO210905159-C13,13.0,24.0,66.57708000000001,21.470429,LC,102.32,1.58,-38.42,0.96,20.23,0.95,,,7.871,0.017,7.332000000000002,0.011,9.551,0.09,8.533,0.35,8.742,0.9,,,6.3420000000000005,0.019,6.15,0.026,6.073,0.021,8.984,gri,20712.0,1277-808-1,,558-009861,04261848+2128136,,0.981,0.019,1.0,75.819,59.853,53.272,24.0,2.0,82.0,,,0.006,66.57708000000001,21.470429,1.4529318164303834e+17,66.57707760539896,21.4704327067106,0.9,0.7493,66.57706098843813,21.47043581346105,1.4529317735036326e+17,0.056782242407769024,66.57706929691855,21.470434260085824,66.5767917,21.4705222,0.99,0.0,0.982408228913128,0.8797666666666667,66.57707761098621,21.4704327047764,0.002,0.002,90.0,1.4529318164303834e+17,66.5775552817,0.0692,21.4702673398,0.0407,20.67,0.0659,103.244,0.142,-38.408,0.11199999999999999,False,24316800.0,4286.42,7.223598,13619500.0,11075.6,7.515986,14984000.0,21193.1,6.82285,0.693137,35.7,2.41,23.0,6166.0,0.139,0.063,1.3,2.2119999999999997,0.015553999999999997,04261848+2128136,66.57700799999999,21.470470000000002,0.07,0.06,0.0,6.3420000000000005,6.15,6.0729999999999995,0.019,0.026000000000000002,0.021,AAA,111.0,0.0,2450752.9080000003,0.282789,1.3376066577378472e+17,66.57710691,21.47041953,0.0,0.0,90.0,268959744.0,32.0,51981.26972222,0.0,3.0,,,88.0,,,64.0,,,64.0,,,64.0,,,80.0,0.096384,,,,,0.0001913702151718852,0.0008825796117489011,0.0015345607809349648,0.693137,0.0017702608738427708,,,,,,,,,,
426,426,,246816662.0,KTWO246816662-C13,13.0,24.0,74.934675,15.916732,SC,85.86,0.4,-29.78,0.24,24.5,0.41,,,7.204,0.015,6.746,0.01,9.607,0.03,8.517000000000001,0.04,7.496,0.04,,,5.856,0.024,5.694,0.033,5.645,0.016,8.13,gri,23214.0,1281-792-1,,530-010700,04594432+1555002,AAA-111-111-000-0-0,1.0,0.0,1.0,,,,11.0,2.0,34.0,16.5,,0.005,74.934675,15.916732,3.3932847523927014e+18,74.93467326743317,15.916732922854528,0.9,0.8178,74.9346732731015,15.9167329209552,23214.0,2.078073321997192e-05,74.93467327026733,15.916732921904865,74.9344583,15.916805599999998,0.99,0.0,0.7888748851248217,0.9026,74.9346732731015,15.9167329209552,0.003,0.001,90.0,3.3932847523927014e+18,74.93505593871,0.0859,15.916604695699995,0.0467,22.3984,0.0872,85.47,0.166,-29.781,0.076,False,42128000.0,12011.3,6.626939999999999,24463300.0,41682.1,6.880097999999999,24722600.0,57795.1,6.279186,0.600913,41.72,0.54,8.0,6520.25,0.2267,0.1237,1.41,3.248,0.006836,04594432+1555002,74.934698,15.916748000000002,0.06,0.06,90.0,5.856,5.694,5.645,0.024,0.033,0.016,AAA,111.0,0.0,2451874.9426,0.098275,1.2710074934935034e+17,74.93470384,15.91672164,0.0,0.0,90.0,268959744.0,32.0,51969.12800926,0.0,8.0,,,88.0,,,64.0,,,80.0,,,80.0,,,88.0,0.106582,,,,,0.00030951491944190964,0.0018483709883056073,0.0025352106841991778,0.600913,0.0031374780515068964,,,,,,,,,,
427,427,,246816662.0,KTWO246816662-C13,13.0,24.0,74.934675,15.916732,LC,85.86,0.4,-29.78,0.24,24.5,0.41,,,7.204,0.015,6.746,0.01,9.607,0.03,8.517000000000001,0.04,7.496,0.04,,,5.856,0.024,5.694,0.033,5.645,0.016,8.13,gri,23214.0,1281-792-1,,530-010700,04594432+1555002,AAA-111-111-000-0-0,1.0,0.0,1.0,2101.95,1902.846,1611.856,11.0,2.0,34.0,16.5,,0.005,74.934675,15.916732,3.3932847523927014e+18,74.93467326743317,15.916732922854528,0.9,0.8178,74.9346732731015,15.9167329209552,23214.0,2.078073321997192e-05,74.93467327026733,15.916732921904865,74.9344583,15.916805599999998,0.99,0.0,0.7888748851248217,0.9026,74.9346732731015,15.9167329209552,0.003,0.001,90.0,3.3932847523927014e+18,74.93505593871,0.0859,15.916604695699995,0.0467,22.3984,0.0872,85.47,0.166,-29.781,0.076,False,42128000.0,12011.3,6.626939999999999,24463300.0,41682.1,6.880097999999999,24722600.0,57795.1,6.279186,0.600913,41.72,0.54,8.0,6520.25,0.2267,0.1237,1.41,3.248,0.006836,04594432+1555002,74.934698,15.916748000000002,0.06,0.06,90.0,5.856,5.694,5.645,0.024,0.033,0.016,AAA,111.0,0.0,2451874.9426,0.098275,1.2710074934935034e+17,74.93470384,15.91672164,0.0,0.0,90.0,268959744.0,32.0,51969.12800926,0.0,8.0,,,88.0,,,64.0,,,80.0,,,80.0,,,88.0,0.106582,,,,,0.00030951491944190964,0.0018483709883056073,0.0025352106841991778,0.600913,0.0031374780515068964,,,,,,,,,,
428,428,,247732783.0,KTWO247732783-C13,13.0,24.0,71.1318,23.941101,LC,85.1,3.7,-49.5,4.3,,,,,,,,,,,,,,,,,11.17,0.024,10.584,0.032,10.297,0.019,13.469,JHK,,,,570-012022,04443162+2356279,AAA-222-111-000-0-0,1.0,0.0003,0.932,924.889,919.911,921.17,14.0,3.0,47.0,11.5,,0.002,71.1318,23.941101,1.470225416342354e+17,71.13176591192683,23.941085765331174,0.9,,,,,,71.13176591192683,23.941085765331174,,,,,,0.9,71.1317659119269,23.941085765331202,0.002,0.001,90.0,1.470225416342354e+17,71.13217218674,0.0603,23.94087573265,0.0376,19.5031,0.0697,86.242,0.138,-48.782,0.062,False,38323.8,30.6991,14.229694,6112.74,35.2962,15.885798999999999,51568.1,110.624,12.980967,2.904833,,,0.0,3927.47,0.631,0.3607,,,0.12485,04443162+2356279,71.13176800000002,23.941084,0.08,0.07,90.0,11.17,10.584000000000001,10.297,0.024,0.032,0.019,AAA,222.0,0.0,2451530.7007,0.12178299999999999,1.3672071132031971e+17,71.13214959,23.94088775,0.01,0.009000000000000001,0.0,503636096.0,60.0,56090.60613426,5.0,87.0,16.1638,0.0075,115000.0,14.9758,0.0033,115000.0,13.5177,0.0204,16892216.0,12.9595,0.001,16892216.0,12.4511,0.0025,115000.0,1.382906,,,,,0.0008693757293937929,0.006251230341447155,0.0023266290085023345,2.904833,0.006670163665535807,16.43961695565053,0.009619084925123133,15.00930671107961,0.007138121424230629,13.522709180075305,0.02040448216258088,12.857505925712589,0.009882226937157651,12.641179885758518,0.027712029483334656
429,429,,247857331.0,KTWO247857331-C13,13.0,24.0,72.30411,24.802841,SC,84.45,1.69,-52.41,1.19,20.11,1.6,,,10.605,0.077,9.517,0.039,10.265,0.03,9.174,0.02,8.815,0.04,,,7.582000000000002,0.027000000000000003,7.12,0.038,6.956,0.038,9.25,gri,22394.0,1835-658-1,,575-012137,04491296+2448103,AAA-111-111-000-0-0,0.925,0.07400000000000001,1.0,,,,14.0,4.0,48.0,22.3,,0.006,72.30411,24.802841,1.471821726831877e+17,72.30410830333453,24.80284103988696,0.9,0.9947,72.30409531101834,24.802847555821987,1.471821726831877e+17,0.04850692124285436,72.30410180717644,24.80284429785448,72.303875,24.8029694,0.99,0.0,0.8672895026480468,0.9615666666666668,72.3041083033345,24.802841039887,0.002,0.001,90.0,1.471821726831877e+17,72.30450995577,0.0458,24.80261227724,0.0278,20.1355,0.0546,84.682,0.10400000000000001,-53.132,0.05,False,3842650.0,4136.56,9.226789,1630730.0,6040.38,9.820433999999999,3154470.0,8723.18,8.514605,1.3058290000000001,,,0.0,4859.03,0.8363,0.4063,0.92,0.4270000000000001,0.005546,04491296+2448103,72.304018,24.802870000000002,0.07,0.06,0.0,7.5820000000000025,7.12,6.956,0.027000000000000003,0.038,0.038,AAA,111.0,0.0,2450785.7652,0.31826,1.37760723044184e+17,72.30413399,24.80282501,0.0,0.0,90.0,268959744.0,32.0,52002.03572917,0.0,14.0,,,88.0,,,88.0,,,80.0,,,80.0,,,88.0,0.097261,5632.25195312,233.4282226600008,,,0.0011681514902564406,0.004014240835233369,0.002998285313936142,1.3058290000000001,0.005010373669400342,,,,,,,,,,
430,430,,247857331.0,KTWO247857331-C13,13.0,24.0,72.30411,24.802841,LC,84.45,1.69,-52.41,1.19,20.11,1.6,,,10.605,0.077,9.517,0.039,10.265,0.03,9.174,0.02,8.815,0.04,,,7.582000000000002,0.027000000000000003,7.12,0.038,6.956,0.038,9.25,gri,22394.0,1835-658-1,,575-012137,04491296+2448103,AAA-111-111-000-0-0,0.925,0.07400000000000001,1.0,278.836,271.73900000000003,280.136,14.0,4.0,48.0,22.3,,0.006,72.30411,24.802841,1.471821726831877e+17,72.30410830333453,24.80284103988696,0.9,0.9947,72.30409531101834,24.802847555821987,1.471821726831877e+17,0.04850692124285436,72.30410180717644,24.80284429785448,72.303875,24.8029694,0.99,0.0,0.8672895026480468,0.9615666666666668,72.3041083033345,24.802841039887,0.002,0.001,90.0,1.471821726831877e+17,72.30450995577,0.0458,24.80261227724,0.0278,20.1355,0.0546,84.682,0.10400000000000001,-53.132,0.05,False,3842650.0,4136.56,9.226789,1630730.0,6040.38,9.820433999999999,3154470.0,8723.18,8.514605,1.3058290000000001,,,0.0,4859.03,0.8363,0.4063,0.92,0.4270000000000001,0.005546,04491296+2448103,72.304018,24.802870000000002,0.07,0.06,0.0,7.5820000000000025,7.12,6.956,0.027000000000000003,0.038,0.038,AAA,111.0,0.0,2450785.7652,0.31826,1.37760723044184e+17,72.30413399,24.80282501,0.0,0.0,90.0,268959744.0,32.0,52002.03572917,0.0,14.0,,,88.0,,,88.0,,,80.0,,,80.0,,,88.0,0.097261,5632.25195312,233.4282226600008,,,0.0011681514902564406,0.004014240835233369,0.002998285313936142,1.3058290000000001,0.005010373669400342,,,,,,,,,,
