,EPIC,todrop,Dataset Name,Campaign,Data Release,RAJ2000_K2,DEJ2000_K2,Target Type,RA PM,RA PM Err,Dec PM,Dec PM Err,Plx,Plx Err,U Mag,U Mag Err,B Mag,B Mag Err,V Mag,V Mag Err,G Mag,G Mag Err,R Mag,R Mag Err,I Mag,I Mag Err,Z Mag,Z Mag Err,J Mag,J Mag Err,H Mag,H Mag Err,K Mag,K Mag Err,KEP Mag,Kep Flag,Hip ID,Tyc ID,SDSS ID,UCAC ID,2MASS ID,2MASS Flag,crowding,contamination,flux fraction,cdpp3,cdpp6,cdpp12,Module,Output,Channel,Nearest Neighbor,Nomad ID,dist_mean_K2_arcmin,RAJ2000_mean,DEJ2000_mean,id_N,RAJ2000_N,DEJ2000_N,gaia_id_Gao,RAJ2000_Gao,DEJ2000_Gao,PMem_Gao,dist_N_Gao,RAJ2000_N_Gao,DEJ2000_N_Gao,EPIC_id_Gonzalez,PMem_Gonzalez,RAJ2000_Gonzalez,DEJ2000_Gonzalez,binary,dist_N_Gao_Gonzalez,PMem_mean,ra_epoch2000_Gaia,dec_epoch2000_Gaia,errHalfMaj_Gaia,errHalfMin_Gaia,errPosAng_Gaia,source_id_Gaia,ra_Gaia,ra_error_Gaia,dec_Gaia,dec_error_Gaia,parallax_Gaia,parallax_error_Gaia,pmra_Gaia,pmra_error_Gaia,pmdec_Gaia,pmdec_error_Gaia,duplicated_source_Gaia,Gflux_Gaia,e_Gflux_Gaia,G_Gaia,BPflux_Gaia,e_BPflux_Gaia,BP_Gaia,RPflux_Gaia,e_RPflux_Gaia,RP_Gaia,BPRP_Gaia,radial_velocity_Gaia,radial_velocity_error_Gaia,rv_nb_transits_Gaia,teff_val_Gaia,a_g_val_Gaia,Ext_BPRP_Gaia,radius_val_Gaia,lum_val_Gaia,angDist_Gaia,2MASS_2MASS,RAJ2000_2MASS,DEJ2000_2MASS,errHalfMaj_2MASS,errHalfMin_2MASS,errPosAng_2MASS,J_2MASS,H_2MASS,K_2MASS,e_J_2MASS,e_H_2MASS,e_K_2MASS,Qfl_2MASS,Rfl_2MASS,X_2MASS,MeasureJD_2MASS,angDist_2MASS,objID_PS1,RAJ2000_PS1,DEJ2000_PS1,errHalfMaj_PS1,errHalfMin_PS1,errPosAng_PS1,f_objID_PS1,Qual_PS1,Epoch_PS1,Ns_PS1,Nd_PS1,g_PS1,e_g_PS1,gFlags_PS1,r_PS1,e_r_PS1,rFlags_PS1,i_PS1,e_i_PS1,iFlags_PS1,z_PS1,e_z_PS1,zFlags_PS1,y_PS1,e_y_PS1,yFlags_PS1,angDist_PS1,elo_Ext_BPRP_Gaia,eup_Ext_BPRP_Gaia,Teff_StarHorse,e_Teff_StarHorse,e_G_Gaia,e_BP_Gaia,e_RP_Gaia,BPRP_Gaia_corr,e_BPRP_Gaia_corr,g_SDSS,e_g_SDSS,r_SDSS,e_r_SDSS,i_SDSS,e_i_SDSS,z_SDSS,e_z_SDSS,y_SDSS,e_y_SDSS,bayestar2019_ext,bayestar2019_ext_err,bayestar2019_flags
0,211389428.0,,KTWO211389428-C18,18.0,27.0,132.742185,11.473550999999999,LC,-11.0,3.0,-2.0,3.0,,,21.12,0.076,,,,,18.317999999999998,0.006999999999999999,17.062,0.005,16.567999999999998,0.005,16.271,0.006999999999999999,15.11,0.037000000000000005,14.472999999999999,0.046,14.287,0.061,17.093,gri,,,5972-301-5-0116-0390,,08505812+1128247,,1.0,0.0,0.674,1819.9,1763.546,1538.861,6.0,1.0,13.0,,,0.004,132.742185,11.473550999999999,14.0,132.74213,11.473428,5.98889213257786e+17,132.74209986366,11.4735284208,0.982,0.37682562898772376,132.74211493183,11.4734782104,211389428.0,0.9,132.742179,11.473550999999999,0.0,0.3460617624824609,0.941,132.7421472807008,11.473543090150399,0.003,0.002,90.0,5.98889213257786e+17,132.74209986366,0.0789,11.4735284208,0.0629,1.1781,0.0963,-10.793,0.17600000000000002,-3.407,0.146,False,2791.1,1.96987,17.073926999999998,1012.54,10.0019,17.837854,2626.51,7.33723,16.213473999999998,1.62438,,,0.0,,,0.2009685618729097,,,0.418786,08505812+1128247,132.742179,11.473551,0.06,0.06,107.0,15.078292000708728,14.45424000041932,14.274896000270546,0.037774473823289995,0.046219818285412315,0.06106913124628889,AAA,222.0,0.0,2450768.9457,0.47535,1.2176132742159875e+17,132.7421027,11.47352891,0.004,0.003,90.0,503635968.0,60.0,55912.74819444,5.0,62.0,18.011680003145337,0.03408462743254408,115000.0,16.95322000233978,0.025365824876144867,115000.0,16.49036000176221,0.01979057568885943,115000.0,16.29224000138491,0.015656907702857825,115000.0,16.20008000112921,0.012932932776939916,115000.0,0.375827,0.11501772575250835,0.3064839464882943,4196.92578125,124.02294921999963,0.0007660079532581863,0.010672309928104418,0.0030288062469920165,1.4234114381270901,0.2110426184255957,18.344326479920575,0.00485836375151255,17.089563962229054,0.003696015179325066,16.56448012440761,0.005800515980513231,16.30033704936852,0.005253570653556397,16.32909162984908,0.006977654067845177,0.03999999910593033,0.009599999189376832,2
1,211389537.0,g-z outlier,KTWO211389537-C05,5.0,31.0,132.73425,11.475449000000001,LC,-5.6,3.4,-4.3,3.5,,,,,,,,,,,,,,,,,14.299000000000001,0.027999999999999997,13.821,0.032,13.764000000000001,0.044000000000000004,15.669,JHK,,,5972-301-5-0116-0191,508-049199,08505621+1128316,,0.9790000000000001,0.021,0.81,747.505,625.192,533.258,6.0,1.0,13.0,,,0.003,132.73425,11.475449000000001,20.0,132.73422,11.475366,5.988894194162176e+17,132.73418094764,11.47544367187,0.996,0.31172015740938097,132.73420047382,11.475404835934999,211389537.0,0.9,132.734254,11.475449000000001,0.0,0.2468591518723432,0.948,132.734230272846,11.4754551729519,0.001,0.001,90.0,5.988894194162176e+17,132.73418094764,0.0399,11.47544367187,0.0278,1.1403,0.0498,-11.227,0.086,-2.6710000000000003,0.06,False,9519.03,3.97883,15.741884,4329.49,14.8296,16.260296,7455.37,14.2419,15.080748000000002,1.179548,,,0.0,4943.67,0.2018,0.1113,0.78,0.32299999999999995,0.323062,08505621+1128316,132.734249,11.47546,0.06,0.06,90.0,14.267292000708728,13.802240000419319,13.751896000270545,0.02901570045038411,0.03231519151013243,0.04409579108232959,AAA,222.0,0.0,2450768.9457,0.353529,1.2177132734241106e+17,132.73418222,11.47544557,0.004,0.004,90.0,503635968.0,60.0,55865.65524306,5.0,69.0,16.219780003145335,0.03407127569104709,115000.0,15.57772000233978,0.02514726767756787,115000.0,15.351160001762212,0.019142541265372105,115000.0,15.284640001384915,0.014956228094536696,115000.0,15.23348000112921,0.013757207209780872,115000.0,0.315944,0.0793,0.1783,5060.96728516,243.9912109300003,0.0004537287088861871,0.0037125669233629113,0.002072089768880328,1.068248,0.12887015445467095,16.489750058584654,0.0045984909229155714,15.715924054035746,0.0012207285702871495,15.421917831962624,0.0029002241204136095,15.311092947656137,0.001828299781596808,15.318995815812526,0.006960358565040097,0.03999999910593033,0.009599999189376832,2
2,211389716.0,,KTWO211389716-C05,5.0,31.0,132.49668,11.478209,LC,-12.9,2.2,-3.2,1.8,,,,,13.798,0.07,13.21,0.03,13.623,0.43,13.073,0.03,13.088,0.24,,,12.106,0.02,11.869000000000002,0.023,11.79,0.023,13.248,gri,,,,508-049127,08495920+1128416,,1.0,0.0001,0.9390000000000001,139.58,124.389,109.259,6.0,1.0,13.0,,,0.003,132.49668,11.478209,31.0,132.49665,11.478087,5.989007881943425e+17,132.49664610473,11.47819626526,0.966,0.3935949219556464,132.496648052365,11.47814163263,211389716.0,0.9,132.496687,11.478209,0.0,0.2787435286553421,0.933,132.4966933095224,11.4782062484195,0.001,0.0,90.0,5.989007881943425e+17,132.49664610473,0.0228,11.47819626526,0.0146,1.077,0.0293,-10.744000000000002,0.047,-2.319,0.028,False,111504.0,22.8596,13.070137,62214.8,51.4269,13.366653,72219.1,55.843,12.61529,0.751364,,,0.0,5948.0,,0.2009685618729097,1.83,3.763,0.455676,08495920+1128416,132.49668799999998,11.478229,0.09,0.07,0.0,12.050510999763757,11.836169999860228,11.768817999909817,0.020329692061091507,0.023100960476327943,0.023042082213027025,AAA,222.0,0.0,2450768.936,0.528487,1.2177132496674435e+17,132.49665034,11.47819514,0.01,0.009000000000000001,90.0,503635968.0,60.0,55864.84113426,5.0,64.0,13.135539998951554,0.016406493389551604,115000.0,13.140809999220075,,114724.0,13.018029999412597,,114724.0,12.875369999538362,0.011795394313122341,115000.0,12.854489999623597,0.006942173814060239,115000.0,0.389306,0.11501772575250835,0.3064839464882943,6340.05712891,474.03955078000035,0.0002225655721159729,0.0008971013783484924,0.00083921480279892,0.5503954381270904,0.210754416318654,13.429608946707846,,13.349169361154116,,13.145176226760958,,12.979148460426943,,12.895801433224868,,0.07000000029802322,0.0046000000834465,2
3,211389931.0,,KTWO211389931-C18,18.0,27.0,132.54853500000002,11.481864,LC,-8.0,3.0,-1.0,3.0,,,20.684,0.055999999999999994,,,,,18.230999999999998,0.006,16.997,0.005,16.51,0.004,16.256,0.006999999999999999,15.104000000000001,0.037000000000000005,14.549000000000001,0.048,14.409,0.063,17.026,gri,,,5972-301-5-0115-0446,,08501164+1128547,,1.0,0.0,0.639,1302.1680000000001,1049.336,778.427,6.0,1.0,13.0,,,0.005,132.54853500000002,11.481864,45.0,132.54849,11.481701,5.989001052948745e+17,132.54846343615,11.481838792349999,0.998,0.5048274506372895,132.54847671807502,11.481769896175,211389931.0,0.9,132.54853300000002,11.481864,0.0,0.3926752020622474,0.9490000000000001,132.548511836477,11.4818518752348,0.003,0.002,90.0,5.989001052948745e+17,132.54846343615,0.0807,11.481838792349999,0.0493,1.2233,0.1039,-11.015999999999998,0.16399999999999998,-3.039,0.098,False,2931.96,2.13305,17.020472,1063.6,9.12039,17.784445,2738.72,7.79299,16.168053,1.616392,,,0.0,4330.78,0.1977,0.1065,0.58,0.107,0.5485869999999999,08501164+1128547,132.54853300000002,11.481864,0.08,0.07,0.0,15.048510999763757,14.516169999860226,14.387817999909819,0.03717924662091484,0.04804845861137343,0.06301537552623088,AAA,222.0,0.0,2450768.9446,0.606092,1.2177132548502874e+17,132.548464,11.48184014,0.005,0.004,90.0,503635968.0,60.0,55892.21675926,5.0,74.0,17.831639998951555,0.016622966803233424,115000.0,16.809209999220073,0.01235954143557891,115000.0,16.385029999412595,0.010451949030799124,115000.0,16.210169999538362,0.008481233813664075,115000.0,16.091289999623598,0.007168945338376049,115000.0,0.509233,0.0229,0.248,4113.421875,98.33300780999978,0.0007896040809359708,0.009270517504675663,0.003085060231549622,1.509892,0.1358019241080066,18.267320351496796,0.004032621471009869,17.024204996667752,0.0029780157730606156,16.518104304791606,0.005200419780754213,16.265538064963273,0.004876954339989327,16.256381449344374,0.00619941075245616,0.07000000029802322,0.0046000000834465,2
4,211390158.0,,KTWO211390158-C05,5.0,31.0,132.43413,11.485958,LC,-12.0,2.0,5.6,4.0,,,,,14.067,0.08,13.509,0.03,13.895,0.42,13.359000000000002,0.03,13.369000000000002,0.28,,,12.431,0.021,12.158,0.022000000000000002,12.136,0.021,13.527000000000001,gri,,,,508-049108,08494419+1129094,,1.0,0.0,0.9490000000000001,,,,6.0,1.0,13.0,,,0.004,132.43413,11.485958,60.0,132.43408,11.485798,5.988980737750108e+17,132.4340912156,11.48594039792,0.99,0.5141572578472259,132.4340856078,11.48586919896,211390158.0,0.9,132.43413600000002,11.485958,0.0,0.3657909739156359,0.945,132.4341399748665,11.4859534160636,0.001,0.0,90.0,5.988980737750108e+17,132.4340912156,0.0211,11.48594039792,0.014,1.1217,0.0273,-11.098,0.045,-3.024,0.029,False,84467.4,12.8233,13.371643,47443.2,31.7446,13.660954,54135.7,31.3427,12.92821,0.732743,,,0.0,6256.0,0.4785,0.2217,1.37,2.604,0.598169,08494419+1129094,132.434149,11.485972,0.09,0.07,0.0,12.375510999763756,12.125169999860226,12.114817999909818,0.021314229502818232,0.022105528153130966,0.02104608164746817,AAA,222.0,0.0,2450768.936,0.672036,1.2178132434116365e+17,132.43409481,11.48594001,0.005,0.005,90.0,235200512.0,28.0,55986.30512731,6.0,75.0,13.418239998951554,0.016227230981945145,33080.0,13.260809999220074,,16420.0,13.200029999412596,,98340.0,13.176469999538362,0.007983190277203648,16696.0,13.168089999623598,0.006782608441051546,16696.0,0.513899,0.092,0.373,6369.58789062,435.8813476600008,0.00016481701049441127,0.0007262312797168394,0.0006284218524207154,0.511043,0.23250198348809034,13.724962219638861,,13.471448669671208,,13.327555829783082,,13.274457197671838,,13.225232282441198,,0.07000000029802322,0.0046000000834465,2
5,211391125.0,g-z outlier,KTWO211391125-C05,5.0,31.0,132.632715,11.502091,LC,-9.9,2.9,-6.0,3.4,,,,,16.57,0.08,15.614,0.07,16.223,0.38,15.354000000000001,0.03,15.11,0.07,,,14.065,0.024,13.638,0.032,13.626,0.036000000000000004,15.444,gri,,,,508-049169,08503184+1130076,,1.0,0.0,0.815,,,,6.0,1.0,13.0,,,0.002,132.632715,11.502091,105.0,132.63271,11.50201,5.989017889220417e+17,132.632665411,11.50209389643,0.999,0.3405329185590286,132.63268770550002,11.502051948215001,211391125.0,0.9,132.632722,11.502091,0.0,0.1854747949375076,0.9495,132.6327139627732,11.5021054731484,0.001,0.001,90.0,5.989017889220417e+17,132.632665411,0.0355,11.50209389643,0.024,1.1431,0.0423,-11.05,0.07400000000000001,-2.689,0.05,False,13052.3,4.66829,15.399152,6225.58,10.8276,15.865938,9779.16,23.2125,14.786166,1.079772,,,0.0,5110.09,0.158,0.079,0.83,0.426,0.343988,08503184+1130076,132.632697,11.50212,0.08,0.07,0.0,14.02536500236243,13.61455000139773,13.610870000901818,0.024275427434861042,0.03207264214521467,0.03602690039953581,AAA,222.0,0.0,2450768.9446,0.398647,1.21801326327163e+17,132.63266864,11.50209513,0.005,0.002,90.0,503635968.0,60.0,55798.82047454,5.0,72.0,15.753600010484458,0.016359797765389213,115000.0,15.212550007799269,0.012157641260767085,115000.0,15.036550005874037,0.009648483053207663,115000.0,14.98655000461638,0.007243018623381486,115000.0,14.939850003764034,0.006681599493950055,115000.0,0.339428,0.0747,0.146,5419.80322266,275.2919921900002,0.0003882553478730079,0.0018866846391058785,0.0025741257440617437,1.000772,0.11039614215303757,16.04424700615414,0.0024985234388768102,15.376489486909984,0.0017373688194707642,15.126451860293663,0.003300095311242648,15.033015931764583,0.001435508923590151,15.026473135691454,0.0037177104452568153,0.04999999701976776,0.004599999710917471,2
6,211391208.0,,KTWO211391208-C18,18.0,27.0,132.623985,11.503514,LC,,,,,,,,,,,,,,,,,,,,,15.706,0.055,14.979000000000001,0.08,14.849,0.095,17.954,JHK,,,,,08502975+1130126,,0.9390000000000001,0.061,0.4,6399.994000000002,6250.493,5395.37,6.0,1.0,13.0,,,0.004,132.623985,11.503514,109.0,132.62398000000002,11.503371,5.98901784626987e+17,132.62393744476998,11.503484155499999,0.998,0.4341410693591703,132.623958722385,11.503427577750001,211391208.0,0.9,132.623992,11.503514,0.0,0.3325309358006483,0.9490000000000001,132.6239851087448,11.503497480863302,0.004,0.002,90.0,5.98901784626987e+17,132.62393744476998,0.1108,11.503484155499999,0.075,1.2203,0.131,-10.848,0.23,-3.095,0.156,False,1389.62,1.35843,17.831123,443.283,5.25945,18.734684,1449.86,9.91302,16.858604,1.87608,,,0.0,,,0.2009685618729097,,,0.455688,08502975+1130126,132.623992,11.503514,0.09,0.08,2.0,15.66636500236243,14.955550001397729,14.833870000901818,0.05512074361930546,0.0800290845516491,0.09501019709693309,AAA,222.0,0.0,2450768.9446,0.516538,1.2180132623987469e+17,132.62394012,11.50348519,0.022,0.01,90.0,503635968.0,60.0,55612.12267361,5.0,55.0,18.935400010484457,0.017329829281456693,115000.0,17.770750007799265,0.012430938863396693,115000.0,17.127950005874037,0.009066599430218336,115000.0,16.85745000461638,0.00918756326664753,115000.0,16.69945000376403,0.008000235733873949,115000.0,0.434491,0.11501772575250835,0.3064839464882943,3930.51855469,53.854003910000294,0.0010608484375556602,0.01280618642238521,0.007398160717895541,1.6751114381270902,0.2112691319576548,19.328918223385234,0.006359965810034008,17.931950744017552,0.0033244941882006815,17.22387807361499,7.854926077951992e-05,16.871626460752687,0.006101530299982451,16.862274518185245,0.0076579632363224775,0.04999999701976776,0.004599999710917471,2
7,211391297.0,,KTWO211391297-C05,5.0,31.0,132.66571499999998,11.505111,LC,-0.9,5.9,0.7,5.6,,,,,,,,,,,,,,,,,14.735999999999999,0.03,14.128,0.04,13.877,0.037000000000000005,16.991,JHK,,,5972-301-5-0116-0294,508-049181,08503978+1130184,,1.0,0.0002,0.741,1374.325,1186.255,1024.383,6.0,1.0,13.0,,,0.003,132.66571499999998,11.505111,112.0,132.66575,11.50499,5.988901066109923e+17,132.66570893521,11.50508662013,1.0,0.3767926123684248,132.665729467605,11.505038310065,211391297.0,0.9,132.665719,11.505111,0.0,0.26427625353872186,0.95,132.66575730292791,11.5050992322755,0.002,0.001,90.0,5.988901066109923e+17,132.66570893521,0.063,11.50508662013,0.0408,1.1988,0.0737,-11.008,0.132,-2.929,0.087,False,4177.26,2.45638,16.636136999999998,1515.72,9.66784,17.399843,3888.09,8.39139,15.787579,1.612265,,,0.0,4322.0,0.841,0.4348,0.71,0.159,0.394079,08503978+1130184,132.665761,11.505126,0.08,0.07,0.0,14.69636500236243,14.10455000139773,13.861870000901819,0.030220793787476927,0.040058137427681294,0.037026173882782884,AAA,222.0,0.0,2450768.9446,0.491135,1.218013266576266e+17,132.66571357,11.50508646,0.008,0.006999999999999999,0.0,503635968.0,60.0,55850.50694444,10.0,63.0,17.461700010484456,0.01775311192226405,115000.0,16.493950007799267,0.012157641260767085,115000.0,16.055750005874035,0.010709492295530889,115000.0,15.85205000461638,0.007428412938081124,115000.0,15.734550003764035,0.0067315504750060096,115000.0,0.370273,0.309,0.5415,4291.95117188,124.3398437399992,0.0006382645239566852,0.006903246989944171,0.002340742734229165,1.177465,0.4253124691277603,17.82060141413109,0.007544296804165643,16.65695943983246,0.002195980501099506,16.14897392663417,0.005700720589425565,15.878427393135722,0.0030619371535874173,15.869867494729379,0.007134648497974552,0.04999999701976776,0.004599999710917471,2
8,211391564.0,,KTWO211391564-C05,5.0,31.0,132.75913500000001,11.509701,LC,-19.0,3.0,8.0,3.0,,,21.728,0.12,,,,,19.315,0.011000000000000001,17.904,0.006,17.205,0.006,16.799,0.009000000000000001,15.585999999999999,0.052000000000000005,14.940999999999999,0.069,14.554,0.07400000000000001,17.838,gri,,,5972-301-5-0116-0409,,08510219+1130349,,0.907,0.09300000000000001,0.602,,,,6.0,1.0,13.0,,,0.003,132.75913500000001,11.509701,125.0,132.75906,11.509647,,,,,,132.75906,11.509647,211391564.0,0.9,132.75913799999998,11.509701,0.0,0.3368987295420737,0.9,132.7591025102987,11.509716799368901,0.005,0.004,90.0,5.988895525601299e+17,132.75902269187,0.1305,11.509746638730002,0.1071,1.4137,0.1605,-18.166,0.305,6.93,0.265,False,1402.49,1.50043,17.821115,443.984,9.71135,18.73297,1460.76,8.48194,16.850471,1.882498,,,0.0,,,0.2009685618729097,,,0.292623,08510219+1130349,132.75913799999998,11.509701,0.06,0.06,107.0,15.54636500236243,14.91755000139773,14.538870000901818,0.05201957256770792,0.06900516411018551,0.07400200454311802,AAA,222.0,0.0,2450768.9457,0.336899,1.218113275909522e+17,132.75902516,11.50974757,0.005,0.002,90.0,503635968.0,60.0,55910.87236111,5.0,62.0,18.964200010484458,0.008587159187156874,115000.0,17.779350007799266,0.005694713305722099,115000.0,17.124250005874035,0.0045196115946287635,115000.0,16.84115000461638,0.003678866916393611,115000.0,16.66445000376403,0.013098791900565353,115000.0,0.382343,0.11501772575250835,0.3064839464882943,3978.81323242,59.64575194999998,0.0011609354631543002,0.023492521376406863,0.006286122165205647,1.6815294381270902,0.2121493078422484,19.360382980720317,0.005987070250220672,17.9404519060746,0.0034434623368129955,17.22043089474441,0.0028012375420209965,16.85418199013342,0.003126756914353787,16.829859615446804,0.01407784129714422,0.04999999701976776,0.001800000295042993,2
9,211391621.0,,KTWO211391621-C05,5.0,31.0,132.788445,11.510675,LC,-9.7,3.2,-6.6,3.5,,,,,17.271,0.12,16.313,0.1,16.907,0.07,15.827,0.02,15.652999999999999,0.21,,,14.140999999999998,0.025,13.583,0.031,13.479000000000001,0.032,16.029,gri,,,5972-301-5-0117-0059,508-049219,08510924+1130384,,1.0,0.0,0.836,,,,6.0,1.0,13.0,,,0.002,132.788445,11.510675,127.0,132.78847,11.510606,6.048941960135263e+17,132.78842925746,11.51067428757,0.988,0.2847653957322872,132.78844962873,11.510640143785,211391621.0,0.9,132.78845,11.510675,0.0,0.12548920859823035,0.944,132.788478760337,11.5106865686054,0.002,0.001,90.0,6.048941960135263e+17,132.78842925746,0.0434,11.51067428757,0.0302,1.0,0.0559,-11.265999999999998,0.097,-2.852,0.073,False,8423.88,4.07873,15.874586,3415.84,12.2818,16.517645,7227.4,16.1076,15.114465,1.40318,,,0.0,4833.42,,0.2009685618729097,0.88,0.382,0.291689,08510924+1130384,132.78851799999998,11.510686,0.06,0.06,90.0,14.101365002362428,13.55955000139773,13.463870000901817,0.025040685496348334,0.03101149260957351,0.03200463523303551,AAA,222.0,0.0,2450768.9457,0.334088,1.2181132788489331e+17,132.78843115,11.51067566,0.006,0.005,0.0,503635968.0,60.0,55919.70929398,5.0,64.0,16.503900010484458,0.006808032234469275,115000.0,15.694950007799267,0.0054295266491995705,115000.0,15.376950005874038,0.004024535869675255,115000.0,15.246850004616379,0.006077340025746086,115000.0,15.151650003764034,0.005583757628543391,115000.0,0.285781,0.11501772575250835,0.3064839464882943,5260.00683594,191.1884765599998,0.0005255717180609902,0.0038968099541564004,0.002417071851739395,1.2022114381270903,0.2108007170044816,16.83664987094672,0.00257068775457491,15.859101235591968,0.00272746733830634,15.468673029329834,0.0019001707910542053,15.280799292033587,0.005436588713996889,15.269374233364006,0.005399278130642456,0.04999999701976776,0.001800000295042993,2
