,EPIC,todrop,Dataset Name,Campaign,Data Release,RAJ2000_K2,DEJ2000_K2,Target Type,RA PM,RA PM Err,Dec PM,Dec PM Err,Plx,Plx Err,U Mag,U Mag Err,B Mag,B Mag Err,V Mag,V Mag Err,G Mag,G Mag Err,R Mag,R Mag Err,I Mag,I Mag Err,Z Mag,Z Mag Err,J Mag,J Mag Err,H Mag,H Mag Err,K Mag,K Mag Err,KEP Mag,Kep Flag,Hip ID,Tyc ID,SDSS ID,UCAC ID,2MASS ID,2MASS Flag,crowding,contamination,flux fraction,cdpp3,cdpp6,cdpp12,Module,Output,Channel,Nearest Neighbor,Nomad ID,dist_mean_K2_arcmin,RAJ2000_mean,DEJ2000_mean,RAJ2000_Olivares,DEJ2000_Olivares,PMem_Olivares,binary_Olivares,gaia_id_GaiaC,RAJ2000_GaiaC,DEJ2000_GaiaC,PMem_GaiaC,dist_Olivares_GaiaC,RAJ2000_Olivares_GaiaC,DEJ2000_Olivares_GaiaC,EPIC_id_Rebull,RAJ2000_Rebull,DEJ2000_Rebull,PMem_Rebull,dist_Olivares_GaiaC_Rebull,RAJ2000_Olivares_GaiaC_Rebull,DEJ2000_Olivares_GaiaC_Rebull,RAJ2000_CG,DEJ2000_CG,gaia_id_CG,PMem_CG,dist_Olivares_GaiaC_Rebull_CG,PMem_mean,ra_epoch2000_Gaia,dec_epoch2000_Gaia,errHalfMaj_Gaia,errHalfMin_Gaia,errPosAng_Gaia,source_id_Gaia,ra_Gaia,ra_error_Gaia,dec_Gaia,dec_error_Gaia,parallax_Gaia,parallax_error_Gaia,pmra_Gaia,pmra_error_Gaia,pmdec_Gaia,pmdec_error_Gaia,duplicated_source_Gaia,Gflux_Gaia,e_Gflux_Gaia,G_Gaia,BPflux_Gaia,e_BPflux_Gaia,BP_Gaia,RPflux_Gaia,e_RPflux_Gaia,RP_Gaia,BPRP_Gaia,radial_velocity_Gaia,radial_velocity_error_Gaia,rv_nb_transits_Gaia,teff_val_Gaia,a_g_val_Gaia,Ext_BPRP_Gaia,radius_val_Gaia,lum_val_Gaia,angDist_Gaia,2MASS_2MASS,RAJ2000_2MASS,DEJ2000_2MASS,errHalfMaj_2MASS,errHalfMin_2MASS,errPosAng_2MASS,J_2MASS,H_2MASS,K_2MASS,e_J_2MASS,e_H_2MASS,e_K_2MASS,Qfl_2MASS,Rfl_2MASS,X_2MASS,MeasureJD_2MASS,angDist_2MASS,objID_PS1,RAJ2000_PS1,DEJ2000_PS1,errHalfMaj_PS1,errHalfMin_PS1,errPosAng_PS1,f_objID_PS1,Qual_PS1,Epoch_PS1,Ns_PS1,Nd_PS1,g_PS1,e_g_PS1,gFlags_PS1,r_PS1,e_r_PS1,rFlags_PS1,i_PS1,e_i_PS1,iFlags_PS1,z_PS1,e_z_PS1,zFlags_PS1,y_PS1,e_y_PS1,yFlags_PS1,angDist_PS1,elo_Ext_BPRP_Gaia,eup_Ext_BPRP_Gaia,Teff_StarHorse,e_Teff_StarHorse,e_G_Gaia,e_BP_Gaia,e_RP_Gaia,BPRP_Gaia_corr,e_BPRP_Gaia_corr,g_SDSS,e_g_SDSS,r_SDSS,e_r_SDSS,i_SDSS,e_i_SDSS,z_SDSS,e_z_SDSS,y_SDSS,e_y_SDSS
1134,211091768.0,,KTWO211091768-C04,4.0,33.0,56.235,24.432601,SC,18.3,1.0,-49.1,0.9,,,,,11.068,0.05,10.5,0.04,10.788,0.03,10.31,0.02,10.106,0.04,,,9.218,0.027000000000000003,8.945,0.03,8.866,0.019,10.31,gri,,,,573-008687,03445639+2425574,,1.0,0.0003,1.0,,,,15.0,4.0,52.0,,,0.006999999999999999,56.235,24.432601,56.2350417,24.4325556,0.999994,0.000434,6.529542572842253e+16,56.23508,24.43241,0.9,0.5389825388944136,56.23506085,24.4324828,211091768.0,56.23498000000001,24.43262,0.9,0.5605171181743621,56.235040637500006,24.4325171,56.23507506659001,24.432411145020005,6.529542572842253e+16,1.0,0.39778006289806106,0.9499985000000001,56.2349814316529,24.4326097306986,0.002,0.001,90.0,6.529542572842253e+16,56.23507506659001,0.0576,24.432411145020005,0.0324,7.4228,0.0653,19.8,0.102,-46.12300000000001,0.07,True,1465010.0,1321.37,10.273763,777488.0,1836.18,10.624655,977880.0,1943.3,9.786206,0.838449,3.98,0.95,6.0,5692.88,0.1507,0.057999999999999996,1.06,1.056,0.068497,03445639+2425574,56.234988,24.432623,0.06,0.06,0.0,9.218,8.945,8.866,0.027000000000000003,0.03,0.019,AAA,122.0,0.0,2451530.7053,0.08842799999999999,1.3731056235032958e+17,56.23507212,24.4324177,0.001,0.001,90.0,1409359872.0,168.0,51530.20528935,4.0,33.0,,,114724.0,,,114724.0,,,114724.0,,,114724.0,,,4.0,0.700941,0.0033,0.1299,6141.81933594,276.81298827999944,0.0009788415370086626,0.002561141356035019,0.0021554970660772237,0.838449,0.003347478550709536,,,,,,,,,,
1135,211091768.0,,KTWO211091768-C04,4.0,33.0,56.235,24.432601,LC,18.3,1.0,-49.1,0.9,,,,,11.068,0.05,10.5,0.04,10.788,0.03,10.31,0.02,10.106,0.04,,,9.218,0.027000000000000003,8.945,0.03,8.866,0.019,10.31,gri,,,,573-008687,03445639+2425574,,1.0,0.0003,1.0,300.875,296.82,296.926,15.0,4.0,52.0,,,0.006999999999999999,56.235,24.432601,56.2350417,24.4325556,0.999994,0.000434,6.529542572842253e+16,56.23508,24.43241,0.9,0.5389825388944136,56.23506085,24.4324828,211091768.0,56.23498000000001,24.43262,0.9,0.5605171181743621,56.235040637500006,24.4325171,56.23507506659001,24.432411145020005,6.529542572842253e+16,1.0,0.39778006289806106,0.9499985000000001,56.2349814316529,24.4326097306986,0.002,0.001,90.0,6.529542572842253e+16,56.23507506659001,0.0576,24.432411145020005,0.0324,7.4228,0.0653,19.8,0.102,-46.12300000000001,0.07,True,1465010.0,1321.37,10.273763,777488.0,1836.18,10.624655,977880.0,1943.3,9.786206,0.838449,3.98,0.95,6.0,5692.88,0.1507,0.057999999999999996,1.06,1.056,0.068497,03445639+2425574,56.234988,24.432623,0.06,0.06,0.0,9.218,8.945,8.866,0.027000000000000003,0.03,0.019,AAA,122.0,0.0,2451530.7053,0.08842799999999999,1.3731056235032958e+17,56.23507212,24.4324177,0.001,0.001,90.0,1409359872.0,168.0,51530.20528935,4.0,33.0,,,114724.0,,,114724.0,,,114724.0,,,114724.0,,,4.0,0.700941,0.0033,0.1299,6141.81933594,276.81298827999944,0.0009788415370086626,0.002561141356035019,0.0021554970660772237,0.838449,0.003347478550709536,,,,,,,,,,
1136,211008578.0,,KTWO211008578-C04,4.0,33.0,56.66664,23.110336,LC,17.2,1.2,-46.5,1.2,,,,,9.854,0.03,9.378,0.026,,,,,,,,,8.472999999999999,0.026,8.28,0.018000000000000002,8.243,0.024,9.317,BV,,1800-1672-1,,566-008042,03463999+2306373,,0.998,0.002,1.0,85.09,84.715,82.609,15.0,2.0,50.0,,,0.006999999999999999,56.66664,23.110336,56.6666667,23.1103333,0.999992,0.014618,6.49528290746889e+16,56.66674,23.11013,0.9,0.7710729981010985,56.66670335000001,23.11023165,211008578.0,56.66665,23.11037,0.9,0.5284581874081172,56.66669001250001,23.1102662375,56.666744296590004,23.110130547129998,6.49528290746889e+16,1.0,0.5205041028733891,0.949998,56.6666547129667,23.110332100715198,0.002,0.001,90.0,6.49528290746889e+16,56.666744296590004,0.055,23.110130547129998,0.0295,7.2612,0.0579,19.137,0.132,-46.812,0.073,False,3631900.0,1158.6,9.288032000000001,2087770.0,2510.0,9.552181,2205400.0,2403.78,8.9032,0.648981,6.4,1.01,5.0,6365.25,0.2655,0.1243,1.34,2.668,0.050698,03463999+2306373,56.66665500000001,23.110371,0.09,0.06,90.0,8.472999999999999,8.28,8.243,0.026000000000000002,0.018000000000000002,0.024,AAA,111.0,0.0,2451135.906,0.135435,1.357305666663428e+17,56.66674142,23.11013722,0.001,0.001,90.0,1409359872.0,168.0,51135.40599537,3.0,27.0,,,68.0,,,68.0,,,114788.0,,,114788.0,,,114788.0,0.790484,0.034,0.182,6830.59814453,546.4897460899991,0.0003463017607552354,0.001304531157738266,0.001182755822060994,0.648981,0.0017608841177457189,,,,,,,,,,
1137,211029232.0,,KTWO211029232-C04,4.0,33.0,57.14379,23.434788,SC,18.5,0.7,-45.7,0.6,,,,,10.974,0.07,10.429,0.04,10.615,0.07,10.222,0.01,10.039,0.04,,,9.197,0.024,8.98,0.027000000000000003,8.868,0.02,10.212,gri,,,,568-008524,03483451+2326053,,0.997,0.003,1.0,,,,15.0,1.0,49.0,,,0.008,57.14379,23.434788,57.1438333,23.4346944,0.999985,1.9e-05,6.494121118603635e+16,57.14388,23.4346,0.9,0.3732091378939413,57.14385665,23.434647199999997,211029232.0,57.1438,23.43481,0.9,0.6152258277547418,57.1438424875,23.4346879,57.14388404828,23.434597227660003,6.494121118603635e+16,1.0,0.3541120979498968,0.94999625,57.1437922875476,23.43479115807789,0.001,0.001,90.0,6.494121118603635e+16,57.14388404828,0.0423,23.434597227660003,0.024,7.2793,0.0463,19.554000000000002,0.083,-45.042,0.053,False,1551980.0,1327.29,10.211149,838695.0,1959.93,10.542378,1014830.0,1681.96,9.745937,0.796441,6.02,0.76,4.0,5741.0,0.0665,0.0403,1.09,1.159,0.013651,03483451+2326053,57.14380600000001,23.434818,0.06,0.06,90.0,9.197000000000001,8.98,8.868,0.024,0.027000000000000003,0.02,AAA,222.0,0.0,2450749.821,0.12023699999999996,1.3612057143887206e+17,57.14388119,23.43460364,0.001,0.001,90.0,1409441792.0,168.0,50904.50556713,4.0,58.0,,,114724.0,,,114724.0,,,4.0,,,114724.0,,,114724.0,0.728846,0.015,0.0953,6195.85986328,284.71826171999965,0.0009281504481819922,0.002534275778887159,0.0017979890340958833,0.796441,0.00310730080458638,,,,,,,,,,
1138,211029232.0,,KTWO211029232-C04,4.0,33.0,57.14379,23.434788,LC,18.5,0.7,-45.7,0.6,,,,,10.974,0.07,10.429,0.04,10.615,0.07,10.222,0.01,10.039,0.04,,,9.197,0.024,8.98,0.027000000000000003,8.868,0.02,10.212,gri,,,,568-008524,03483451+2326053,,0.997,0.003,1.0,86.535,84.35600000000002,80.913,15.0,1.0,49.0,,,0.008,57.14379,23.434788,57.1438333,23.4346944,0.999985,1.9e-05,6.494121118603635e+16,57.14388,23.4346,0.9,0.3732091378939413,57.14385665,23.434647199999997,211029232.0,57.1438,23.43481,0.9,0.6152258277547418,57.1438424875,23.4346879,57.14388404828,23.434597227660003,6.494121118603635e+16,1.0,0.3541120979498968,0.94999625,57.1437922875476,23.43479115807789,0.001,0.001,90.0,6.494121118603635e+16,57.14388404828,0.0423,23.434597227660003,0.024,7.2793,0.0463,19.554000000000002,0.083,-45.042,0.053,False,1551980.0,1327.29,10.211149,838695.0,1959.93,10.542378,1014830.0,1681.96,9.745937,0.796441,6.02,0.76,4.0,5741.0,0.0665,0.0403,1.09,1.159,0.013651,03483451+2326053,57.14380600000001,23.434818,0.06,0.06,90.0,9.197000000000001,8.98,8.868,0.024,0.027000000000000003,0.02,AAA,222.0,0.0,2450749.821,0.12023699999999996,1.3612057143887206e+17,57.14388119,23.43460364,0.001,0.001,90.0,1409441792.0,168.0,50904.50556713,4.0,58.0,,,114724.0,,,114724.0,,,4.0,,,114724.0,,,114724.0,0.728846,0.015,0.0953,6195.85986328,284.71826171999965,0.0009281504481819922,0.002534275778887159,0.0017979890340958833,0.796441,0.00310730080458638,,,,,,,,,,
1139,211028209.0,"g-z outlier, g-i outlier, r-z outlier",KTWO211028209-C04,4.0,33.0,55.21015500000001,23.418468,LC,21.5,1.6,-43.0,1.7,,,,,11.755,0.128,11.007,0.099,11.186,0.05,10.643,0.01,10.425,0.02,,,9.531,0.021,9.192,0.023,9.123,0.018000000000000002,10.653,gri,,1799-1308-1,,568-008136,03405042+2325064,,0.999,0.0006,1.0,158.416,154.016,146.401,15.0,3.0,51.0,,,0.009000000000000001,55.21015500000001,23.418468,55.2101667,23.4184167,0.999979,2.2e-05,6.511916456741786e+16,55.21027,23.41825,0.9,0.6903576929708671,55.21021835,23.41833335,211028209.0,55.210119999999996,23.41846,0.9,0.5598553999271944,55.2101937625,23.4183650125,55.21027404174,23.41824585934,6.511916456741786e+16,1.0,0.5043113290977416,0.94999475,55.210172004536105,23.4184416126412,0.001,0.001,90.0,6.511916456741786e+16,55.21027404174,0.0492,23.41824585934,0.0289,7.404,0.0542,21.747,0.083,-45.465,0.066,False,1027240.0,746.941,10.659182000000001,529353.0,1276.02,11.042025,705438.0,1388.56,10.140772,0.9012530000000001,4.86,0.28,5.0,5490.33,0.0573,0.025,0.96,0.757,0.11036099999999999,03405042+2325064,55.210120999999994,23.418464999999998,0.12,0.07,90.0,9.531,9.192,9.123,0.021,0.023,0.018000000000000002,AAA,222.0,0.0,2451088.9480000003,0.11283599999999999,1.3610055210430278e+17,55.21034009,23.41837098,0.166,0.166,90.0,1107374080.0,132.0,56673.33138889,4.0,9.0,11.2275,0.001,65592.0,11.2085,0.0426,16440.0,11.7106,0.001,65592.0,12.6705,0.0397,65584.0,11.0241,0.001,16892472.0,0.704163,0.0079,0.0596,5737.89746094,285.8515625,0.0007891886837856354,0.0026140477009806134,0.0021350253953657423,0.9012530000000001,0.003375141303983979,11.175166210393508,0.001013939723334665,11.202854343744693,0.04260000489450288,11.69674817131625,0.001000014200729902,12.7268792725461,0.039700055206265676,10.807067439766259,0.0010156955486995355
1140,211123901.0,,KTWO211123901-C04,4.0,33.0,56.66155500000001,24.959642,SC,19.3,1.2,-47.0,1.3,,,,,10.853,0.059,10.308,0.049,10.679,0.1,10.126,0.01,9.954,0.04,,,9.105,0.018000000000000002,8.851,0.015,8.763,0.015,10.172,gri,,1804-2392-1,,575-008887,03463878+2457346,,1.0,0.0,1.0,,,,15.0,4.0,52.0,,,0.008,56.66155500000001,24.959642,56.6615833,24.9595833,0.999974,0.000537,6.683845286127027e+16,56.66166,24.95944,0.9,0.5734093978040871,56.66162165,24.959511650000003,211123901.0,56.66158000000001,24.95962,0.9,0.41306843106213176,56.6616112375,24.959538737500004,56.66165616814,24.95944340321001,6.683845286127027e+16,1.0,0.3732198063905179,0.9499934999999999,56.6615586562572,24.9596459430631,0.001,0.001,90.0,6.683845286127027e+16,56.66165616814,0.0462,24.95944340321001,0.0267,7.3109,0.0516,20.533,0.08800000000000001,-47.041000000000004,0.064,False,1716420.0,1440.62,10.101808,923044.0,2155.06,10.438332,1129300.0,1728.51,9.629901,0.808431,5.36,2.7,4.0,5900.25,0.155,0.084,1.07,1.26,0.018545,03463878+2457346,56.661587,24.959629,0.07,0.06,0.0,9.105,8.851,8.763,0.018000000000000002,0.015,0.015,AAA,222.0,0.0,2451138.7015,0.11444700000000001,1.3795056661664195e+17,56.66170364,24.95945572,0.818,0.174,90.0,1409441792.0,168.0,56121.58186343,5.0,53.0,,,114788.0,,,114788.0,,,114788.0,,,114788.0,,,114788.0,0.827686,0.0489,0.109,6216.81787109,316.6235351599998,0.0009108943363183793,0.0025319480716031245,0.0016605606174596374,0.808431,0.003027907297384237,,,,,,,,,,
1141,211123901.0,,KTWO211123901-C04,4.0,33.0,56.66155500000001,24.959642,LC,19.3,1.2,-47.0,1.3,,,,,10.853,0.059,10.308,0.049,10.679,0.1,10.126,0.01,9.954,0.04,,,9.105,0.018000000000000002,8.851,0.015,8.763,0.015,10.172,gri,,1804-2392-1,,575-008887,03463878+2457346,,1.0,0.0,1.0,149.861,145.92700000000005,137.05700000000002,15.0,4.0,52.0,,,0.008,56.66155500000001,24.959642,56.6615833,24.9595833,0.999974,0.000537,6.683845286127027e+16,56.66166,24.95944,0.9,0.5734093978040871,56.66162165,24.959511650000003,211123901.0,56.66158000000001,24.95962,0.9,0.41306843106213176,56.6616112375,24.959538737500004,56.66165616814,24.95944340321001,6.683845286127027e+16,1.0,0.3732198063905179,0.9499934999999999,56.6615586562572,24.9596459430631,0.001,0.001,90.0,6.683845286127027e+16,56.66165616814,0.0462,24.95944340321001,0.0267,7.3109,0.0516,20.533,0.08800000000000001,-47.041000000000004,0.064,False,1716420.0,1440.62,10.101808,923044.0,2155.06,10.438332,1129300.0,1728.51,9.629901,0.808431,5.36,2.7,4.0,5900.25,0.155,0.084,1.07,1.26,0.018545,03463878+2457346,56.661587,24.959629,0.07,0.06,0.0,9.105,8.851,8.763,0.018000000000000002,0.015,0.015,AAA,222.0,0.0,2451138.7015,0.11444700000000001,1.3795056661664195e+17,56.66170364,24.95945572,0.818,0.174,90.0,1409441792.0,168.0,56121.58186343,5.0,53.0,,,114788.0,,,114788.0,,,114788.0,,,114788.0,,,114788.0,0.827686,0.0489,0.109,6216.81787109,316.6235351599998,0.0009108943363183793,0.0025319480716031245,0.0016605606174596374,0.808431,0.003027907297384237,,,,,,,,,,
1142,211070664.0,,KTWO211070664-C04,4.0,33.0,56.663895,24.1032,LC,18.5,0.8,-49.0,0.9,,,,,9.809,0.03,9.463,0.07,9.974,0.2,9.468,0.1,9.151,0.05,,,8.432,0.023,8.23,0.023,8.191,0.014,9.398,gri,,,,571-008654,03463932+2406116,,1.0,0.0,1.0,103.03,98.776,88.522,15.0,4.0,52.0,,,0.008,56.663895,24.1032,56.6639167,24.1031111,0.999974,0.015615,6.522561103755136e+16,56.66399000000001,24.103,0.9,0.4668916072538785,56.66395335,24.10305555,211070664.0,56.66385,24.10324,0.9,0.7458316199712385,56.6639275125,24.1031016625,56.66398644615,24.103001088150002,6.522561103755136e+16,1.0,0.4106074452894354,0.9499934999999999,56.663889063713896,24.1032030852497,0.001,0.001,90.0,6.522561103755136e+16,56.66398644615,0.0438,24.103001088150002,0.0265,7.4184,0.0483,20.646,0.092,-46.915,0.063,False,3968360.0,924.627,9.191837,2295770.0,3386.66,9.449069,2383920.0,3918.07,8.818689,0.63038,4.21,1.15,5.0,6512.53,0.132,0.067,1.31,2.7889999999999997,0.022448,03463932+2406116,56.66385699999999,24.103243,0.07,0.06,90.0,8.432,8.23,8.191,0.023,0.023,0.013999999999999999,AAA,112.0,0.0,2451138.7022,0.19888699999999998,1.3692056663950445e+17,56.66385699999999,24.103243,0.049,0.049,90.0,1140924416.0,136.0,51138.20219907,1.0,30.0,,,16420.0,,,32804.0,,,16420.0,,,16420.0,,,4.0,0.19888699999999998,0.013999999999999999,0.132,6821.96337891,554.0654296800003,0.0002529468278090985,0.0016004695235036317,0.0017829870439294276,0.63038,0.00239594354993688,,,,,,,,,,
1143,211015348.0,,KTWO211015348-C04,4.0,33.0,57.485385,23.218624,SC,18.5,1.1,-43.8,1.1,,,,,10.699000000000002,0.055,10.265999999999998,0.05,10.563,0.02,10.09,0.07,9.917,0.04,,,9.145,0.021,8.854,0.018000000000000002,8.796,0.018000000000000002,10.111,gri,,1800-471-1,,567-008241,03495648+2313071,,1.0,0.0,1.0,,,,15.0,1.0,49.0,,,0.004,57.485385,23.218624,57.4854167,23.2185833,0.999966,0.0007019999999999999,6.492441357110195e+16,57.48549000000001,23.21844,0.9,0.5700370375486028,57.48545335,23.218511650000003,211015348.0,57.48536,23.21864,0.9,0.5557721022388246,57.4854300125,23.2185437375,,,,,,0.933322,57.48539953651879,23.218623479766197,0.001,0.001,90.0,6.492441357110195e+16,57.485488958130006,0.048,23.21843739441,0.0195,6.7989,0.0499,19.087,0.094,-43.22,0.059000000000000004,True,1665580.0,936.414,10.134455,904190.0,842.5160000000003,10.460739,1083450.0,910.659,9.674894,0.785845,6.97,1.08,7.0,5848.7,0.19899999999999998,0.0985,1.16,1.4169999999999998,0.048129000000000005,03495648+2313071,57.485363,23.218641,0.06,0.06,90.0,9.145,8.854,8.796,0.021,0.018000000000000002,0.018000000000000002,AAA,212.0,0.0,2450749.839,0.095095,1.3586057485694298e+17,57.48563119,23.21864517,0.129,0.129,90.0,268959744.0,32.0,56487.539375,0.0,5.0,,,24.0,,,24.0,,,24.0,,,24.0,,,0.0,0.818059,0.0455,0.1528,6080.19287109,314.53466796999965,0.0006102456129036156,0.001011208054643821,0.0009121972904270482,0.785845,0.0013618537463468642,,,,,,,,,,
