source_id,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper
598889419416217600,0.0793,0.1783
598900105294874496,0.0229,0.248
598898073775010816,0.092,0.373
598901788922041728,0.0747,0.146
598890106610992256,0.309,0.5415
598890381488889088,0.0554,0.1783
598890347129151104,0.3169,0.625
604891584673389312,0.0089,0.12
604891550313644672,0.1885,0.5157
604894745769327232,0.316,0.4421
604895325589137920,0.0227,0.1431
604894638394355584,0.3269,0.561
598901754562312448,0.0147,0.1278
604895364244625920,0.0154,0.0433
598904842643466240,0.0133,0.1421
598902682275232640,0.047,0.2371
604893405739514624,0.1789,0.4321
604896326317278464,0.0756,0.1473
598902716634970240,0.0079,0.161
598903128951834496,0.468,0.696
604895089366706304,0.194,0.3505
604894913272261632,0.0259,0.1358
604895600467051776,0.0146,0.205
604895707842014080,0.0079,0.1941
604908416650519808,0.2224,0.4055
604909589176298368,0.1582,0.3031
604909241283211648,0.0115,0.1551
604909657895767680,0.0039,0.1578
604909726615246336,0.0466,0.25
604909142499704704,0.046,0.1871
604909692255500544,0.0359,0.3001
604909726615246080,0.0079,0.106
604898211807205504,0.0816,0.3541
604909756679296640,0.048,0.1261
604909898413942656,0.2475,0.3234
604904156041874560,0.0079,0.1411
604904293480903808,0.0734,0.3615
604904057258372736,0.0079,0.0971
604910340794780032,0.0079,0.2186
604910207651567360,0.056,0.3277
604904229057064320,0.292,0.5321
604898490980772352,0.0979,0.359
604912471098638720,0.0099,0.1888
604912402379032704,0.0459,0.1513
604910276371045376,0.1719,0.3606
604910379450263168,0.0049,0.1358
604904572654435456,0.0989,0.2221
604910443873993600,0.212,0.5778
604904263416797440,0.0919,0.3146
604904396560128256,0.0053,0.0701
604904263416796416,0.004,0.0781
604910478233820672,0.1576,0.276
604916117526551680,0.0183,0.1281
604910310730777472,0.0929,0.2168
604910546953300608,0.0149,0.233
604910546953207680,0.0949,0.2737
604904641373911296,0.0747,0.1278
604904469575229696,0.31,0.5738
604910551248951680,0.0789,0.1809
604911096708974080,0.229,0.352
604913952863073920,0.2809,0.471
604911307163200000,0.1399,0.4755
604911199788235648,0.119,0.366
604911204083987584,0.0039,0.0698
604913952863074688,0.2877,0.4895
604911204083987328,0.0504,0.1485
604904847532342528,0.2139,0.4971
604904538294704768,0.2067,0.556
604916254965494528,0.0065,0.1231
604914021582551168,0.0069,0.1513
604916426764196224,0.0359,0.1481
604911375882674560,0.0163,0.3421
604911478961895424,0.0342,0.1456
604911341522931328,0.324,0.53
604914223445164416,0.0836,0.161
604913536250548352,0.0579,0.2758
604913574905773312,0.0049,0.1633
604914262100725248,0.1374,0.3247
604913540546033024,0.0099,0.2455
604911375882674176,0.1402,0.3035
604916461123940992,0.2695,0.7401
604916529843405696,0.2864,0.406
604911509025877248,0.1585,0.399
604916529843406976,0.0079,0.1627
604911410242411136,0.115,0.2141
604917281461922432,0.527,0.7721
604911547681373184,0.252,0.561
604914536978619520,0.206,0.473
604911650760586624,0.0549,0.159
604916667282344576,0.5674,0.9736
604916701642080000,0.186,0.556
604911547681374080,0.045,0.1254
604905053690766208,0.1704,0.5423
604916736001826432,0.0579,0.211
604915086734257152,0.0769,0.159
604916598562882048,0.0079,0.2494
604917354477131392,0.1872,0.3608
604916598562881280,0.127,0.309
604916564203137280,0.1253,0.2758
604916632922617088,0.0039,0.1924
604917487620477056,0.3515,0.4226
604915086734256000,0.1346,0.3317
604916804721291776,0.181,0.3601
604915292892687744,0.0369,0.098
604911685120320512,0.0079,0.1019
604917315826476416,0.0164,0.1477
604914605698086784,0.0079,0.1803
604916873440765696,0.1912,0.2898
604916976519989248,0.0787,0.2227
604916976519992192,0.0149,0.369
