EPIC,Dataset Name,Campaign,Data Release,RAJ2000_K2,DEJ2000_K2,Target Type,RA PM,RA PM Err,Dec PM,Dec PM Err,Plx,Plx Err,U Mag,U Mag Err,B Mag,B Mag Err,V Mag,V Mag Err,G Mag,G Mag Err,R Mag,R Mag Err,I Mag,I Mag Err,Z Mag,Z Mag Err,J Mag,J Mag Err,H Mag,H Mag Err,K Mag,K Mag Err,KEP Mag,Kep Flag,Hip ID,Tyc ID,SDSS ID,UCAC ID,2MASS ID,2MASS Flag,crowding,contamination,flux fraction,cdpp3,cdpp6,cdpp12,Module,Output,Channel,Nearest Neighbor,Nomad ID,dist_mean_K2_arcmin,RAJ2000_mean,DEJ2000_mean,RAJ2000_Curtis,DEJ2000_Curtis,2MASS_id_Curtis,PMem_Curtis,RAJ2000_Olivares,DEJ2000_Olivares,PMem_Olivares,EPIC_Olivares,dist_Curtis_Olivares,RAJ2000_Curtis_Olivares,DEJ2000_Curtis_Olivares,gaia_id_GaiaC,RAJ2000_GaiaC,DEJ2000_GaiaC,PMem_GaiaC,dist_Curtis_Olivares_GaiaC,RAJ2000_Curtis_Olivares_GaiaC,DEJ2000_Curtis_Olivares_GaiaC,RAJ2000_CG,DEJ2000_CG,gaia_id_CG,PMem_CG,dist_Curtis_Olivares_GaiaC_CG,PMem_mean,ra_epoch2000_Gaia,dec_epoch2000_Gaia,errHalfMaj_Gaia,errHalfMin_Gaia,errPosAng_Gaia,source_id_Gaia,ra_Gaia,ra_error_Gaia,dec_Gaia,dec_error_Gaia,parallax_Gaia,parallax_error_Gaia,pmra_Gaia,pmra_error_Gaia,pmdec_Gaia,pmdec_error_Gaia,duplicated_source_Gaia,phot_g_mean_flux_Gaia,phot_g_mean_flux_error_Gaia,phot_g_mean_mag_Gaia,phot_bp_mean_flux_Gaia,phot_bp_mean_flux_error_Gaia,phot_bp_mean_mag_Gaia,phot_rp_mean_flux_Gaia,phot_rp_mean_flux_error_Gaia,phot_rp_mean_mag_Gaia,bp_rp_Gaia,radial_velocity_Gaia,radial_velocity_error_Gaia,rv_nb_transits_Gaia,teff_val_Gaia,a_g_val_Gaia,e_bp_min_rp_val_Gaia,radius_val_Gaia,lum_val_Gaia,angDist_Gaia,2MASS_2MASS,RAJ2000_2MASS,DEJ2000_2MASS,errHalfMaj_2MASS,errHalfMin_2MASS,errPosAng_2MASS,Jmag_2MASS,Hmag_2MASS,Kmag_2MASS,e_Jmag_2MASS,e_Hmag_2MASS,e_Kmag_2MASS,Qfl_2MASS,Rfl_2MASS,X_2MASS,MeasureJD_2MASS,angDist_2MASS,objID_PS1,RAJ2000_PS1,DEJ2000_PS1,errHalfMaj_PS1,errHalfMin_PS1,errPosAng_PS1,f_objID_PS1,Qual_PS1,Epoch_PS1,Ns_PS1,Nd_PS1,gmag_PS1,e_gmag_PS1,gKmag_PS1,e_gKmag_PS1,gFlags_PS1,rmag_PS1,e_rmag_PS1,rKmag_PS1,e_rKmag_PS1,rFlags_PS1,imag_PS1,e_imag_PS1,iKmag_PS1,e_iKmag_PS1,iFlags_PS1,zmag_PS1,e_zmag_PS1,zKmag_PS1,e_zKmag_PS1,zFlags_PS1,ymag_PS1,e_ymag_PS1,yKmag_PS1,e_yKmag_PS1,yFlags_PS1,angDist_PS1,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper
219688088.0,KTWO219688088-C07,7.0,9.0,288.858825,-16.099185000000002,LC,-1.88,0.71,-27.79,0.46,5.48,0.65,,,8.687000000000001,0.016,7.407,0.01,9.583,0.03,8.515,0.04,7.232,0.06,,,,,,,,,7.937,gri,94635.0,6296-522-1,,370-168150,,,1.0,0.0004,1.0,2936.461,2306.221,1974.728,10.0,4.0,32.0,,,0.000671,288.858825,-16.099185000000002,288.8588333,-16.099194400000002,191526121605571.0,0.9,,,,,,288.8588333,-16.099194400000002,,,,,,288.8588333,-16.099194400000002,,,,,,0.9,288.85881123764,-16.099187168362,0.001,0.001,90.0,4.184143881214538e+18,288.85881889497,0.0458,-16.09929669461,0.0433,3.1630000000000003,0.049,1.709,0.085,-25.438000000000002,0.071,False,28762600.0,8187.0,7.041295,11428100.0,19624.2,7.7064520000000005,24160100.0,54858.2,6.304172,1.4022809999999999,40.56,1.89,7.0,4500.0,0.154,0.066,19.86,145.754,0.048237,19152612-1605571,288.85885299999995,-16.099195,0.08,0.08,90.0,5.306,4.829,4.544,0.028999999999999998,0.076,0.024,EEA,111.0,0.0,2451319.7863,0.10332100000000001,8.868288858849114e+16,288.85881877,-16.09929333,0.001,0.001,90.0,1409359872.0,168.0,51319.28629630001,1.0,5.0,7.9270000000000005,,,,114788.0,7.059,,,,68.0,6.715,,,,68.0,6.526,,,,68.0,6.4,,,,68.0,0.390583,,
219697419.0,KTWO219697419-C07,7.0,9.0,289.349355,-16.073432,LC,-2.38,1.02,-27.74,0.67,4.92,0.79,,,9.034,0.02,7.644,0.011,,,,,,,,,,,,,,,7.369,BV,94803.0,6296-1651-1,,370-168945,,,0.999,0.001,1.0,157.607,161.025,159.476,10.0,4.0,32.0,,,0.004,289.349355,-16.073432,289.3493333,-16.0734167,191723841604243.0,0.9,289.349343101,-16.0734300125,0.444941910789344,219697419.0,0.05870524668317766,289.3493382005001,-16.07342335625,4.183949198935967e+18,289.34934,-16.073539999999998,0.9,0.4199636374797285,289.349338650375,-16.073452517187498,289.3493406942,-16.07354390629,4.183949198935967e+18,1.0,0.3290767278721557,0.8112354776973361,289.34934310142484,-16.0734300124901,0.001,0.001,90.0,4.183949198935967e+18,289.3493406942,0.0397,-16.07354390629,0.0387,3.2373,0.0489,-0.537,0.077,-26.453000000000003,0.065,False,25289700.0,8131.16,7.181005,9278210.0,13318.1,7.932728,22496600.0,46216.2,6.381629,1.551099,38.51,0.17,14.0,4239.41,0.27699999999999997,0.1452,21.78,138.037,0.041777999999999996,19172384-1604243,289.34937,-16.073427,0.09,0.09,90.0,5.273,4.459,4.444,0.037000000000000005,0.252,0.026000000000000002,EDA,131.0,0.0,2451319.8057,0.054922000000000006,8.871289349513186e+16,289.34943327,-16.07369683,0.126,0.126,90.0,268959744.0,32.0,56011.15673611,0.0,7.0,8.6973,0.4557,11.5989,0.2706,16.0,6.877000000000001,0.0202,12.6312,0.0097,24.0,7.545,0.1853,11.5386,0.001,24.0,,,,,0.0,4.9336,0.001,9.2732,0.001,24.0,0.9910889999999999,0.053,0.3671
219511589.0,KTWO219511589-C07,7.0,9.0,289.081905,-16.569295,SC,-0.3,1.3,-26.6,1.3,,,,,8.245,0.015,8.207,0.012,,,,,,,,,8.052,0.03,8.087,0.021,8.072000000000001,0.021,8.312000000000001,BV,,6296-1814-1,,368-170021,19161966-1634094,AAA-111-111-000-0-0,0.987,0.013,1.0,,,,10.0,4.0,32.0,,,0.003,289.081905,-16.569295,289.0819167,-16.569277800000002,191619661634094.0,0.9,289.081905752,-16.569294336800002,0.5592533351626011,219511589.0,0.07050643892157414,289.081911226,-16.569286068400007,4.087842738668571e+18,289.0819,-16.56941,0.9,0.4478321243027691,289.0819084195,-16.569317051300008,289.08190109796004,-16.56940881145,4.087842738668571e+18,1.0,0.33130114917129605,0.8398133337906503,289.0819057523963,-16.5692943367917,0.002,0.002,90.0,4.087842738668571e+18,289.08190109796004,0.0821,-16.56940881145,0.0634,3.1293,0.0908,-1.036,0.15,-26.588,0.12,True,10102300.0,5391.86,8.17732,7130230.0,12185.7,8.218629,4482280.0,5179.34,8.133173,0.08545599999999999,,,0.0,9062.5,,,,,0.003527,19161966-1634094,289.081938,-16.569279,0.06,0.06,90.0,8.052,8.087,8.072000000000001,0.03,0.021,0.021,AAA,111.0,0.0,2451319.7963,0.127607,8.8112890819707e+16,289.08190117,-16.56940523,0.001,0.001,90.0,1409359872.0,168.0,51319.2962963,1.0,4.0,8.022,,,,68.0,8.248,,,,114788.0,8.458,,,,68.0,8.623,,,,68.0,8.685,,,,68.0,0.397048,,
219511589.0,KTWO219511589-C07,7.0,9.0,289.081905,-16.569295,LC,-0.3,1.3,-26.6,1.3,,,,,8.245,0.015,8.207,0.012,,,,,,,,,8.052,0.03,8.087,0.021,8.072000000000001,0.021,8.312000000000001,BV,,6296-1814-1,,368-170021,19161966-1634094,AAA-111-111-000-0-0,0.987,0.013,1.0,70.18,53.076,46.82899999999999,10.0,4.0,32.0,,,0.003,289.081905,-16.569295,289.0819167,-16.569277800000002,191619661634094.0,0.9,289.081905752,-16.569294336800002,0.5592533351626011,219511589.0,0.07050643892157414,289.081911226,-16.569286068400007,4.087842738668571e+18,289.0819,-16.56941,0.9,0.4478321243027691,289.0819084195,-16.569317051300008,289.08190109796004,-16.56940881145,4.087842738668571e+18,1.0,0.33130114917129605,0.8398133337906503,289.0819057523963,-16.5692943367917,0.002,0.002,90.0,4.087842738668571e+18,289.08190109796004,0.0821,-16.56940881145,0.0634,3.1293,0.0908,-1.036,0.15,-26.588,0.12,True,10102300.0,5391.86,8.17732,7130230.0,12185.7,8.218629,4482280.0,5179.34,8.133173,0.08545599999999999,,,0.0,9062.5,,,,,0.003527,19161966-1634094,289.081938,-16.569279,0.06,0.06,90.0,8.052,8.087,8.072000000000001,0.03,0.021,0.021,AAA,111.0,0.0,2451319.7963,0.127607,8.8112890819707e+16,289.08190117,-16.56940523,0.001,0.001,90.0,1409359872.0,168.0,51319.2962963,1.0,4.0,8.022,,,,68.0,8.248,,,,114788.0,8.458,,,,68.0,8.623,,,,68.0,8.685,,,,68.0,0.397048,,
219622634.0,KTWO219622634-C07,7.0,9.0,289.16973,-16.278071,SC,0.9,1.4,-25.3,1.4,,,,,8.519,0.017,8.375,0.013,,,,,,,,,7.954,0.032,7.98,0.031,7.9,0.023,8.44,BV,,6296-1802-1,,369-165846,19164073-1616411,AAA-111-111-000-0-0,1.0,0.0,1.0,,,,10.0,4.0,32.0,,,0.002,289.16973,-16.278071,289.1697083,-16.278083300000002,191640731616411.0,0.9,,,,,,289.1697083,-16.278083300000002,,,,,,289.1697083,-16.278083300000002,,,,,,0.9,289.1697344268806,-16.2780805285696,0.002,0.001,90.0,4.183939062813244e+18,289.16971974981004,0.052000000000000005,-16.27819322148,0.0566,3.3413,0.0777,-3.272,0.107,-26.174,0.09,True,8916180.0,6613.91,8.31292,5915850.0,10191.2,8.421345,4366690.0,8030.75,8.161539999999999,0.259805,,,0.0,7994.0,0.789,0.375,2.98,32.746,0.037558999999999995,19164073-1616411,289.169738,-16.278086,0.06,0.06,90.0,7.954,7.98,7.9,0.032,0.031,0.023,AAA,111.0,0.0,2451319.7961,0.060665,8.846289169849654e+16,289.16972039,-16.27818955,0.001,0.001,90.0,1409359872.0,168.0,51319.29609954,3.0,33.0,8.251,,,,68.0,8.369,,,,114788.0,8.503,,,,68.0,8.597000000000001,,,,114788.0,8.637,,,,114788.0,0.42807,,
219622634.0,KTWO219622634-C07,7.0,9.0,289.16973,-16.278071,LC,0.9,1.4,-25.3,1.4,,,,,8.519,0.017,8.375,0.013,,,,,,,,,7.954,0.032,7.98,0.031,7.9,0.023,8.44,BV,,6296-1802-1,,369-165846,19164073-1616411,AAA-111-111-000-0-0,1.0,0.0,1.0,,,,10.0,4.0,32.0,,,0.002,289.16973,-16.278071,289.1697083,-16.278083300000002,191640731616411.0,0.9,,,,,,289.1697083,-16.278083300000002,,,,,,289.1697083,-16.278083300000002,,,,,,0.9,289.1697344268806,-16.2780805285696,0.002,0.001,90.0,4.183939062813244e+18,289.16971974981004,0.052000000000000005,-16.27819322148,0.0566,3.3413,0.0777,-3.272,0.107,-26.174,0.09,True,8916180.0,6613.91,8.31292,5915850.0,10191.2,8.421345,4366690.0,8030.75,8.161539999999999,0.259805,,,0.0,7994.0,0.789,0.375,2.98,32.746,0.037558999999999995,19164073-1616411,289.169738,-16.278086,0.06,0.06,90.0,7.954,7.98,7.9,0.032,0.031,0.023,AAA,111.0,0.0,2451319.7961,0.060665,8.846289169849654e+16,289.16972039,-16.27818955,0.001,0.001,90.0,1409359872.0,168.0,51319.29609954,3.0,33.0,8.251,,,,68.0,8.369,,,,114788.0,8.503,,,,68.0,8.597000000000001,,,,114788.0,8.637,,,,114788.0,0.42807,,
219310397.0,KTWO219310397-C07,7.0,9.0,289.26429,-17.053827,LC,-0.6,1.5,-28.6,1.5,,,,,9.484,0.024,8.375,0.014,,,,,,,,,6.425,0.02,5.926,0.04,5.718,0.02,8.175,BV,,6300-1976-1,,365-170581,19170343-1703138,AAA-111-111-000-0-0,1.0,0.0005,1.0,203.792,189.06,174.877,10.0,1.0,29.0,,,0.003,289.26429,-17.053827,289.2642917,-17.0538333,191703431703138.0,0.9,289.264295056,-17.0538226045,0.447461998885178,219310397.0,0.04019892552287932,289.264293378,-17.05382795225,4.087762027643173e+18,289.26429,-17.05394,0.9,0.4035394100999362,289.2642925335,-17.053855964187502,289.26428891036,-17.05393680026,4.087762027643173e+18,1.0,0.2912769037172324,0.8118654997212945,289.2642950561805,-17.0538226045244,0.002,0.001,90.0,4.0877620276431734e+18,289.26428891036,0.0628,-17.05393680026,0.0596,3.2907,0.0677,-1.365,0.10800000000000001,-26.523000000000003,0.09300000000000001,False,11593300.0,3801.38,8.027846,4927140.0,6538.81,8.6199,9328630.0,22085.9,7.337376,1.282524,41.77,0.19,10.0,4741.38,0.09699999999999999,0.0523,10.47,49.893,0.023521,19170343-1703138,289.264299,-17.053839,0.06,0.06,90.0,6.425,5.926,5.718,0.02,0.04,0.02,AAA,111.0,0.0,2451745.5765,0.053157,8.753289264099573e+16,289.26428909,-17.05393326,0.001,0.001,90.0,1140924416.0,136.0,51745.07649306,2.0,23.0,8.988999999999999,,,,68.0,8.166,,,,68.0,7.827000000000001,,,,68.0,7.632000000000001,,,,68.0,7.518,,,,98404.0,0.382549,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.5599583,-16.6896111,191814391641226.0,0.9,289.55998540900003,-16.6896241578,0.5738900611068871,219463296.0,0.10463512122445233,289.5599718545,-16.689617628900002,4.183862715472996e+18,289.55998,-16.68974,0.9,0.4414305116283339,289.559973890875,-16.689648221675,289.5599810224,-16.68973880473,4.183862715472996e+18,1.0,0.32702495565010914,0.8434725152767217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.9637083,-16.29975,191551291617591.0,0.9,288.963741269,-16.299738564800002,0.512964071137054,219614490.0,0.12112797983911194,288.9637247845,-16.2997442824,4.1841258079919007e+18,288.96374,-16.29985,0.9,0.38419752196946455,288.96372858837503,-16.2997707118,288.96373844617995,-16.29985436141,4.1841258079919007e+18,1.0,0.30305882790895083,0.8282410177842635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.3135833,-17.1058333,191315261706210.0,0.9,288.313612116,-17.1057993408,0.444819645759478,219288101.0,0.15740478244009098,288.313597708,-17.105816320400002,4.0877151652745953e+18,288.31361,-17.10592,0.9,0.3756351258847989,288.313600781,-17.105842240300007,288.3136097204,-17.10591589957,4.0877151652745953e+18,1.0,0.266951277404254,0.8112049114398695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
