source_id,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper
65295425728422528,0.0033,0.1299
64952829074688896,0.034,0.182
64941211186036352,0.015,0.0953
65119164567417856,0.0079,0.0596
66838452861270272,0.0489,0.109
65225611037551360,0.014,0.132
64924413571101952,0.0455,0.1528
65020414679879296,0.0049,0.083
66462939577861248,0.0399,0.105
65242069352190976,0.0809,0.2396
65150947325369600,0.0172,0.1648
66737095928811648,0.007,0.1244
66771146429454592,0.0059,0.106
64899017426872960,0.0037,0.1244
68310561489710336,0.03,0.1871
64999588381514496,0.0043,0.0853
66499154741977216,0.0024,0.1063
66523893753437824,0.0066,0.0591
68322145018429952,0.0079,0.1175
64921458633614976,0.0547,0.2241
64770241424108032,0.0064,0.138
68129764842889600,0.0257,0.0676
65086591535491584,0.0806,0.197
66517468482370304,0.0039,0.0791
66501181966524800,0.0,0.058
64971177174850304,0.0079,0.098
64671903852618624,0.0085,0.066
68334235349446528,0.0049,0.196
65222759179189248,0.0127,0.2196
66788291938818304,0.0063,0.12
63592767549850112,0.013,0.1248
65030344643851776,0.0266,0.105
68162028637205888,0.3693,0.6371
64988322684358144,0.3795,0.5996
66734725106867968,0.5164,0.8461
69811639676769536,0.0069,0.1077
68261053403709312,0.3826,0.542
66802654309459712,0.0696,0.2001
65004712279475712,0.0042,0.0672
66720946851771904,0.1152,0.434
68186114813689344,0.272,0.4434
64840541448791424,0.3452,0.528
65285633203088768,0.1812,0.454
64870296982175488,0.1889,0.4281
65018417518780672,0.1979,0.4314
64967569402404480,0.2662,0.6525
66720534534913792,0.2355,0.598
63289920815872256,0.0019,0.1341
66737576965143296,0.4062,0.654
66823132713476480,0.2039,0.519
65276699671440384,0.1113,0.2466
64795289673433728,0.7289,1.0116
66523103479455744,0.0939,0.3177
66926211929978880,0.1522,0.3811
64168705486089216,0.1395,0.422
65058760147520000,0.3389,0.7391
65289004754691200,0.2747,0.477
65701527774387840,0.1692,0.4658
64963377514329984,0.31,0.6555
65062917675789184,0.418,0.764
66782897460055424,0.1663,0.5059
64913452814489216,0.0172,0.1337
67331381964358656,0.063,0.204
64768763955442944,0.2309,0.496
65232105028172160,0.0127,0.0776
65289279632597760,0.0029,0.1025
66452769091505024,0.0,0.077
65297251091930624,0.0799,0.4491
66699712533433600,0.808,1.022
65223618172733952,0.0289,0.113
65038281743395584,0.5755,1.015
66502281478384000,0.0219,0.1314
66727234683931520,0.0429,0.2875
67618285777617664,0.0084,0.0516
64215125490886656,0.2599,0.7369
65671634801986048,0.3079,0.5595
66885942316710784,0.208,0.3893
66515922294233728,0.0939,0.35
65299965511216384,0.2219,0.5747
64401389632616960,0.3114,0.6153
64064011363520512,0.2839,0.6694
65012408860856832,0.3426,0.7114
66521381194879232,0.281,0.477
66519530066802944,0.0414,0.1824
65056526764528128,0.3535,0.6421
65194584193758336,0.026,0.125
51609980593783424,0.1786,0.4822
65167577439502592,0.3445,0.4998
65232757863112192,0.805,1.1285
66791659193405952,0.3299,0.8321
66787119410915072,0.1175,0.269
66832100605159424,0.0557,0.125
65289279632598016,0.5399,0.7733
64843805623922688,0.2559,0.466
65164171528305792,0.0499,0.168
65179946945247488,0.1365,0.4511
66556672943906688,0.606,1.0526
64943758103791104,0.6085,0.918
65775195052996608,0.281,0.477
65047043476608128,0.3892,0.764
64960663095015680,0.1199,0.4281
65181527493208192,0.2455,0.5436
64172038380708224,0.0337,0.1333
64982344089813248,0.2667,0.5731
66509771901085696,0.853,1.3121
64987876007763968,0.118,0.1806
66719228864863360,0.2434,0.491
66161020555461120,0.2782,0.571
65275020341243520,0.0627,0.2747
63327682168301952,0.2423,0.5333
66886011036187392,0.2335,0.484
64808204638390912,0.0834,0.205
68323485048225152,0.0,0.0512
65823676643738368,0.2199,0.584
64974338270788864,0.401,0.4815
65282098447322752,0.052,0.3067
