source_id,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper
685747814353991296,0.0876,0.419
664963024499946496,0.1269,0.297
665059403566191872,0.0987,0.4646
664909835625008256,0.0397,0.352
665212510560536960,0.172,0.3186
665004702861616256,0.0089,0.1501
664989722016905728,0.15,0.562
665129291274350976,0.0079,0.0827
666354800062502784,0.3572,0.626
664337230586013312,0.0866,0.1851
664455118847781760,0.1304,0.42
664437320503310336,0.1174,0.473
664339910645611776,0.1666,0.4276
664437286143573760,0.0486,0.176
664323280532234240,0.1869,0.3541
664344274332354304,0.401,0.6841
664513049366544256,0.223,0.5491
664438248216250880,0.3433,0.7025
664417494934591488,0.1539,0.4421
664326922664482944,0.232,0.4721
664401964332947584,0.0323,0.352
664407427531262464,0.2189,0.515
664506143059189888,0.007,0.3155
664399078114921600,0.092,0.41
664322421538783104,0.2009,0.3543
664330839674663296,0.2122,0.5053
664325616994522880,0.0343,0.3008
664425054076741120,0.1786,0.44
664349874969575680,0.0973,0.3626
664343896375336320,0.4295,0.8325
664429005446645376,0.1519,0.3845
664328915529295232,0.1886,0.4051
664366024046570112,0.0206,0.2593
664422683254834304,0.025,0.0811
664281018054115968,0.1192,0.2701
664452954184200704,0.308,0.5057
664424641759918720,0.256,0.459
664352761187716352,0.133,0.4601
664431204469943808,0.1152,0.392
664403991557398784,0.0113,0.1012
664324684984105728,0.0093,0.0874
664419556518886272,0.1989,0.4813
664446700711823616,0.0856,0.3511
664510949126187136,0.2617,0.6421
664302424170984576,0.0079,0.1571
664444914005442304,0.1354,0.364
664292459846946560,0.0494,0.3613
664453778817920256,0.3336,0.631
664497209527231872,0.0034,0.12
664379974100333568,0.1727,0.429
664292322407994624,0.3619,0.8163
664464808293984000,0.1627,0.4703
664293387559886464,0.38,0.8694
664495457180572288,0.3147,0.4628
664297991764819968,0.0079,0.0799
664401960036152960,0.0036,0.1146
664385059341602560,0.043,0.2945
664353860699329920,0.2103,0.539
664297064051880832,0.1027,0.4024
664394439550157312,0.189,0.6331
664352245791631488,0.1989,0.438
664353757620108544,0.0062,0.3137
664281494793527936,0.2343,0.4601
664283522018090496,0.0036,0.1421
664456733755404928,0.1019,0.459
664387808120781440,0.0209,0.091
664334035130360192,0.0734,0.1868
664311392062657920,0.0079,0.1281
664446666352164224,0.2885,0.5099
664316614743007360,0.423,0.7697
664366779961036288,0.0069,0.109
664323761568567808,0.0,0.4346
664320497393421952,0.0812,0.348
664380111539399552,0.0079,0.1481
664325857512593920,0.18,0.2888
664436770747502208,0.6514,1.078
665309233224172800,0.244,0.4921
665426846608828928,0.0229,0.2681
665417157162598144,0.012,0.144
665412690396632832,0.2592,0.5911
665458595007014912,0.0979,0.4721
665276415377154688,0.0056,0.13
611694572352053504,0.165,0.39
664605270904832768,0.2594,0.4825
664600907218072064,0.1369,0.389
664814727869793536,0.214,0.4206
664641348629985280,0.0049,0.1526
664572594793701376,0.1215,0.394
664608638159278080,0.0039,0.2656
664683130070043136,0.013,0.0931
664600804138934400,0.0172,0.1248
664580909850406528,0.1115,0.3006
664642516861165312,0.5607,0.904
664594585026149504,0.0259,0.189
664658700297947008,0.2393,0.5423
664610562304515712,0.3189,0.6353
664770472526841472,0.0806,0.5739
664625302630788608,0.0833,0.2229
664591595728990336,0.343,0.4581
664845308036464256,0.0109,0.515
658463772612207616,0.098,0.4991
658530396144737152,0.0206,0.2521
658465872852222720,0.0486,0.3541
658538784217148672,0.6737,0.895
658615440793299712,0.2619,0.5351
658641996575437440,0.18,0.5785
658570974996041344,0.053,0.2135
658607950370340608,0.056,0.4064
658628905514597376,0.0544,0.292
658445218353519488,0.0089,0.1481
663782904926907392,0.1194,0.3983
663755485855805568,0.0612,0.1931
663834856851415040,0.1349,0.3193
684924555022699648,0.1304,0.424
663140171661012480,0.8546,1.0024
663055818503513088,0.0489,0.1904
663002663987903872,0.118,0.41
663070352672827136,0.128,0.3234
663069150081902592,0.012,0.188
663063068408290944,0.1387,0.4428
663050527103803136,0.43,0.9425
609661300474220416,0.0076,0.166
689130461877120256,0.07,0.4028
689285355577523584,0.6864,0.9621
663991846495546496,0.078,0.4971
663981126257232768,0.0555,0.2688
676256486390524288,0.0599,0.212
610136701814354560,0.0056,0.1304
659477217391773696,0.0226,0.3261
659452272221698432,0.0333,0.1625
659489518178180864,0.0439,0.225
659472235229782912,0.0395,0.1653
659393929386140288,0.0046,0.2794
659388466187693440,0.042,0.1318
659427464490677632,0.107,0.3482
659445743871414528,0.0199,0.2575
659388947224025856,0.119,0.339
659532399131904768,0.2913,0.7013
659467871542951552,0.1043,0.271
659321499058103424,0.2667,0.5921
659462855021155840,0.0034,0.325
659490510313883264,0.052,0.1331
659373141744409984,0.232,0.4761
659436153207801344,0.0736,0.1221
659439078082230016,0.0177,0.1421
659415129344636544,0.2039,0.45
659370461684793216,0.401,0.7527
660928259206807808,0.1509,0.4276
660933073866203264,0.1056,0.3868
660966849487603840,0.2229,0.6004
660957980380034688,0.026,0.182
660969666987531008,0.1516,0.4346
660733095892705792,0.2297,0.5287
660981349298550272,0.2094,0.5451
660978669238963200,0.0987,0.3067
660962863759344768,0.0887,0.1443
660966883848803072,0.3325,0.6421
660944717521395840,0.056,0.1433
660917921221670400,0.1274,0.355
660751581432060800,0.3116,0.7214
660862052286909312,0.2532,0.5451
660954067666386944,0.1797,0.3714
660953998946910720,0.237,0.4375
662811653905586176,0.0982,0.2925
662797806930496256,0.0439,0.189
662744210035689728,0.586,1.012
662805061132155008,0.4609,0.7423
662925629454594944,0.0099,0.0932
662912813272290688,0.133,0.4384
662828833775087488,0.1959,0.3175
662800456927247744,0.0439,0.1826
662796814795084160,0.1309,0.4481
662784101691882624,0.2747,0.5617
662932260884134272,0.009,0.2021
662794787570424448,0.032,0.1651
660298621296880256,0.273,0.6988
660317068180478336,0.4717,0.7097
660295357121694080,0.073,0.2173
662603575626986368,0.1226,0.44
662633228081183872,0.449,0.621
662665629314342272,0.119,0.4215
662661540505500160,0.0062,0.3004
662655974227886720,0.0705,0.3678
662632540886348928,0.0779,0.1994
662633743477189632,0.0272,0.2891
661767843709723776,0.279,0.4344
661766778557840000,0.013,0.087
661767293953914240,0.0079,0.1243
661775265413200640,0.0812,0.4186
661779796602531712,0.0799,0.2073
661749048932896512,0.1696,0.4123
653021709747963520,0.0079,0.1927
659763880689114240,0.0309,0.1617
659698219229186688,0.7109,1.053
659691656519169920,0.0929,0.3435
659760650873719040,0.063,0.2357
659744295638254336,0.097,0.3681
659724195191319936,0.8743,1.0571
659734125155723008,0.141,0.399
659680072990872704,0.3619,0.8666
659722752082318976,0.205,0.4621
659777074828577024,0.7667,1.1074
659713818550364160,0.3476,0.654
659742367196651392,0.1082,0.406
659766114072052608,0.0046,0.1431
659765220718853504,0.0673,0.4524
659716601689157760,0.0079,0.1271
659674614089017984,0.114,0.383
659765598675979904,0.354,0.6511
659774394768991744,0.2369,0.6123
659714024708794240,0.0829,0.422
659661213791017600,0.019,0.1271
659687498990893056,0.0065,0.1121
659713303154300288,0.5815,0.9581
659665096441437184,0.013,0.105
659668635494494848,0.1172,0.3541
659772195745778688,0.3947,0.838
659770340319909760,0.06,0.2206
659758967246506880,0.0172,0.1271
659755630055476992,0.0715,0.1781
659757283619334656,0.0453,0.3135
659750514750888192,0.2112,0.415
659750892708009088,0.1507,0.3793
659703957305493632,0.1319,0.3144
658065444461396608,0.0069,0.1545
657708824736752896,0.238,0.5645
661029727808613760,0.0049,0.137
661207024061875456,0.0033,0.151
661277461525418752,0.0154,0.0856
661246675199973504,0.0879,0.3101
661313023854578560,0.273,0.4193
661296290661998208,0.4116,0.7035
661098550366013696,0.1669,0.5174
661311443306610688,0.1724,0.607
660996020906770560,0.14,0.3468
661024024093555840,0.156,0.553
661296565539900544,0.1066,0.3286
661285707862587520,0.2163,0.5
661313917207778304,0.027,0.2135
661036840275967744,0.5123,0.9083
661036840275967872,0.1577,0.44
661190015991474688,0.2736,0.4583
661061098251203968,0.2619,0.4931
661235989321322240,0.0672,0.2561
661185755383916160,0.0126,0.2393
661238635021126656,0.0109,0.2721
661235439565517568,0.0559,0.302
661190153430426880,0.2526,0.4229
660986297100929792,0.2414,0.48
661043506065199488,0.3619,0.613
660995230632845184,0.0729,0.2291
661283199601699328,0.14,0.3423
661297321454333312,0.206,0.3857
661295461730107392,0.0312,0.182
661282031370596608,0.0802,0.2408
661137789187132288,0.8274,1.3271
661215751435494144,0.043,0.2371
661270486498500352,0.0019,0.168
661120162641349248,0.3869,0.588
661298451027341056,0.0943,0.396
661264439184662016,0.0147,0.1041
661206577385260800,0.1749,0.5211
661294052980833792,0.016,0.2891
661018835773136512,0.0584,0.2287
661300551269631360,0.2122,0.5271
661156858841945856,0.2284,0.3768
661199911596105600,0.1749,0.459
661281756492696448,0.2803,0.484
661265951013145344,0.0333,0.2301
661264679702825344,0.0755,0.4051
661150154396988032,0.2503,0.475
661200083394793216,0.2519,0.5031
661294705815866240,0.0,0.099
661297458893183232,0.4229,0.7373
661051679386429952,0.1876,0.4558
661293812462666240,0.0072,0.166
661026738512909440,0.0949,0.241
661034155919816960,0.06,0.3186
661212933936844416,0.0079,0.1221
661257704675956480,0.1039,0.3541
661211727047722752,0.0397,0.2221
661167785238757376,0.1056,0.4391
661221828810801408,0.0019,0.1614
660998975844267264,0.0049,0.1433
661220969817342848,0.0393,0.1501
661150124333238656,0.0172,0.343
661247671632285312,0.0846,0.2355
661319620924311296,0.031,0.309
661222073627319296,0.0069,0.3748
661004400386393984,0.0604,0.1575
661268253115601792,0.1049,0.5013
661222279785743616,0.0072,0.1431
661271238116475648,0.0172,0.1271
661320067600915328,0.1742,0.3875
661242861268936704,0.0125,0.1491
661078896595610240,0.2199,0.553
661319552204833024,0.2767,0.4811
661263408392412928,0.1599,0.4746
661224547528488064,0.325,0.5946
661317250102374528,0.057,0.1125
661253027453650432,0.179,0.52
660996330144479616,0.114,0.3038
661319547906688896,0.0,0.1431
661243307945543936,0.0936,0.2598
661314638762274176,0.0612,0.1571
661311752544249088,0.0137,0.1463
661310756111835392,0.023,0.2093
661292511090872960,0.0217,0.105
661214136527890944,0.1959,0.4536
661298833282624000,0.0504,0.21
661314570042801280,0.0162,0.3568
661243273585807872,0.018,0.1041
661219290488437632,0.244,0.4971
661210666194127360,0.208,0.42
661291136701346304,0.108,0.542
661219840244243200,0.205,0.454
661269043386545536,0.162,0.3638
661244270018200192,0.034,0.205
661290758744228224,0.093,0.2916
661029384212747392,0.0,0.144
661279042073291776,0.0089,0.38
661091609698913024,0.105,0.3861
661239390935360512,0.0273,0.121
661305838371084288,0.2599,0.5103
661015915195312512,0.3442,0.627
661111538347104512,0.0122,0.105
661031480156796544,0.0627,0.2291
