EPIC,Dataset Name,Campaign,Data Release,RAJ2000_K2,DEJ2000_K2,Target Type,RA PM,RA PM Err,Dec PM,Dec PM Err,Plx,Plx Err,U Mag,U Mag Err,B Mag,B Mag Err,V Mag,V Mag Err,G Mag,G Mag Err,R Mag,R Mag Err,I Mag,I Mag Err,Z Mag,Z Mag Err,J Mag,J Mag Err,H Mag,H Mag Err,K Mag,K Mag Err,KEP Mag,Kep Flag,Hip ID,Tyc ID,SDSS ID,UCAC ID,2MASS ID,2MASS Flag,crowding,contamination,flux fraction,cdpp3,cdpp6,cdpp12,Module,Output,Channel,Nearest Neighbor,Nomad ID,dist_mean_K2_arcmin,RAJ2000_mean,DEJ2000_mean,gaia_id_GaiaC,RAJ2000_GaiaC,DEJ2000_GaiaC,PMem_GaiaC,RAJ2000_Rebull,DEJ2000_Rebull,EPIC_id_Rebull,PMem_Rebull,dist_GaiaC_Rebull,RAJ2000_GaiaC_Rebull,DEJ2000_GaiaC_Rebull,RAJ2000_Douglas,DEJ2000_Douglas,PMem_Douglas,binary_Douglas,dist_GaiaC_Rebull_Douglas,RAJ2000_GaiaC_Rebull_Douglas,DEJ2000_GaiaC_Rebull_Douglas,RAJ2000_CG,DEJ2000_CG,gaia_id_CG,PMem_CG,dist_GaiaC_Rebull_Douglas_CG,PMem_mean,ra_epoch2000_Gaia,dec_epoch2000_Gaia,errHalfMaj_Gaia,errHalfMin_Gaia,errPosAng_Gaia,source_id_Gaia,ra_Gaia,ra_error_Gaia,dec_Gaia,dec_error_Gaia,parallax_Gaia,parallax_error_Gaia,pmra_Gaia,pmra_error_Gaia,pmdec_Gaia,pmdec_error_Gaia,duplicated_source_Gaia,phot_g_mean_flux_Gaia,phot_g_mean_flux_error_Gaia,phot_g_mean_mag_Gaia,phot_bp_mean_flux_Gaia,phot_bp_mean_flux_error_Gaia,phot_bp_mean_mag_Gaia,phot_rp_mean_flux_Gaia,phot_rp_mean_flux_error_Gaia,phot_rp_mean_mag_Gaia,bp_rp_Gaia,radial_velocity_Gaia,radial_velocity_error_Gaia,rv_nb_transits_Gaia,teff_val_Gaia,a_g_val_Gaia,e_bp_min_rp_val_Gaia,radius_val_Gaia,lum_val_Gaia,angDist_Gaia,2MASS_2MASS,RAJ2000_2MASS,DEJ2000_2MASS,errHalfMaj_2MASS,errHalfMin_2MASS,errPosAng_2MASS,Jmag_2MASS,Hmag_2MASS,Kmag_2MASS,e_Jmag_2MASS,e_Hmag_2MASS,e_Kmag_2MASS,Qfl_2MASS,Rfl_2MASS,X_2MASS,MeasureJD_2MASS,angDist_2MASS,objID_PS1,RAJ2000_PS1,DEJ2000_PS1,errHalfMaj_PS1,errHalfMin_PS1,errPosAng_PS1,f_objID_PS1,Qual_PS1,Epoch_PS1,Ns_PS1,Nd_PS1,gmag_PS1,e_gmag_PS1,gKmag_PS1,e_gKmag_PS1,gFlags_PS1,rmag_PS1,e_rmag_PS1,rKmag_PS1,e_rKmag_PS1,rFlags_PS1,imag_PS1,e_imag_PS1,iKmag_PS1,e_iKmag_PS1,iFlags_PS1,zmag_PS1,e_zmag_PS1,zKmag_PS1,e_zKmag_PS1,zFlags_PS1,ymag_PS1,e_ymag_PS1,yKmag_PS1,e_yKmag_PS1,yFlags_PS1,angDist_PS1,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper
212053156.0,KTWO212053156-C16,16.0,23.0,133.159545,21.155045,LC,-43.0,3.0,-17.0,3.0,,,20.374,0.044,,,,,17.789,0.006,16.382,0.005,15.147,0.005,14.496,0.005,13.146,0.023,12.470999999999998,0.022,12.242,0.023,15.94,gri,,,5038-301-3-0048-0327,,08523828+2109181,,0.997,0.003,0.826,838.9839999999998,787.831,733.159,12.0,2.0,38.0,,,0.012,133.159545,21.155045,6.857478143539913e+17,133.15933,21.15502,0.9,,,,,,133.15933,21.15502,,,,,,133.15933,21.15502,,,,,,0.9,133.15951216544278,21.155079350657,0.002,0.001,90.0,6.857478143539913e+17,133.15932760096,0.0617,21.15501805166,0.0417,5.7089,0.0678,-39.978,0.11599999999999999,-14.237,0.09300000000000001,False,8543.78,6.25749,15.859242000000002,1781.0,8.54774,17.224728,10565.6,21.0989,14.702183999999999,2.522544,,,0.0,3310.0,0.47,0.2637,0.52,0.028999999999999998,0.165665,08523828+2109181,133.15954,21.155045,0.07,0.06,90.0,13.145999999999999,12.470999999999998,12.242,0.023,0.022000000000000002,0.023,AAA,222.0,0.0,2451120.9702,0.016787,1.3338133159399656e+17,133.15934153,21.15502166,0.017,0.002,90.0,503635968.0,60.0,56037.17957176,5.0,79.0,17.5515,0.0061,17.6407,0.0067,115000.0,16.3926,0.0027,16.4566,0.0025,115000.0,15.1557,0.0024,15.2088,0.0035,115000.0,14.6114,0.0033,14.655999999999999,0.0029,115000.0,14.33,0.0042,14.3594,0.0041,115000.0,0.688275,0.0876,0.419
212086248.0,KTWO212086248-C18,18.0,27.0,130.22517,21.75671,LC,,,,,,,,,,,,,,,,,,,,,15.213,0.044,14.648,0.065,14.242,0.064,17.739,JHK,,,,,08405404+2145241,,0.943,0.057,0.677,5440.9659999999985,5130.2840000000015,4761.997,15.0,2.0,50.0,,,0.006999999999999999,130.22517,21.75671,6.651411410872987e+17,130.22501,21.75663,0.9,130.225125,21.7566944,212086248.0,0.9,0.4489957663698524,130.2250675,21.7566622,,,,,,130.2250675,21.7566622,,,,,,0.9,130.225188065417,21.7566952600838,0.006999999999999999,0.004,90.0,6.651411410872987e+17,130.22501232226003,0.23800000000000002,21.756631264510002,0.1378,5.4722,0.2588,-37.91,0.44799999999999995,-14.864,0.27,False,758.295,1.43698,18.488770000000002,164.05700000000002,5.51486,19.8139,1201.99,9.33767,17.062172,2.751728,,,0.0,,,,,,0.080401,08405404+2145241,130.225167,21.75671,0.11,0.08,89.0,15.213,14.648,14.242,0.044000000000000004,0.065,0.064,AAA,222.0,0.0,2451106.0049,0.010031,1.3410130225058853e+17,130.22502146,21.75663422,0.008,0.003,90.0,503635968.0,60.0,55974.09546296,5.0,55.0,20.0581,0.0308,19.7106,0.0421,16892216.0,19.2281,0.0103,18.9892,0.0095,16892216.0,17.6785,0.0088,17.6601,0.0092,115000.0,16.9344,0.0049,16.9378,0.0105,115000.0,16.5318,0.0053,16.5657,0.0112,115000.0,0.566646,,
212095866.0,KTWO212095866-C18,18.0,27.0,129.73401,21.940865,LC,-44.0,3.0,-18.0,3.0,,,22.85,0.391,,,,,20.925,0.034,19.393,0.014,17.67,0.006999999999999999,16.706,0.01,15.278,0.047,14.585,0.053,14.357,0.07400000000000001,18.646,gri,,,6728-301-3-0139-0308,,08385616+2156271,,0.855,0.145,0.618,,,,15.0,2.0,50.0,,,0.004,129.73401,21.940865,6.652032334311933e+17,129.73385,21.9408,0.9,,,,,,129.73385,21.9408,129.734,21.940855600000006,0.85,0.0,0.539400353064827,129.73389999999998,21.94081853333333,,,,,,0.875,129.7340199065063,21.9408601752576,0.008,0.006,90.0,6.652032334311933e+17,129.73385354319998,0.2825,21.94080222561,0.1809,5.182,0.3648,-35.841,0.542,-13.459000000000001,0.375,False,793.416,1.2205,18.439613,109.92399999999999,5.9980400000000005,20.248661,1171.98,11.7929,17.08962,3.1590409999999998,,,0.0,,,,,,0.037363,08385616+2156271,129.73401,21.940865,0.07,0.06,175.0,15.277999999999999,14.585,14.357000000000001,0.047,0.053,0.07400000000000001,AAA,222.0,0.0,2451105.9854,0.0,1.3432129733917952e+17,129.73386339,21.94080586,0.01,0.006,0.0,503636096.0,60.0,56059.16122685,5.0,91.0,20.6444,0.0291,20.7306,0.0537,115000.0,19.4023,0.0106,19.51,0.0214,115000.0,17.6703,0.0054,17.7555,0.0101,115000.0,16.8727,0.0051,16.9413,0.0054,115000.0,16.4732,0.0059,16.5477,0.0101,115000.0,0.5338579999999999,,
212081702.0,KTWO212081702-C05,5.0,31.0,130.84403999999998,21.671699,LC,-38.2,1.2,-15.7,1.2,,,,,11.237,0.07400000000000001,10.523,0.053,10.883,0.03,10.302,0.1,10.101,0.12,,,9.328,0.02,8.976,0.02,8.97,0.018000000000000002,10.335,gri,,1399-190-1,,559-046440,08432257+2140181,,1.0,0.0,1.0,,,,15.0,1.0,49.0,,,0.006,130.84403999999998,21.671699,6.649630244999465e+17,130.84386999999998,21.67163,0.9,130.84404170000002,21.6716944,212081702.0,0.9,0.6194495646118413,130.84395585,21.6716622,130.84404170000002,21.6716861,0.97,1.0,0.2998247192838176,130.8439773125,21.671668175,130.8438719477,21.6716331568,6.64963024499947e+17,1.0,0.3743660583648489,0.9425,130.84404639629471,21.6716950195754,0.001,0.001,90.0,6.649630244999465e+17,130.84387194771003,0.039,21.67163315683,0.0234,5.5976,0.047,-37.653,0.075,-14.368,0.048,True,1299240.0,414.719,10.40414,681591.0,499.38199999999995,10.767578,875939.0,656.587,9.905735,0.861843,,,0.0,5516.3,0.423,0.2173,1.42,1.672,0.025754000000000003,08432257+2140181,130.844076,21.671711,0.06,0.06,90.0,9.328,8.976,8.97,0.02,0.02,0.018000000000000002,AAA,222.0,0.0,2451109.9865,0.12795299999999998,1.3400130843961659e+17,130.84392761,21.67167007,0.036000000000000004,0.025,90.0,1409605632.0,168.0,54746.91166667,5.0,72.0,10.774000000000001,,,,114788.0,10.387,,,,114788.0,10.267000000000001,,,,114788.0,10.238999999999999,,,,114788.0,10.225,,,,114788.0,0.390162,0.1269,0.297
212086091.0,KTWO212086091-C05,5.0,31.0,130.76206499999998,21.753801,LC,-43.0,3.0,-15.0,3.0,,,22.25,0.202,,,,,19.917,0.015,18.354,0.008,16.605999999999998,0.006,15.608,0.006,13.975,0.027000000000000003,13.434,0.036000000000000004,13.069,0.031,17.599,gri,,,6597-301-2-0238-0147,,08430289+2145136,,1.0,0.0,0.6709999999999999,,,,15.0,1.0,49.0,,,0.004,130.76206499999998,21.753801,6.649762186394793e+17,130.76188,21.75375,0.9,130.76204170000003,21.7537778,212086091.0,0.9,0.5498491146909139,130.76196085,21.753763900000006,130.76204170000003,21.7537972,0.95,0.0,0.2957206588766907,130.7619810625,21.753772225,,,,,,0.9166666666666666,130.76207712626248,21.7538186727414,0.004,0.003,90.0,6.649762186394793e+17,130.76188472497,0.1266,21.753746648369997,0.0797,5.7307,0.1567,-41.504,0.239,-16.727999999999998,0.17800000000000002,False,2189.99,1.74613,17.337260999999998,264.41700000000003,5.19412,19.295666,3203.24,7.98865,15.997945999999999,3.2977199999999995,,,0.0,,,,,,0.075443,08430289+2145136,130.762071,21.753801,0.11,0.1,0.0,13.975,13.434000000000001,13.069,0.027000000000000003,0.036000000000000004,0.031,AAA,222.0,0.0,2451109.9806,0.020062,1.3410130761959506e+17,130.76189763,21.75375056,0.003,0.002,90.0,503636096.0,60.0,56077.60530093,5.0,92.0,19.5852,0.0065,19.7195,0.0117,115000.0,18.3268,0.0054,18.4179,0.008,115000.0,16.5699,0.003,16.658,0.0079,115000.0,15.7796,0.005,15.8402,0.0056,115000.0,15.3533,0.0043,15.3868,0.0075,115000.0,0.588345,,
212088298.0,KTWO212088298-C18,18.0,27.0,131.04555,21.793999,LC,,,,,,,,,,,,,,,,,,,,,13.597,0.028,12.958,0.026,12.719,0.029,15.911,JHK,,,,,08441093+2147383,,1.0,0.0,0.736,,,,15.0,1.0,49.0,,,0.006999999999999999,131.04555,21.793999,6.650594035661919e+17,131.04538,21.79389,0.9,131.0455417,21.7939722,212088298.0,0.9,0.6162166986584269,131.04546084999998,21.7939311,131.0455417,21.7939611,0.88,0.0,0.2910370733399172,131.0454810625,21.793938600000004,131.0453751315,21.793894260300004,6.65059403566192e+17,0.8,0.3884101644189887,0.8700000000000001,131.04555537175509,21.793962263512398,0.003,0.002,90.0,6.650594035661919e+17,131.04537513148998,0.0948,21.79389426033,0.0562,5.636,0.1399,-38.87,0.184,-15.794,0.10400000000000001,False,4861.39,2.93205,16.471464,884.204,6.19149,17.985007999999997,6341.54,12.16,15.256434,2.728575,,,0.0,4065.55,0.478,0.275,,,0.133465,08441093+2147383,131.045544,21.793999,0.07,0.07,90.0,13.597000000000001,12.958,12.719000000000001,0.027999999999999997,0.026000000000000002,0.028999999999999998,AAA,222.0,0.0,2451109.9962,0.020056,1.3415131045410326e+17,131.04539144,21.79389825,0.006999999999999999,0.001,90.0,503636096.0,60.0,55972.03771991,5.0,89.0,18.2964,0.0065,18.409000000000002,0.0079,115000.0,17.132,0.0058,17.2085,0.0037,115000.0,15.7342,0.0054,15.7915,0.0031,115000.0,15.1198,0.0032,15.1639,0.0039,115000.0,14.8126,0.0048,14.8358,0.0026,115000.0,0.642238,0.0987,0.4646
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.648796677748086e+17,131.18412,21.12032,0.9,,,,,,131.18412,21.12032,131.18425,21.1203889,0.99,0.0,0.5021061125742826,131.18416333333334,21.120342966666666,131.1841152015,21.1203231949,6.64879667774809e+17,0.9,0.17661323099603782,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.648982563932087e+17,130.90226,21.31932,0.9,,,,,,130.90226,21.31932,130.9024167,21.3193778,0.94,0.0,0.565212171352835,130.90231223333333,21.319339266666674,130.9022647957,21.3193236099,6.64898256393209e+17,0.7,0.1687787770333238,0.8466666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.650542839651822e+17,131.76754,22.27371,0.9,,,,,,131.76754,22.27371,131.7676667,22.2737722,0.88,0.0,0.4778040420955905,131.76758223333334,22.27373073333333,,,,,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.649229567491657e+17,130.43042,21.36165,0.9,,,,,,130.43042,21.36165,130.4305833,21.3617222,0.97,0.0,0.606058037979735,130.43047443333333,21.361674066666666,,,,,,0.935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
