EPIC,Dataset Name,Campaign,Data Release,RAJ2000_K2,DEJ2000_K2,Target Type,RA PM,RA PM Err,Dec PM,Dec PM Err,Plx,Plx Err,U Mag,U Mag Err,B Mag,B Mag Err,V Mag,V Mag Err,G Mag,G Mag Err,R Mag,R Mag Err,I Mag,I Mag Err,Z Mag,Z Mag Err,J Mag,J Mag Err,H Mag,H Mag Err,K Mag,K Mag Err,KEP Mag,Kep Flag,Hip ID,Tyc ID,SDSS ID,UCAC ID,2MASS ID,2MASS Flag,crowding,contamination,flux fraction,cdpp3,cdpp6,cdpp12,Module,Output,Channel,Nearest Neighbor,Nomad ID,dist_mean_K2_arcmin,RAJ2000_mean,DEJ2000_mean,id_N,RAJ2000_N,DEJ2000_N,gaia_id_Gao,RAJ2000_Gao,DEJ2000_Gao,PMem_Gao,dist_N_Gao,RAJ2000_N_Gao,DEJ2000_N_Gao,EPIC_id_Gonzalez,PMem_Gonzalez,RAJ2000_Gonzalez,DEJ2000_Gonzalez,binary,dist_N_Gao_Gonzalez,PMem_mean
211389428.0,KTWO211389428-C18,18.0,27.0,132.742185,11.473550999999999,LC,-11.0,3.0,-2.0,3.0,,,21.12,0.076,,,,,18.317999999999998,0.006999999999999999,17.062,0.005,16.567999999999998,0.005,16.271,0.006999999999999999,15.11,0.037000000000000005,14.472999999999999,0.046,14.287,0.061,17.093,gri,,,5972-301-5-0116-0390,,08505812+1128247,,1.0,0.0,0.674,1819.9,1763.546,1538.861,6.0,1.0,13.0,,,0.004,132.742185,11.473550999999999,14.0,132.74213,11.473428,5.98889213257786e+17,132.74209986366,11.4735284208,0.982,0.37682562898772376,132.74211493183,11.4734782104,211389428.0,0.9,132.742179,11.473550999999999,0.0,0.3460617624824609,0.9410000000000001
211389537.0,KTWO211389537-C05,5.0,31.0,132.73425,11.475449000000001,LC,-5.6,3.4,-4.3,3.5,,,,,,,,,,,,,,,,,14.299000000000001,0.027999999999999997,13.821,0.032,13.764000000000001,0.044000000000000004,15.669,JHK,,,5972-301-5-0116-0191,508-049199,08505621+1128316,,0.9790000000000001,0.021,0.81,747.505,625.192,533.258,6.0,1.0,13.0,,,0.003,132.73425,11.475449000000001,20.0,132.73422,11.475366,5.988894194162176e+17,132.73418094764,11.47544367187,0.996,0.31172015740938097,132.73420047382,11.475404835934999,211389537.0,0.9,132.734254,11.475449000000001,0.0,0.2468591518723432,0.948
211389716.0,KTWO211389716-C05,5.0,31.0,132.49668,11.478209,LC,-12.9,2.2,-3.2,1.8,,,,,13.798,0.07,13.21,0.03,13.623,0.43,13.073,0.03,13.088,0.24,,,12.106,0.02,11.869000000000002,0.023,11.79,0.023,13.248,gri,,,,508-049127,08495920+1128416,,1.0,0.0001,0.9390000000000001,139.58,124.389,109.259,6.0,1.0,13.0,,,0.003,132.49668,11.478209,31.0,132.49665,11.478087,5.989007881943425e+17,132.49664610473,11.47819626526,0.966,0.3935949219556464,132.496648052365,11.478141632629999,211389716.0,0.9,132.496687,11.478209,0.0,0.2787435286553421,0.933
211389931.0,KTWO211389931-C18,18.0,27.0,132.54853500000002,11.481864,LC,-8.0,3.0,-1.0,3.0,,,20.684,0.055999999999999994,,,,,18.230999999999998,0.006,16.997,0.005,16.51,0.004,16.256,0.006999999999999999,15.104000000000001,0.037000000000000005,14.549000000000001,0.048,14.409,0.063,17.026,gri,,,5972-301-5-0115-0446,,08501164+1128547,,1.0,0.0,0.639,1302.1680000000001,1049.336,778.427,6.0,1.0,13.0,,,0.005,132.54853500000002,11.481864,45.0,132.54849,11.481701,5.989001052948745e+17,132.54846343615,11.481838792349999,0.998,0.5048274506372895,132.548476718075,11.481769896174999,211389931.0,0.9,132.54853300000002,11.481864,0.0,0.39267520206224743,0.9490000000000001
211390158.0,KTWO211390158-C05,5.0,31.0,132.43413,11.485958,LC,-12.0,2.0,5.6,4.0,,,,,14.067,0.08,13.509,0.03,13.895,0.42,13.359000000000002,0.03,13.369000000000002,0.28,,,12.431,0.021,12.158,0.022000000000000002,12.136,0.021,13.527000000000001,gri,,,,508-049108,08494419+1129094,,1.0,0.0,0.9490000000000001,,,,6.0,1.0,13.0,,,0.004,132.43413,11.485958,60.0,132.43408,11.485798,5.988980737750108e+17,132.4340912156,11.48594039792,0.99,0.5141572578472259,132.4340856078,11.48586919896,211390158.0,0.9,132.43413600000002,11.485958,0.0,0.3657909739156359,0.9450000000000001
211391125.0,KTWO211391125-C05,5.0,31.0,132.632715,11.502091,LC,-9.9,2.9,-6.0,3.4,,,,,16.57,0.08,15.614,0.07,16.223,0.38,15.354000000000001,0.03,15.11,0.07,,,14.065,0.024,13.638,0.032,13.626,0.036000000000000004,15.444,gri,,,,508-049169,08503184+1130076,,1.0,0.0,0.815,,,,6.0,1.0,13.0,,,0.002,132.632715,11.502091,105.0,132.63271,11.50201,5.989017889220417e+17,132.632665411,11.50209389643,0.999,0.3405329185590286,132.63268770550002,11.502051948215001,211391125.0,0.9,132.632722,11.502091,0.0,0.1854747949375076,0.9495
211391208.0,KTWO211391208-C18,18.0,27.0,132.623985,11.503514,LC,,,,,,,,,,,,,,,,,,,,,15.706,0.055,14.979000000000001,0.08,14.849,0.095,17.954,JHK,,,,,08502975+1130126,,0.9390000000000001,0.061,0.4,6399.994000000001,6250.493,5395.37,6.0,1.0,13.0,,,0.004,132.623985,11.503514,109.0,132.62398000000002,11.503371,5.98901784626987e+17,132.62393744476998,11.503484155499999,0.998,0.4341410693591703,132.623958722385,11.50342757775,211391208.0,0.9,132.623992,11.503514,0.0,0.3325309358006483,0.9490000000000001
211391297.0,KTWO211391297-C05,5.0,31.0,132.66571499999998,11.505111,LC,-0.9,5.9,0.7,5.6,,,,,,,,,,,,,,,,,14.735999999999999,0.03,14.128,0.04,13.877,0.037000000000000005,16.991,JHK,,,5972-301-5-0116-0294,508-049181,08503978+1130184,,1.0,0.0002,0.741,1374.325,1186.255,1024.383,6.0,1.0,13.0,,,0.003,132.66571499999998,11.505111,112.0,132.66575,11.50499,5.988901066109923e+17,132.66570893521,11.50508662013,1.0,0.37679261236842476,132.665729467605,11.505038310065,211391297.0,0.9,132.665719,11.505111,0.0,0.26427625353872186,0.95
211391564.0,KTWO211391564-C05,5.0,31.0,132.75913500000001,11.509701,LC,-19.0,3.0,8.0,3.0,,,21.728,0.12,,,,,19.315,0.011000000000000001,17.904,0.006,17.205,0.006,16.799,0.009000000000000001,15.585999999999999,0.052000000000000005,14.940999999999999,0.069,14.554,0.07400000000000001,17.838,gri,,,5972-301-5-0116-0409,,08510219+1130349,,0.907,0.09300000000000001,0.602,,,,6.0,1.0,13.0,,,0.003,132.75913500000001,11.509701,125.0,132.75906,11.509647,,,,,,132.75906,11.509647,211391564.0,0.9,132.75913799999998,11.509701,0.0,0.3368987295420737,0.9
211391621.0,KTWO211391621-C05,5.0,31.0,132.788445,11.510675,LC,-9.7,3.2,-6.6,3.5,,,,,17.271,0.12,16.313,0.1,16.907,0.07,15.827,0.02,15.652999999999999,0.21,,,14.140999999999998,0.025,13.583,0.031,13.479000000000001,0.032,16.029,gri,,,5972-301-5-0117-0059,508-049219,08510924+1130384,,1.0,0.0,0.836,,,,6.0,1.0,13.0,,,0.002,132.788445,11.510675,127.0,132.78847,11.510606,6.048941960135263e+17,132.78842925746,11.51067428757,0.988,0.2847653957322872,132.78844962873,11.510640143785,211391621.0,0.9,132.78845,11.510675,0.0,0.12548920859823037,0.944
